FISCAL YEAR,FUND CODE,FUND DESCRIPTION,DEPARTMENT DESCRIPTION,DIVISION DESCRIPTION,ACCOUNT DESCRIPTION,BUDGET,ACCOUNT TYPE,ACCOUNT CATEGORY
2019,101,General Fund,Assessor,Assessor,Life Insurance.Life Insurance,477,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,Life Insurance.Life Insurance,374,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Life Insurance.Life Insurance,668,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Life Insurance.Life Insurance,862,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Life Insurance.Life Insurance,1027,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Life Insurance.Life Insurance,330,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Life Insurance.Life Insurance,268,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Life Insurance.Life Insurance,514,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Life Insurance.Life Insurance,6119,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Life Insurance.Life Insurance,2417,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Life Insurance.Life Insurance,305,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Life Insurance.Life Insurance,1880,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Life Insurance.Life Insurance,293,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Life Insurance.Life Insurance,1263,Expense,Personal Services
2019,101,General Fund,Police,Building ,Life Insurance.Life Insurance,63,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Life Insurance.Life Insurance,91,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Life Insurance.Life Insurance,793,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Life Insurance.Life Insurance,63,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Life Insurance.Life Insurance,0,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Pension.Pension,170307,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Pension.Pension,28184,Expense,Personal Services
2019,101,General Fund,Police,Building ,Pension.Pension,9697,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Pension.Pension,290874,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Pension.Pension,43331,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Pension.Pension,461772,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Pension.Pension,44145,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Pension.Pension,570993,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Pension.Pension,1308462,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Pension.Pension,78879,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Pension.Pension,55104,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Pension.Pension,59882,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Pension.Pension,212748,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Pension.Pension,169967,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Pension.Pension,116766,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,Pension.Pension,72022,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Pension.Pension,103291,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk - Election,Pension.Pension,3849,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,Pension.Pension,23388,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Pension.Pension,67129,Expense,Personal Services
2019,101,General Fund,Public Works,Kentwood Hwys/Street(Non Act 51),Pension.Pension,413,Expense,Personal Services
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Pension.Pension,826,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Pension.Pension,0,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Pension.Pension,46047,Expense,Personal Services
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Pension.Pension,0,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Pension.DC Plan,6152,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Pension.DC Plan,700,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Pension.DC Plan,5493,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Pension.DC Plan,4000,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Pension.DC Plan,23163,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Pension.DC Plan,17582,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Pension.DC Plan,16935,Expense,Personal Services
2019,101,General Fund,Police,Building ,Pension.DC Plan,3610,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Pension.DC Plan,0,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Pension.DC Plan,30154,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Pension.DC Plan,24992,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Pension.DC Plan,25111,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Pension.DC Plan,17578,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Pension.DC Plan,181007,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Pension.DC Plan,66331,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Pension.DC Plan,18109,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Pension.DC Plan,7119,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,Pension.DC Plan,11019,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Pension.DC Plan,13605,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Pension.DC Plan,13967,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Pension.Retiree Health - DC Plan,2734,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Pension.Retiree Health - DC Plan,4867,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Pension.Retiree Health - DC Plan,83602,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Pension.Retiree Health - DC Plan,10270,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Pension.Retiree Health - DC Plan,13009,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Paid on Call,Pension.Retiree Health - DC Plan,0,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Pension.Retiree Health - DC Plan,0,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Pension.Retiree Health - DC Plan,3544,Expense,Personal Services
2019,101,General Fund,Police,Building ,Pension.Retiree Health - DC Plan,1772,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk - Election,Pension.Retiree Health - DC Plan,0,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Pension.Retiree Health - DC Plan,30735,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Pension.Retiree Health - DC Plan,9931,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Pension.Retiree Health - DC Plan,4582,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,Pension.Retiree Health - DC Plan,6388,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Pension.Retiree Health - DC Plan,5315,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Pension.Retiree Health - DC Plan,9931,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Pension.Retiree Health - DC Plan,3100,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Pension.Retiree Health - DC Plan,5315,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Pension.Retiree Health - DC Plan,3189,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Pension.Retiree Health - DC Plan,244,Expense,Personal Services
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Pension.Retiree Health - DC Plan,0,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Pension.Retiree Health - DC Plan,7409,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Pension.Retiree Health - DC Plan,5226,Expense,Personal Services
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Workers Comp. Insurance.Work Comp. Insurance,183,Expense,Personal Services
2019,101,General Fund,Public Works,Kentwood Hwys/Street(Non Act 51),Workers Comp. Insurance.Work Comp. Insurance,61,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Workers Comp. Insurance.Work Comp. Insurance,1161,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,Workers Comp. Insurance.Work Comp. Insurance,3948,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Workers Comp. Insurance.Work Comp. Insurance,906,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Workers Comp. Insurance.Work Comp. Insurance,696,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Workers Comp. Insurance.Work Comp. Insurance,3342,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Workers Comp. Insurance.Work Comp. Insurance,4216,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk - Election,Workers Comp. Insurance.Work Comp. Insurance,13,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Workers Comp. Insurance.Work Comp. Insurance,4408,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,Workers Comp. Insurance.Work Comp. Insurance,381,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Workers Comp. Insurance.Work Comp. Insurance,859,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Workers Comp. Insurance.Work Comp. Insurance,2161,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Workers Comp. Insurance.Work Comp. Insurance,18250,Expense,Personal Services
2019,101,General Fund,Police,Building ,Workers Comp. Insurance.Work Comp. Insurance,1724,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Workers Comp. Insurance.Work Comp. Insurance,29508,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Workers Comp. Insurance.Work Comp. Insurance,301,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Workers Comp. Insurance.Work Comp. Insurance,114065,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Workers Comp. Insurance.Work Comp. Insurance,10382,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Workers Comp. Insurance.Work Comp. Insurance,280,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Workers Comp. Insurance.Work Comp. Insurance,7713,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Workers Comp. Insurance.Work Comp. Insurance,100864,Expense,Personal Services
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Workers Comp. Insurance.Work Comp. Insurance,0,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Workers Comp. Insurance.Work Comp. Insurance,6153,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Paid on Call,Workers Comp. Insurance.Work Comp. Insurance,7013,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Workers Comp. Insurance.Work Comp. Insurance,0,Expense,Personal Services
2019,101,General Fund,Police,Patrol,CIP and Longevity.CIP and Longevity,32100,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,CIP and Longevity.CIP and Longevity,2963,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,CIP and Longevity.CIP and Longevity,2666,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,CIP and Longevity.CIP and Longevity,180,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,CIP and Longevity.CIP and Longevity,11200,Expense,Personal Services
2019,101,General Fund,Police,Records Management,CIP and Longevity.CIP and Longevity,270,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,CIP and Longevity.CIP and Longevity,15592,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,CIP and Longevity.CIP and Longevity,7763,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,CIP and Longevity.CIP and Longevity,1463,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,CIP and Longevity.CIP and Longevity,7303,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,CIP and Longevity.CIP and Longevity,4760,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,CIP and Longevity.CIP and Longevity,6967,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,CIP and Longevity.CIP and Longevity,3260,Expense,Personal Services
2019,101,General Fund,District Court,District Court,CIP and Longevity.CIP and Longevity,13796,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,CIP and Longevity.CIP and Longevity,7549,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,CIP and Longevity.CIP and Longevity,7109,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,CIP and Longevity.CIP and Longevity,900,Expense,Personal Services
2019,101,General Fund,Planning,Planning,CIP and Longevity.CIP and Longevity,2284,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Accrued Sick Pay.Accrued Sick Pay,0,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Accrued Sick Pay.Accrued Sick Pay,24000,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Accrued Sick Pay.Accrued Sick Pay,0,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Accrued Sick Pay.Accrued Sick Pay,20000,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Accrued Sick Pay.Accrued Sick Pay,0,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Accrued Vacation Pay.Accrued Vacation Pay,0,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Accrued Vacation Pay.Accrued Vacation Pay,0,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Accrued Vacation Pay.Accrued Vacation Pay,0,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Accrued Vacation Pay.Accrued Vacation Pay,16000,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Accrued Vacation Pay.Accrued Vacation Pay,0,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Office Supplies.Office Supplies,700,Expense,Supplies
2019,101,General Fund,Finance,Treasurer,Office Supplies.Office Supplies,9250,Expense,Supplies
2019,101,General Fund,Fire,Administration Services,Office Supplies.Office Supplies,2500,Expense,Supplies
2019,101,General Fund,Police,Records Management,Office Supplies.Office Supplies,2200,Expense,Supplies
2019,101,General Fund,Police,Administration Services,Office Supplies.Office Supplies,16000,Expense,Supplies
2019,101,General Fund,Assessor,Assessor,Office Supplies.Office Supplies,4400,Expense,Supplies
2019,101,General Fund,City Clerk,City Clerk - Election,Office Supplies.Office Supplies,3200,Expense,Supplies
2019,101,General Fund,City Clerk,City Clerk,Office Supplies.Office Supplies,2400,Expense,Supplies
2019,101,General Fund,District Court,District Court,Office Supplies.Office Supplies,33300,Expense,Supplies
2019,101,General Fund,City Manager,City Manager,Office Supplies.Office Supplies,11175,Expense,Supplies
2019,101,General Fund,Finance,Accounting,Office Supplies.Office Supplies,5385,Expense,Supplies
2019,101,General Fund,Attorney,Legal Services,Office Supplies.Office Supplies,0,Expense,Supplies
2019,101,General Fund,District Court,Building,Operating Supplies.Operating Supplies,6300,Expense,Supplies
