Fiscal Year,Department,Fund Code,Account Type,Account Category,Amount,,GL_Account_ID,GL_Account_Delimited,Column1,Column6,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Account Description,Column3,Fund Description,Department Code,Column2,Division Code,Division,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column4,Column5,Account_Class_Level_1_Sequence
FY19,District Court,1010,Expense,Personal Services,175248,,1062,101-136-13600-707.000,,,10113613600,General Fund-District Court-District Court,707000,Salaries - Temporary.Salaries - Temporary,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,5000,,1064,101-136-13600-708.000,,,10113613600,General Fund-District Court-District Court,708000,Salaries - Overtime.Salaries - Overtime,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,65800,,1066,101-136-13600-715.000,,,10113613600,General Fund-District Court-District Court,715000,F.I.C.A..F.I.C.A.,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,226199,,1068,101-136-13600-716.000,,,10113613600,General Fund-District Court-District Court,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,1027,,1070,101-136-13600-717.000,,,10113613600,General Fund-District Court-District Court,717000,Life Insurance.Life Insurance,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,212748,,1072,101-136-13600-718.000,,,10113613600,General Fund-District Court-District Court,718000,Pension.Pension,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,13605,,8509,101-136-13600-718.100,,,10113613600,General Fund-District Court-District Court,718100,Pension.DC Plan,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,5315,,9460,101-136-13600-718.200,,,10113613600,General Fund-District Court-District Court,718200,Pension.Retiree Health - DC Plan,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,3342,,1074,101-136-13600-719.000,,,10113613600,General Fund-District Court-District Court,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,13796,,1076,101-136-13600-721.000,,,10113613600,General Fund-District Court-District Court,721000,CIP and Longevity.CIP and Longevity,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Supplies,33300,,1080,101-136-13600-727.000,,,10113613600,General Fund-District Court-District Court,727000,Office Supplies.Office Supplies,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,District Court,1010,Expense,Supplies,1500,,1082,101-136-13600-744.000,,,10113613600,General Fund-District Court-District Court,744000,Uniforms.Uniforms,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,District Court,1010,Expense,Other Services and Charges,44700,,1084,101-136-13600-801.000,,,10113613600,General Fund-District Court-District Court,801000,Professional Services.Professional Services,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,33000,,1086,101-136-13600-805.000,,,10113613600,General Fund-District Court-District Court,805000,Data Processing Services.Data Processing Services,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,12000,,1088,101-136-13600-835.000,,,10113613600,General Fund-District Court-District Court,835000,Witness and Jury Fees.Witness and Jury Fees,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,6900,,1090,101-136-13600-850.000,,,10113613600,General Fund-District Court-District Court,850000,Communications.Communications,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,2000,,1092,101-136-13600-860.000,,,10113613600,General Fund-District Court-District Court,860000,Travel and Training.Travel and Training,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,20227,,1094,101-136-13600-910.000,,,10113613600,General Fund-District Court-District Court,910000,Insurance.Liability,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,120,,1095,101-136-13600-910.100,,,10113613600,General Fund-District Court-District Court,910100,Insurance.Property and Bonds,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,2000,,1097,101-136-13600-930.000,,,10113613600,General Fund-District Court-District Court,930000,Repairs and Maintenance.Repairs and Maintenance,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,19200,,1099,101-136-13600-956.000,,,10113613600,General Fund-District Court-District Court,956000,Other Services.Other Services,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Supplies,6300,,11438,101-136-13610-740.000,,,10113613610,General Fund-District Court-Building,740000,Operating Supplies.Operating Supplies,,General Fund,136,,13610,Building,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,District Court,1010,Expense,Other Services and Charges,2310,,11439,101-136-13610-910.100,,,10113613610,General Fund-District Court-Building,910100,Insurance.Property and Bonds,,General Fund,136,,13610,Building,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,79680,,11440,101-136-13610-920.000,,,10113613610,General Fund-District Court-Building,920000,Public Utilities.Public Utilities,,General Fund,136,,13610,Building,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,109320,,11441,101-136-13610-930.000,,,10113613610,General Fund-District Court-Building,930000,Repairs and Maintenance.Repairs and Maintenance,,General Fund,136,,13610,Building,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Capital Outlay,87000,,11899,101-136-13610-975.000,,,10113613610,General Fund-District Court-Building,975000,Capital Outlay.Capital Outlay,,General Fund,136,,13610,Building,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,120
FY19,District Court,1010,Expense,Personal Services,246495,,1103,101-136-15100-706.000,,,10113615100,General Fund-District Court-District Court - Probation,706000,Salaries.Salaries,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,19107,,1105,101-136-15100-715.000,,,10113615100,General Fund-District Court-District Court - Probation,715000,F.I.C.A..F.I.C.A.,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,47041,,1107,101-136-15100-716.000,,,10113615100,General Fund-District Court-District Court - Probation,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,330,,1109,101-136-15100-717.000,,,10113615100,General Fund-District Court-District Court - Probation,717000,Life Insurance.Life Insurance,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,59882,,1111,101-136-15100-718.000,,,10113615100,General Fund-District Court-District Court - Probation,718000,Pension.Pension,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,13967,,8506,101-136-15100-718.100,,,10113615100,General Fund-District Court-District Court - Probation,718100,Pension.DC Plan,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,3544,,12648,101-136-15100-718.200,,,10113615100,General Fund-District Court-District Court - Probation,718200,Pension.Retiree Health - DC Plan,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,4216,,1113,101-136-15100-719.000,,,10113615100,General Fund-District Court-District Court - Probation,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,3260,,1115,101-136-15100-721.000,,,10113615100,General Fund-District Court-District Court - Probation,721000,CIP and Longevity.CIP and Longevity,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Other Services and Charges,1500,,1117,101-136-15100-860.000,,,10113615100,General Fund-District Court-District Court - Probation,860000,Travel and Training.Travel and Training,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Other Services and Charges,5252,,1119,101-136-15100-910.000,,,10113615100,General Fund-District Court-District Court - Probation,910000,Insurance.Liability,,General Fund,136,,15100,District Court - Probation,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Personal Services,640559,,1121,101-172-17200-706.000,,,10117217200,General Fund-City Manager-City Manager,706000,Salaries.Salaries,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,5500,,1123,101-172-17200-707.000,,,10117217200,General Fund-City Manager-City Manager,707000,Salaries - Temporary.Salaries - Temporary,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,1000,,9310,101-172-17200-708.000,,,10117217200,General Fund-City Manager-City Manager,708000,Salaries - Overtime.Salaries - Overtime,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,48081,,1125,101-172-17200-715.000,,,10117217200,General Fund-City Manager-City Manager,715000,F.I.C.A..F.I.C.A.,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,126749,,1127,101-172-17200-716.000,,,10117217200,General Fund-City Manager-City Manager,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,862,,1129,101-172-17200-717.000,,,10117217200,General Fund-City Manager-City Manager,717000,Life Insurance.Life Insurance,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,169967,,1131,101-172-17200-718.000,,,10117217200,General Fund-City Manager-City Manager,718000,Pension.Pension,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,24992,,1132,101-172-17200-718.100,,,10117217200,General Fund-City Manager-City Manager,718100,Pension.DC Plan,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,13009,,1133,101-172-17200-718.200,,,10117217200,General Fund-City Manager-City Manager,718200,Pension.Retiree Health - DC Plan,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,906,,1135,101-172-17200-719.000,,,10117217200,General Fund-City Manager-City Manager,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Personal Services,7109,,1137,101-172-17200-721.000,,,10117217200,General Fund-City Manager-City Manager,721000,CIP and Longevity.CIP and Longevity,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Manager,1010,Expense,Supplies,11175,,1141,101-172-17200-727.000,,,10117217200,General Fund-City Manager-City Manager,727000,Office Supplies.Office Supplies,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,City Manager,1010,Expense,Supplies,9000,,10720,101-172-17200-745.000,,,10117217200,General Fund-City Manager-City Manager,745000,Awards.Awards,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,City Manager,1010,Expense,Other Services and Charges,46880,,1143,101-172-17200-801.000,,,10117217200,General Fund-City Manager-City Manager,801000,Professional Services.Professional Services,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,4800,,1145,101-172-17200-850.100,,,10117217200,General Fund-City Manager-City Manager,850100,Communications.Cellular Phones,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,19980,,1147,101-172-17200-860.000,,,10117217200,General Fund-City Manager-City Manager,860000,Travel and Training.Travel and Training,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,20830,,10721,101-172-17200-900.000,,,10117217200,General Fund-City Manager-City Manager,900000,Printing & Advertising.Printing & Advertising,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,13860,,1149,101-172-17200-910.000,,,10117217200,General Fund-City Manager-City Manager,910000,Insurance.Liability,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,30,,1150,101-172-17200-910.100,,,10117217200,General Fund-City Manager-City Manager,910100,Insurance.Property and Bonds,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,7800,,1153,101-172-17200-947.100,,,10117217200,General Fund-City Manager-City Manager,947100,Motor Pool Rental.Equipment Rental,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,5000,,1154,101-172-17200-947.200,,,10117217200,General Fund-City Manager-City Manager,947200,Motor Pool Rental.Equipment Maintenance,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,4700,,1155,101-172-17200-947.300,,,10117217200,General Fund-City Manager-City Manager,947300,Motor Pool Rental.Equipment - Fuel,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Manager,1010,Expense,Other Services and Charges,15270,,1157,101-172-17200-956.000,,,10117217200,General Fund-City Manager-City Manager,956000,Other Services.Other Services,,General Fund,172,,17200,City Manager,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Finance,1010,Expense,Personal Services,496242,,1186,101-201-20100-706.000,,,10120120100,General Fund-Finance-Accounting,706000,Salaries.Salaries,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,2500,,1187,101-201-20100-707.000,,,10120120100,General Fund-Finance-Accounting,707000,Salaries - Temporary.Salaries - Temporary,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,1000,,1189,101-201-20100-708.000,,,10120120100,General Fund-Finance-Accounting,708000,Salaries - Overtime.Salaries - Overtime,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,38808,,1190,101-201-20100-715.000,,,10120120100,General Fund-Finance-Accounting,715000,F.I.C.A..F.I.C.A.,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,91975.92,,1192,101-201-20100-716.000,,,10120120100,General Fund-Finance-Accounting,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,668,,1193,101-201-20100-717.000,,,10120120100,General Fund-Finance-Accounting,717000,Life Insurance.Life Insurance,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,116766,,1194,101-201-20100-718.000,,,10120120100,General Fund-Finance-Accounting,718000,Pension.Pension,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,30154,,1195,101-201-20100-718.100,,,10120120100,General Fund-Finance-Accounting,718100,Pension.DC Plan,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,10270,,8462,101-201-20100-718.200,,,10120120100,General Fund-Finance-Accounting,718200,Pension.Retiree Health - DC Plan,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,696,,1196,101-201-20100-719.000,,,10120120100,General Fund-Finance-Accounting,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Personal Services,7549,,1197,101-201-20100-721.000,,,10120120100,General Fund-Finance-Accounting,721000,CIP and Longevity.CIP and Longevity,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Finance,1010,Expense,Supplies,5385,,1199,101-201-20100-727.000,,,10120120100,General Fund-Finance-Accounting,727000,Office Supplies.Office Supplies,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Finance,1010,Expense,Other Services and Charges,84100,,1203,101-201-20100-801.000,,,10120120100,General Fund-Finance-Accounting,801000,Professional Services.Professional Services,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Finance,1010,Expense,Other Services and Charges,17500,,1207,101-201-20100-860.000,,,10120120100,General Fund-Finance-Accounting,860000,Travel and Training.Travel and Training,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Finance,1010,Expense,Other Services and Charges,10702,,1209,101-201-20100-910.000,,,10120120100,General Fund-Finance-Accounting,910000,Insurance.Liability,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Finance,1010,Expense,Other Services and Charges,30,,1210,101-201-20100-910.100,,,10120120100,General Fund-Finance-Accounting,910100,Insurance.Property and Bonds,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Finance,1010,Expense,Other Services and Charges,1600,,1212,101-201-20100-930.000,,,10120120100,General Fund-Finance-Accounting,930000,Repairs and Maintenance.Repairs and Maintenance,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Finance,1010,Expense,Other Services and Charges,22335,,1214,101-201-20100-956.000,,,10120120100,General Fund-Finance-Accounting,956000,Other Services.Other Services,,General Fund,201,,20100,Accounting,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Finance,1010,Expense,Personal Services,195457,,1431,101-201-25300-706.000,,,10120125300,General Fund-Finance-Treasurer,706000,Salaries.Salaries,,General Fund,201,,25300,Treasurer,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
