FISCAL YEAR,GL_Organization_Scrunched,GL_Level_1,FUND DESCRIPTION,GL_Level_2,DEPARTMENT DESCRIPTION,GL_Level_3,ACTIVITY DESCRIPTION,GL_Base_and_Detail_Scrunched,ACCOUNT DESCRIPTION,GL_Account_ID,GL_Account_Delimited,Budget,Amendments,TOTAL BUDGET,Prior_Year_Budget,Prior_year_Ammendments,PRIOR YEAR TOTAL BUDGET,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Organization_Function,Organization_Function_Sequence,ACCOUNT TYPE,ACCOUNT CATEGORY
2019,10125825800,101,General Fund,258,Information Technology,25800,Information Technology,706000,Salaries.Salaries,1455,101-258-25800-706.000,587092,0,587092,575689.72,0,575689.72,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10126726700,101,General Fund,267,Facilities,26700,Facilities Maintenance,706000,Salaries.Salaries,1505,101-267-26700-706.000,65980,0,65980,77412,0,77412,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10121521500,101,General Fund,215,City Clerk,21500,City Clerk,706000,Salaries.Salaries,1271,101-215-21500-706.000,272046,0,272046,260762,0,260762,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120920900,101,General Fund,209,Assessor,20900,Assessor,706000,Salaries.Salaries,1227,101-209-20900-706.000,352940,0,352940,300226,0,300226,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,706000,Salaries.Salaries,1060,101-136-13600-706.000,666081,0,666081,654750,0,654750,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10113615100,101,General Fund,136,District Court,15100,District Court - Probation,706000,Salaries.Salaries,1103,101-136-15100-706.000,246495,0,246495,244761,0,244761,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10117217200,101,General Fund,172,City Manager,17200,City Manager,706000,Salaries.Salaries,1121,101-172-17200-706.000,640559,0,640559,624528.94,-4530,619998.94,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,706000,Salaries.Salaries,1186,101-201-20100-706.000,496242,0,496242,472698,0,472698,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10133733901,101,General Fund,337,Fire,33901,Fighting - Dual Empl. Reserves,706000,Salaries.Salaries,10727,101-337-33901-706.000,85000,0,85000,132710,-34050,98660,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10121021000,101,General Fund,210,Attorney,21000,Legal Services,706000,Salaries.Salaries,13066,101-210-21000-706.000,0,150000,150000,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,707000,Salaries - Temporary.Salaries - Temporary,1187,101-201-20100-707.000,2500,0,2500,5000,0,5000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10117217200,101,General Fund,172,City Manager,17200,City Manager,707000,Salaries - Temporary.Salaries - Temporary,1123,101-172-17200-707.000,5500,0,5500,5500,-1250,4250,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,707000,Salaries - Temporary.Salaries - Temporary,1062,101-136-13600-707.000,175248,0,175248,170697,1500,172197,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10120920900,101,General Fund,209,Assessor,20900,Assessor,707000,Salaries - Temporary.Salaries - Temporary,1229,101-209-20900-707.000,25080,0,25080,24558,0,24558,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10121519100,101,General Fund,215,City Clerk,19100,City Clerk - Election,707000,Salaries - Temporary.Salaries - Temporary,1159,101-215-19100-707.000,1000,0,1000,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10126726700,101,General Fund,267,Facilities,26700,Facilities Maintenance,707000,Salaries - Temporary.Salaries - Temporary,1507,101-267-26700-707.000,2000,0,2000,2000,0,2000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10125825800,101,General Fund,258,Information Technology,25800,Information Technology,707000,Salaries - Temporary.Salaries - Temporary,1457,101-258-25800-707.000,18570,0,18570,17512,0,17512,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130531500,101,General Fund,305,Police,31500,Patrol,707000,Salaries - Temporary.Salaries - Temporary,1755,101-305-31500-707.000,87360,0,87360,41600,0,41600,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10120125300,101,General Fund,201,Finance,25300,Treasurer,707000,Salaries - Temporary.Salaries - Temporary,1433,101-201-25300-707.000,5000,0,5000,5000,-2000,3000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,707000,Salaries - Temporary.Salaries - Temporary,1956,101-337-33900-707.000,60000,0,60000,126000,-86000,40000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10113615100,101,General Fund,136,District Court,15100,District Court - Probation,707000,Salaries - Temporary.Salaries - Temporary,11773,101-136-15100-707.000,0,51056.48,51056.48,0,163581.32,163581.32,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10133733902,101,General Fund,337,Fire,33902,Fighting - Paid on Call,707000,Salaries - Temporary.Salaries - Temporary,11881,101-337-33902-707.000,125000,0,125000,145000,-1500,143500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10121021000,101,General Fund,210,Attorney,21000,Legal Services,707000,Salaries - Temporary.Salaries - Temporary,13067,101-210-21000-707.000,0,30000,30000,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10144144613,101,General Fund,441,Public Works,44613,Other Govt/Agencies(Non Act 51),707000,Salaries - Temporary.Salaries - Temporary,9761,101-441-44613-707.000,1000,0,1000,1000,0,1000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Works,50,Expense,Personal Services
2019,10113615100,101,General Fund,136,District Court,15100,District Court - Probation,708000,Salaries - Overtime.Salaries - Overtime,8950,101-136-15100-708.000,0,0,0,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10130531200,101,General Fund,305,Police,31200,Forensic Science Unit,708000,Salaries - Overtime.Salaries - Overtime,1714,101-305-31200-708.000,15000,0,15000,15000,0,15000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10120125300,101,General Fund,201,Finance,25300,Treasurer,708000,Salaries - Overtime.Salaries - Overtime,1435,101-201-25300-708.000,1500,0,1500,1500,0,1500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130530700,101,General Fund,305,Police,30700,Records Management,708000,Salaries - Overtime.Salaries - Overtime,1635,101-305-30700-708.000,1500,0,1500,1500,0,1500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,708000,Salaries - Overtime.Salaries - Overtime,1665,101-305-31000-708.000,1500,0,1500,1500,0,1500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530610,101,General Fund,305,Police,30610,Building ,708000,Salaries - Overtime.Salaries - Overtime,1603,101-305-30610-708.000,2000,0,2000,2000,0,2000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,708000,Salaries - Overtime.Salaries - Overtime,1559,101-305-30500-708.000,500,0,500,500,0,500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10125825800,101,General Fund,258,Information Technology,25800,Information Technology,708000,Salaries - Overtime.Salaries - Overtime,1459,101-258-25800-708.000,11800,0,11800,11800,0,11800,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10126726700,101,General Fund,267,Facilities,26700,Facilities Maintenance,708000,Salaries - Overtime.Salaries - Overtime,1509,101-267-26700-708.000,2000,0,2000,2000,0,2000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10121519100,101,General Fund,215,City Clerk,19100,City Clerk - Election,708000,Salaries - Overtime.Salaries - Overtime,1161,101-215-19100-708.000,12000,0,12000,1200,0,1200,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,708000,Salaries - Overtime.Salaries - Overtime,1064,101-136-13600-708.000,5000,0,5000,5000,0,5000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,708000,Salaries - Overtime.Salaries - Overtime,1189,101-201-20100-708.000,1000,0,1000,1000,0,1000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10133733901,101,General Fund,337,Fire,33901,Fighting - Dual Empl. Reserves,708000,Salaries - Overtime.Salaries - Overtime,10728,101-337-33901-708.000,37000,0,37000,37000,0,37000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10117217200,101,General Fund,172,City Manager,17200,City Manager,708000,Salaries - Overtime.Salaries - Overtime,9310,101-172-17200-708.000,1000,0,1000,1000,0,1000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,708000,Salaries - Overtime.Salaries - Overtime,13124,101-337-33700-708.000,0,0,0,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531506,101,General Fund,305,Police,31506,OHSP - Strategic Traffic Enf ,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,11021,101-305-31506-709.000,0,3301.19,3301.19,0,31121.04,31121.04,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,1561,101-305-30500-709.000,55000,0,55000,62500,0,62500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,1667,101-305-31000-709.000,100000,0,100000,85000,0,85000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531500,101,General Fund,305,Police,31500,Patrol,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,1759,101-305-31500-709.000,415000,0,415000,415000,0,415000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,1958,101-337-33900-709.000,300000,0,300000,240000,70000,310000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133734100,101,General Fund,337,Fire,34100,Prevention,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,2007,101-337-34100-709.000,5000,0,5000,6000,0,6000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10140040000,101,General Fund,400,Planning,40000,Planning,710000,Boards and Commissions.Boards and Commissions,2080,101-400-40000-710.000,4500,0,4500,4500,0,4500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Community and Economic Development,70,Expense,Personal Services
2019,10120924700,101,General Fund,209,Assessor,24700,Board of Review,710000,Boards and Commissions.Boards and Commissions,1389,101-209-24700-710.000,6600,0,6600,6600,0,6600,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10121519100,101,General Fund,215,City Clerk,19100,City Clerk - Election,711000,Salaries - Officials.Salaries - Officials,1163,101-215-19100-711.000,72000,0,72000,30000,0,30000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10144144613,101,General Fund,441,Public Works,44613,Other Govt/Agencies(Non Act 51),715000,F.I.C.A..F.I.C.A.,2237,101-441-44613-715.000,230,0,230,153,0,153,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Works,50,Expense,Personal Services
2019,10144144612,101,General Fund,441,Public Works,44612,Kentwood Hwys/Street(Non Act 51),715000,F.I.C.A..F.I.C.A.,2223,101-441-44612-715.000,77,0,77,77,0,77,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Works,50,Expense,Personal Services
2019,10140040000,101,General Fund,400,Planning,40000,Planning,715000,F.I.C.A..F.I.C.A.,2082,101-400-40000-715.000,18457,0,18457,13407.7,0,13407.7,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Community and Economic Development,70,Expense,Personal Services
2019,10133734100,101,General Fund,337,Fire,34100,Prevention,715000,F.I.C.A..F.I.C.A.,2009,101-337-34100-715.000,5579,0,5579,5638,0,5638,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10121519100,101,General Fund,215,City Clerk,19100,City Clerk - Election,715000,F.I.C.A..F.I.C.A.,1165,101-215-19100-715.000,995,0,995,92,0,92,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120920900,101,General Fund,209,Assessor,20900,Assessor,715000,F.I.C.A..F.I.C.A.,1231,101-209-20900-715.000,29215,0,29215,25285,0,25285,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10121521500,101,General Fund,215,City Clerk,21500,City Clerk,715000,F.I.C.A..F.I.C.A.,1277,101-215-21500-715.000,21176,0,21176,20303.25,0,20303.25,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,715000,F.I.C.A..F.I.C.A.,1190,101-201-20100-715.000,38808,0,38808,37117,0,37117,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10117217200,101,General Fund,172,City Manager,17200,City Manager,715000,F.I.C.A..F.I.C.A.,1125,101-172-17200-715.000,48081,0,48081,46984.72,-2650,44334.72,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,715000,F.I.C.A..F.I.C.A.,1066,101-136-13600-715.000,65800,0,65800,64555,0,64555,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10113615100,101,General Fund,136,District Court,15100,District Court - Probation,715000,F.I.C.A..F.I.C.A.,1105,101-136-15100-715.000,19107,3905.82,23012.82,19039,13306.85,32345.85,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10110110100,101,General Fund,101,City Council,10100,City Council,715000,F.I.C.A..F.I.C.A.,1041,101-101-10100-715.000,5174,0,5174,5174,0,5174,Account Classification,Department,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Legislative,10,Expense,Personal Services
2019,10120924700,101,General Fund,209,Assessor,24700,Board of Review,715000,F.I.C.A..F.I.C.A.,1391,101-209-24700-715.000,505,0,505,505,0,505,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120125300,101,General Fund,201,Finance,25300,Treasurer,715000,F.I.C.A..F.I.C.A.,1436,101-201-25300-715.000,15655,0,15655,16965,0,16965,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130531200,101,General Fund,305,Police,31200,Forensic Science Unit,715000,F.I.C.A..F.I.C.A.,1718,101-305-31200-715.000,29991,0,29991,29055.7,0,29055.7,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531500,101,General Fund,305,Police,31500,Patrol,715000,F.I.C.A..F.I.C.A.,1761,101-305-31500-715.000,385195,0,385195,374666.49,0,374666.49,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,715000,F.I.C.A..F.I.C.A.,1960,101-337-33900-715.000,164845,0,164845,162684,0,162684,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,715000,F.I.C.A..F.I.C.A.,1904,101-337-33700-715.000,16827,0,16827,16480,0,16480,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,715000,F.I.C.A..F.I.C.A.,1668,101-305-31000-715.000,115925,0,115925,111450.51,0,111450.51,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530700,101,General Fund,305,Police,30700,Records Management,715000,F.I.C.A..F.I.C.A.,1636,101-305-30700-715.000,16647,0,16647,17136.53,0,17136.53,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,715000,F.I.C.A..F.I.C.A.,1562,101-305-30500-715.000,77861,0,77861,74894,0,74894,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530610,101,General Fund,305,Police,30610,Building ,715000,F.I.C.A..F.I.C.A.,1604,101-305-30610-715.000,3606,0,3606,3816,0,3816,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
