Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,4700
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Other Services.Other Services,15270
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Salaries.Salaries,496242
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,2500
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000
FY19,Expense,Finance,Accounting,General Fund,Personal Services,F.I.C.A..F.I.C.A.,38808
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,91975.92
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Life Insurance.Life Insurance,668
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Pension.Pension,116766
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Pension.DC Plan,30154
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Pension.Retiree Health - DC Plan,10270
FY19,Expense,Finance,Accounting,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,696
FY19,Expense,Finance,Accounting,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7549
FY19,Expense,Finance,Accounting,General Fund,Supplies,Office Supplies.Office Supplies,5385
FY19,Expense,Finance,Accounting,General Fund,Other Services and Charges,Professional Services.Professional Services,84100
FY19,Expense,Finance,Accounting,General Fund,Other Services and Charges,Travel and Training.Travel and Training,17500
FY19,Expense,Finance,Accounting,General Fund,Other Services and Charges,Insurance.Liability,10702
FY19,Expense,Finance,Accounting,General Fund,Other Services and Charges,Insurance.Property and Bonds,30
FY19,Expense,Finance,Accounting,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,1600
FY19,Expense,Finance,Accounting,General Fund,Other Services and Charges,Other Services.Other Services,22335
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries.Salaries,195457
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5000
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,F.I.C.A..F.I.C.A.,15655
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,49950
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Life Insurance.Life Insurance,268
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.Pension,55104
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.DC Plan,5493
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.Retiree Health - DC Plan,3189
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,280
FY19,Expense,Finance,Treasurer,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,2666
FY19,Expense,Finance,Treasurer,General Fund,Supplies,Office Supplies.Office Supplies,9250
FY19,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Software Services.Software Services,7020
FY19,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Travel and Training.Travel and Training,6600
FY19,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Insurance.Liability,4365
FY19,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Insurance.Property and Bonds,20
FY19,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,500
FY19,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Other Services.Other Services,8320
FY19,Expense,Finance,Cable TV Commission,General Fund,Other Services and Charges,Other Services.Other Services,600000
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Salaries.Salaries,352940
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,25080
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,F.I.C.A..F.I.C.A.,29215
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,85886
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Life Insurance.Life Insurance,477
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.Pension,103291
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.DC Plan,6152
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.Retiree Health - DC Plan,5226
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,4408
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,6967
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,24000
FY19,Expense,Assessor,Assessor,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,16000
FY19,Expense,Assessor,Assessor,General Fund,Supplies,Office Supplies.Office Supplies,4400
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Professional Services.Professional Services,19500
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Contract Labor.Contract Labor,40000
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Travel and Training.Travel and Training,13100
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Insurance.Liability,8142
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Insurance.Property and Bonds,20
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,3200
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,300
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,450
FY19,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Other Services.Other Services,13145
FY19,Expense,Assessor,Board of Review,General Fund,Personal Services,Boards and Commissions.Boards and Commissions,6600
FY19,Expense,Assessor,Board of Review,General Fund,Personal Services,F.I.C.A..F.I.C.A.,505
FY19,Expense,Assessor,Board of Review,General Fund,Other Services and Charges,Insurance.Liability,146
FY19,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal - Gen - Sluiter/Agent,120000
FY19,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal - Labor - Miller Jhsn,105000
FY19,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal Ct Sluiter Agents,235000
FY19,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal Special Counsel,40000
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,1000
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,12000
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Officials.Salaries - Officials,72000
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,F.I.C.A..F.I.C.A.,995
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Pension.Pension,3849
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,13
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Supplies,Office Supplies.Office Supplies,3200
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Other Services and Charges,Printing & Advertising.Printing & Advertising,1500
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Other Services and Charges,Insurance.Liability,22
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,2000
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Other Services and Charges,Rentals.Rentals,4000
FY19,Expense,City Clerk,City Clerk - Election,General Fund,Other Services and Charges,Other Services.Other Services,8500
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,Salaries.Salaries,272046
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,F.I.C.A..F.I.C.A.,21176
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,102609
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,Life Insurance.Life Insurance,374
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.Pension,72022
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.DC Plan,11019
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.Retiree Health - DC Plan,6388
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,381
FY19,Expense,City Clerk,City Clerk,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,4760
FY19,Expense,City Clerk,City Clerk,General Fund,Supplies,Office Supplies.Office Supplies,2400
FY19,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Communications.Cellular Phones,1000
FY19,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Travel and Training.Travel and Training,5600
FY19,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Printing & Advertising.Printing & Advertising,38000
FY19,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Insurance.Liability,5948
FY19,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Insurance.Property and Bonds,170
FY19,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Other Services.Other Services,2500
FY19,Expense,Purchasing,Central Services,General Fund,Supplies,Operating Supplies.Operating Supplies,500
FY19,Expense,Purchasing,Central Services,General Fund,Supplies,Operating Supplies.Postage,89466
FY19,Expense,Purchasing,Central Services,General Fund,Supplies,Operating Supplies.Paper Supplies,7000
FY19,Expense,Purchasing,Central Services,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,6500
FY19,Expense,Purchasing,Central Services,General Fund,Other Services and Charges,Rentals.Rentals,1300
FY19,Expense,Purchasing,Central Services,General Fund,Other Services and Charges,Other Services.Other Services,4000
FY19,Expense,Purchasing,City Hall,General Fund,Other Services and Charges,Insurance.Property and Bonds,2430
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries.Salaries,587092
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,18570
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,11800
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,F.I.C.A..F.I.C.A.,47795
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,135631
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Life Insurance.Life Insurance,793
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.Pension,170307
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.DC Plan,17578
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.Retiree Health - DC Plan,5315
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,859
FY19,Expense,Information Technology,Information Technology,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7303
FY19,Expense,Information Technology,Information Technology,General Fund,Supplies,Operating Supplies.Operating Supplies,19000
FY19,Expense,Information Technology,Information Technology,General Fund,Supplies,Operating Supplies.Computer Equipment,89000
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Professional Services.Professional Services,124000
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Software Services.Software Services,330855
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Communications.Communications,82820
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Communications.Cellular Phones,6060
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Travel and Training.Travel and Training,12000
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Insurance.Liability,13039
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Insurance.Property and Bonds,180
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,13000
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,3300
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,600
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,500
FY19,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Other Services.Other Services,16500
FY19,Expense,Information Technology,Information Technology,General Fund,Capital Outlay,Capital Outlay.Computer Equipment,47000
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries.Salaries,65980
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,2000
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,2000
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,F.I.C.A..F.I.C.A.,5463
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,18270
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Life Insurance.Life Insurance,91
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.Pension,28184
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.DC Plan,700
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.Retiree Health - DC Plan,244
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,2161
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,1463
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Supplies,Operating Supplies.Operating Supplies,21530
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Communications.Communications,13100
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Communications.Cellular Phones,2120
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Travel and Training.Travel and Training,600
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Insurance.Liability,1480
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Public Utilities.Public Utilities,105800
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,60840
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,14600
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,3500
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,2000
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Other Services.Other Services,870
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Other Services.Veterans Memorial Park,500
FY19,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Project Costs.Project Costs,2520
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,841770
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Salaries.Salaries,99970
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,500
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,55000
FY19,Expense,Police,Administration Services,General Fund,Personal Services,F.I.C.A..F.I.C.A.,77861
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,172158
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Life Insurance.Life Insurance,1263
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Pension.Pension,290874
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Pension.DC Plan,25111
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Pension.Retiree Health - DC Plan,7409
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,18250
FY19,Expense,Police,Administration Services,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7763
FY19,Expense,Police,Administration Services,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,20000
FY19,Expense,Police,Administration Services,General Fund,Supplies,Office Supplies.Office Supplies,16000
FY19,Expense,Police,Administration Services,General Fund,Supplies,Uniforms.Uniforms,4855
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Travel and Training.Travel and Training,4000
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Insurance.Liability,20275
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Insurance.Property and Bonds,740
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,500
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,21500
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1700
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,3500
FY19,Expense,Police,Administration Services,General Fund,Other Services and Charges,Other Services.Other Services,58908
FY19,Expense,Police,Building ,General Fund,Personal Services,Salaries.Salaries,45118
FY19,Expense,Police,Building ,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,2000
FY19,Expense,Police,Building ,General Fund,Personal Services,F.I.C.A..F.I.C.A.,3606
FY19,Expense,Police,Building ,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,21865
FY19,Expense,Police,Building ,General Fund,Personal Services,Life Insurance.Life Insurance,63
FY19,Expense,Police,Building ,General Fund,Personal Services,Pension.Pension,9697
FY19,Expense,Police,Building ,General Fund,Personal Services,Pension.DC Plan,3610
FY19,Expense,Police,Building ,General Fund,Personal Services,Pension.Retiree Health - DC Plan,1772
FY19,Expense,Police,Building ,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,1724
FY19,Expense,Police,Building ,General Fund,Supplies,Operating Supplies.Operating Supplies,13700
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Communications.Communications,17365
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Insurance.Liability,993
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Insurance.Property and Bonds,2970
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Public Utilities.Public Utilities,135406
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,93434
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,3310
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,2000
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1300
FY19,Expense,Police,Building ,General Fund,Other Services and Charges,Other Services.Other Services,37275
FY19,Expense,Police,Records Management,General Fund,Personal Services,Salaries.Salaries,215828
FY19,Expense,Police,Records Management,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500
FY19,Expense,Police,Records Management,General Fund,Personal Services,F.I.C.A..F.I.C.A.,16647
FY19,Expense,Police,Records Management,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,82320
FY19,Expense,Police,Records Management,General Fund,Personal Services,Life Insurance.Life Insurance,293
FY19,Expense,Police,Records Management,General Fund,Personal Services,Pension.Pension,43331
FY19,Expense,Police,Records Management,General Fund,Personal Services,Pension.DC Plan,16935
FY19,Expense,Police,Records Management,General Fund,Personal Services,Pension.Retiree Health - DC Plan,9931
FY19,Expense,Police,Records Management,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,301
FY19,Expense,Police,Records Management,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,270
FY19,Expense,Police,Records Management,General Fund,Supplies,Office Supplies.Office Supplies,2200
FY19,Expense,Police,Records Management,General Fund,Other Services and Charges,Insurance.Liability,4657
FY19,Expense,Police,Records Management,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,1500
FY19,Expense,Police,Records Management,General Fund,Other Services and Charges,Rentals.Rentals,800
FY19,Expense,Police,Records Management,General Fund,Other Services and Charges,Other Services.Other Services,7860
FY19,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,1348519
FY19,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries.Salaries,49737
FY19,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500
FY19,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,100000
FY19,Expense,Police,Detective Bureau,General Fund,Personal Services,F.I.C.A..F.I.C.A.,115925
FY19,Expense,Police,Detective Bureau,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,360082
FY19,Expense,Police,Detective Bureau,General Fund,Personal Services,Life Insurance.Life Insurance,1880
