budget_year,department,fund_code,account_type,amount,amount,,,,,
2019,Attorney,101,Expense,Personal Services,6000,,,,,
2019,District Court,101,Expense,Personal Services,3544,,,,,
2019,Police,101,Expense,Personal Services,1772,,,,,
2019,City Clerk,101,Expense,Personal Services,0,,,,,
2019,Fire,101,Expense,Personal Services,30735,,,,,
2019,Police,101,Expense,Personal Services,9931,,,,,
2019,Fire,101,Expense,Personal Services,4582,,,,,
2019,City Clerk,101,Expense,Personal Services,6388,,,,,
2019,District Court,101,Expense,Personal Services,5315,,,,,
2019,Police,101,Expense,Personal Services,9931,,,,,
2019,Fire,101,Expense,Personal Services,3100,,,,,
2019,Information Technology,101,Expense,Personal Services,5315,,,,,
2019,Finance,101,Expense,Personal Services,3189,,,,,
2019,Facilities,101,Expense,Personal Services,244,,,,,
2019,Police,101,Expense,Personal Services,0,,,,,
2019,Police,101,Expense,Personal Services,7409,,,,,
2019,Assessor,101,Expense,Personal Services,5226,,,,,
2019,Public Works,101,Expense,Personal Services,183,,,,,
2019,Public Works,101,Expense,Personal Services,61,,,,,
2019,Planning,101,Expense,Personal Services,1161,,,,,
2019,Fire,101,Expense,Personal Services,3948,,,,,
2019,City Manager,101,Expense,Personal Services,906,,,,,
2019,Finance,101,Expense,Personal Services,696,,,,,
2019,District Court,101,Expense,Personal Services,3342,,,,,
2019,District Court,101,Expense,Personal Services,4984.12,,,,,
2019,City Clerk,101,Expense,Personal Services,13,,,,,
2019,Assessor,101,Expense,Personal Services,4408,,,,,
2019,City Clerk,101,Expense,Personal Services,381,,,,,
2019,Information Technology,101,Expense,Personal Services,859,,,,,
2019,Facilities,101,Expense,Personal Services,2161,,,,,
2019,Police,101,Expense,Personal Services,18250,,,,,
2019,Police,101,Expense,Personal Services,1724,,,,,
2019,Police,101,Expense,Personal Services,29508,,,,,
2019,Police,101,Expense,Personal Services,301,,,,,
2019,Fire,101,Expense,Personal Services,114065,,,,,
2019,Fire,101,Expense,Personal Services,10382,,,,,
2019,Finance,101,Expense,Personal Services,280,,,,,
2019,Police,101,Expense,Personal Services,7713,,,,,
2019,Police,101,Expense,Personal Services,100864,,,,,
2019,Police,101,Expense,Personal Services,484.24,,,,,
2019,Fire,101,Expense,Personal Services,6153,,,,,
2019,Fire,101,Expense,Personal Services,7013,,,,,
2019,Attorney,101,Expense,Personal Services,3180,,,,,
2019,Police,101,Expense,Personal Services,32100,,,,,
2019,Police,101,Expense,Personal Services,2963,,,,,
2019,Finance,101,Expense,Personal Services,2666,,,,,
2019,Fire,101,Expense,Personal Services,180,,,,,
2019,Fire,101,Expense,Personal Services,11200,,,,,
2019,Police,101,Expense,Personal Services,270,,,,,
2019,Police,101,Expense,Personal Services,15592,,,,,
2019,Police,101,Expense,Personal Services,7763,,,,,
2019,Facilities,101,Expense,Personal Services,1463,,,,,
2019,Information Technology,101,Expense,Personal Services,7303,,,,,
2019,City Clerk,101,Expense,Personal Services,4760,,,,,
2019,Assessor,101,Expense,Personal Services,6967,,,,,
2019,District Court,101,Expense,Personal Services,3260,,,,,
2019,District Court,101,Expense,Personal Services,13796,,,,,
2019,Finance,101,Expense,Personal Services,7549,,,,,
2019,City Manager,101,Expense,Personal Services,7109,,,,,
2019,Fire,101,Expense,Personal Services,900,,,,,
2019,Planning,101,Expense,Personal Services,2284,,,,,
2019,District Court,101,Expense,Personal Services,0,,,,,
2019,Assessor,101,Expense,Personal Services,24000,,,,,
2019,Finance,101,Expense,Personal Services,0,,,,,
2019,Police,101,Expense,Personal Services,20000,,,,,
2019,Planning,101,Expense,Personal Services,0,,,,,
2019,Planning,101,Expense,Personal Services,0,,,,,
2019,Police,101,Expense,Personal Services,0,,,,,
2019,Finance,101,Expense,Personal Services,0,,,,,
2019,Assessor,101,Expense,Personal Services,16000,,,,,
2019,District Court,101,Expense,Personal Services,0,,,,,
2019,Planning,101,Expense,Supplies,700,,,,,
2019,Finance,101,Expense,Supplies,9250,,,,,
2019,Fire,101,Expense,Supplies,2500,,,,,
2019,Police,101,Expense,Supplies,2200,,,,,
2019,Police,101,Expense,Supplies,16000,,,,,
2019,Assessor,101,Expense,Supplies,4400,,,,,
2019,City Clerk,101,Expense,Supplies,3200,,,,,
2019,City Clerk,101,Expense,Supplies,2400,,,,,
2019,District Court,101,Expense,Supplies,33300,,,,,
2019,City Manager,101,Expense,Supplies,11175,,,,,
2019,Finance,101,Expense,Supplies,5385,,,,,
2019,Attorney,101,Expense,Supplies,7500,,,,,
2019,District Court,101,Expense,Supplies,6300,,,,,
2019,Fire,101,Expense,Supplies,500,,,,,
2019,Fire,101,Expense,Supplies,1500,,,,,
2019,City Council,101,Expense,Supplies,3450,,,,,
2019,Purchasing,101,Expense,Supplies,500,,,,,
2019,Information Technology,101,Expense,Supplies,19000,,,,,
2019,Facilities,101,Expense,Supplies,21530,,,,,
2019,Police,101,Expense,Supplies,13700,,,,,
2019,Police,101,Expense,Supplies,7000,,,,,
2019,Police,101,Expense,Supplies,2500,,,,,
2019,Police,101,Expense,Supplies,50,,,,,
2019,Fire,101,Expense,Supplies,39000,,,,,
2019,Police,101,Expense,Supplies,11000,,,,,
2019,Police,101,Expense,Supplies,47600,,,,,
2019,Fire,101,Expense,Supplies,3000,,,,,
2019,Purchasing,101,Expense,Supplies,89466,,,,,
2019,Purchasing,101,Expense,Supplies,7000,,,,,
2019,Fire,101,Expense,Supplies,16306.98,,,,,
2019,Information Technology,101,Expense,Supplies,89000,,,,,
2019,Fire,101,Expense,Supplies,18000,,,,,
2019,Fire,101,Expense,Supplies,1250,,,,,
2019,Police,101,Expense,Supplies,1000,,,,,
2019,Police,101,Expense,Supplies,49450,,,,,
2019,Police,101,Expense,Supplies,1800,,,,,
2019,Police,101,Expense,Supplies,5000,,,,,
2019,Police,101,Expense,Supplies,4855,,,,,
2019,District Court,101,Expense,Supplies,1500,,,,,
2019,Fire,101,Expense,Supplies,500,,,,,
2019,Fire,101,Expense,Supplies,1000,,,,,
2019,Fire,101,Expense,Supplies,1000,,,,,
2019,Fire,101,Expense,Supplies,8800,,,,,
2019,Fire,101,Expense,Supplies,20000,,,,,
2019,Fire,101,Expense,Supplies,6600,,,,,
2019,City Manager,101,Expense,Supplies,7500,,,,,
2019,Fire,101,Expense,Supplies,13000,,,,,
2019,Fire,101,Expense,Supplies,3500,,,,,
2019,District Court,101,Expense,Other Services and Charges,25632.48,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,129500,,,,,
2019,Finance,101,Expense,Other Services and Charges,84100,,,,,
2019,City Manager,101,Expense,Other Services and Charges,46880,,,,,
2019,District Court,101,Expense,Other Services and Charges,44700,,,,,
2019,Assessor,101,Expense,Other Services and Charges,19500,,,,,
2019,Planning,101,Expense,Other Services and Charges,91885,,,,,
2019,Attorney,101,Expense,Other Services and Charges,0,,,,,
2019,Attorney,101,Expense,Other Services and Charges,110000,,,,,
2019,Attorney,101,Expense,Other Services and Charges,0,,,,,
2019,Attorney,101,Expense,Other Services and Charges,100000,,,,,
2019,District Court,101,Expense,Other Services and Charges,33000,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,330855,,,,,
2019,Finance,101,Expense,Other Services and Charges,7020,,,,,
2019,Police,101,Expense,Other Services and Charges,12570,,,,,
2019,Assessor,101,Expense,Other Services and Charges,40000,,,,,
2019,District Court,101,Expense,Other Services and Charges,12000,,,,,
2019,District Court,101,Expense,Other Services and Charges,6900,,,,,
2019,Police,101,Expense,Other Services and Charges,1660,,,,,
2019,Police,101,Expense,Other Services and Charges,17365,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,82820,,,,,
2019,Facilities,101,Expense,Other Services and Charges,13100,,,,,
2019,Fire,101,Expense,Other Services and Charges,10700,,,,,
2019,Attorney,101,Expense,Other Services and Charges,1200,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,1000,,,,,
2019,Police,101,Expense,Other Services and Charges,18450,,,,,
2019,Police,101,Expense,Other Services and Charges,61500,,,,,
2019,Planning,101,Expense,Other Services and Charges,1000,,,,,
2019,Fire,101,Expense,Other Services and Charges,3650,,,,,
2019,Facilities,101,Expense,Other Services and Charges,2120,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,6060,,,,,
2019,City Manager,101,Expense,Other Services and Charges,4800,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,5600,,,,,
2019,Assessor,101,Expense,Other Services and Charges,13100,,,,,
2019,City Manager,101,Expense,Other Services and Charges,19980,,,,,
2019,Finance,101,Expense,Other Services and Charges,17500,,,,,
2019,City Council,101,Expense,Other Services and Charges,5120,,,,,
2019,District Court,101,Expense,Other Services and Charges,1500,,,,,
2019,District Court,101,Expense,Other Services and Charges,2000,,,,,
2019,Fire,101,Expense,Other Services and Charges,3000,,,,,
2019,Fire,101,Expense,Other Services and Charges,14900,,,,,
2019,Police,101,Expense,Other Services and Charges,32223.85,,,,,
2019,Police,101,Expense,Other Services and Charges,80000,,,,,
2019,Finance,101,Expense,Other Services and Charges,6600,,,,,
2019,Police,101,Expense,Other Services and Charges,4000,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,12000,,,,,
2019,Facilities,101,Expense,Other Services and Charges,600,,,,,
2019,Planning,101,Expense,Other Services and Charges,3750,,,,,
2019,Attorney,101,Expense,Other Services and Charges,5000,,,,,
2019,Police,101,Expense,Other Services and Charges,2800,,,,,
2019,Police,101,Expense,Other Services and Charges,4500,,,,,
2019,City Manager,101,Expense,Other Services and Charges,20830,,,,,
2019,City Council,101,Expense,Other Services and Charges,8400,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,1500,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,38000,,,,,
2019,Planning,101,Expense,Other Services and Charges,1500,,,,,
2019,Planning,101,Expense,Other Services and Charges,5102,,,,,
2019,Fire,101,Expense,Other Services and Charges,1447,,,,,
2019,Public Works,101,Expense,Other Services and Charges,22,,,,,
2019,Public Works,101,Expense,Other Services and Charges,66,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,5948,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,22,,,,,
2019,Assessor,101,Expense,Other Services and Charges,8142,,,,,
2019,District Court,101,Expense,Other Services and Charges,20227,,,,,
2019,District Court,101,Expense,Other Services and Charges,6375.24,,,,,
2019,City Council,101,Expense,Other Services and Charges,1488,,,,,
2019,Finance,101,Expense,Other Services and Charges,10702,,,,,
2019,City Manager,101,Expense,Other Services and Charges,13860,,,,,
2019,Assessor,101,Expense,Other Services and Charges,146,,,,,
2019,Finance,101,Expense,Other Services and Charges,4365,,,,,
2019,Police,101,Expense,Other Services and Charges,8173,,,,,
2019,Police,101,Expense,Other Services and Charges,99477,,,,,
2019,Fire,101,Expense,Other Services and Charges,39852,,,,,
2019,Fire,101,Expense,Other Services and Charges,4836,,,,,
2019,Police,101,Expense,Other Services and Charges,29969,,,,,
2019,Police,101,Expense,Other Services and Charges,4657,,,,,
2019,Police,101,Expense,Other Services and Charges,20275,,,,,
2019,Police,101,Expense,Other Services and Charges,993,,,,,
2019,Facilities,101,Expense,Other Services and Charges,1480,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,13039,,,,,
2019,Attorney,101,Expense,Other Services and Charges,3945,,,,,
2019,Fire,101,Expense,Other Services and Charges,3638,,,,,
2019,Fire,101,Expense,Other Services and Charges,990,,,,,
2019,Purchasing,101,Expense,Other Services and Charges,2430,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,180,,,,,
2019,Police,101,Expense,Other Services and Charges,2970,,,,,
2019,Police,101,Expense,Other Services and Charges,740,,,,,
2019,Fire,101,Expense,Other Services and Charges,80,,,,,
2019,Finance,101,Expense,Other Services and Charges,20,,,,,
2019,City Manager,101,Expense,Other Services and Charges,30,,,,,
2019,Finance,101,Expense,Other Services and Charges,30,,,,,
2019,District Court,101,Expense,Other Services and Charges,120,,,,,
2019,Assessor,101,Expense,Other Services and Charges,20,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,170,,,,,
2019,Fire,101,Expense,Other Services and Charges,90,,,,,
2019,Public Works,101,Expense,Other Services and Charges,80,,,,,
2019,Fire,101,Expense,Other Services and Charges,2190,,,,,
2019,Planning,101,Expense,Other Services and Charges,20,,,,,
2019,District Court,101,Expense,Other Services and Charges,2310,,,,,
2019,Attorney,101,Expense,Other Services and Charges,10000,,,,,
2019,Facilities,101,Expense,Other Services and Charges,105800,,,,,
2019,Police,101,Expense,Other Services and Charges,135406,,,,,
2019,Fire,101,Expense,Other Services and Charges,85268,,,,,
2019,Fire,101,Expense,Other Services and Charges,2100,,,,,
2019,Public Works,101,Expense,Other Services and Charges,770000,,,,,
2019,District Court,101,Expense,Other Services and Charges,79680,,,,,
2019,Fire,101,Expense,Other Services and Charges,5000,,,,,
2019,Fire,101,Expense,Other Services and Charges,86000,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,2000,,,,,
2019,District Court,101,Expense,Other Services and Charges,2000,,,,,
2019,Finance,101,Expense,Other Services and Charges,1600,,,,,
2019,Finance,101,Expense,Other Services and Charges,500,,,,,
2019,Police,101,Expense,Other Services and Charges,9400,,,,,
2019,Police,101,Expense,Other Services and Charges,15000,,,,,
2019,Fire,101,Expense,Other Services and Charges,8000,,,,,
2019,Police,101,Expense,Other Services and Charges,6700,,,,,
2019,Police,101,Expense,Other Services and Charges,250,,,,,
2019,Police,101,Expense,Other Services and Charges,500,,,,,
2019,Police,101,Expense,Other Services and Charges,93434,,,,,
2019,Police,101,Expense,Other Services and Charges,1500,,,,,
2019,Police,101,Expense,Other Services and Charges,5000,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,13000,,,,,
2019,Facilities,101,Expense,Other Services and Charges,60840,,,,,
2019,Purchasing,101,Expense,Other Services and Charges,6500,,,,,
2019,District Court,101,Expense,Other Services and Charges,109320,,,,,
2019,Purchasing,101,Expense,Other Services and Charges,1300,,,,,
2019,Police,101,Expense,Other Services and Charges,800,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,4000,,,,,
2019,Police,101,Expense,Other Services and Charges,5913,,,,,
2019,Public Works,101,Expense,Other Services and Charges,200,,,,,
2019,Police,101,Expense,Other Services and Charges,310625,,,,,
2019,Police,101,Expense,Other Services and Charges,11490,,,,,
2019,Fire,101,Expense,Other Services and Charges,375000,,,,,
2019,Fire,101,Expense,Other Services and Charges,14880,,,,,
2019,Police,101,Expense,Other Services and Charges,6405,,,,,
2019,Police,101,Expense,Other Services and Charges,3310,,,,,
2019,Police,101,Expense,Other Services and Charges,21500,,,,,
2019,Police,101,Expense,Other Services and Charges,61840,,,,,
2019,Facilities,101,Expense,Other Services and Charges,14600,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,3300,,,,,
2019,Assessor,101,Expense,Other Services and Charges,3200,,,,,
2019,City Manager,101,Expense,Other Services and Charges,7800,,,,,
2019,Fire,101,Expense,Other Services and Charges,6897,,,,,
2019,Fire,101,Expense,Other Services and Charges,2500,,,,,
2019,Fire,101,Expense,Other Services and Charges,300,,,,,
2019,Fire,101,Expense,Other Services and Charges,1000,,,,,
2019,City Manager,101,Expense,Other Services and Charges,5000,,,,,
2019,Assessor,101,Expense,Other Services and Charges,300,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,600,,,,,
2019,Facilities,101,Expense,Other Services and Charges,3500,,,,,
2019,Police,101,Expense,Other Services and Charges,10000,,,,,
2019,Police,101,Expense,Other Services and Charges,1700,,,,,
2019,Police,101,Expense,Other Services and Charges,2000,,,,,
2019,Police,101,Expense,Other Services and Charges,2500,,,,,
2019,Fire,101,Expense,Other Services and Charges,1500,,,,,
2019,Fire,101,Expense,Other Services and Charges,88550,,,,,
2019,Police,101,Expense,Other Services and Charges,3000,,,,,
2019,Police,101,Expense,Other Services and Charges,190000,,,,,
2019,Public Works,101,Expense,Other Services and Charges,300,,,,,
2019,Public Works,101,Expense,Other Services and Charges,100,,,,,
2019,Police,101,Expense,Other Services and Charges,142000,,,,,
2019,Police,101,Expense,Other Services and Charges,3500,,,,,
2019,Fire,101,Expense,Other Services and Charges,37673,,,,,
2019,Fire,101,Expense,Other Services and Charges,2500,,,,,
2019,Police,101,Expense,Other Services and Charges,2000,,,,,
2019,Police,101,Expense,Other Services and Charges,1300,,,,,
2019,Police,101,Expense,Other Services and Charges,3500,,,,,
2019,Police,101,Expense,Other Services and Charges,7350,,,,,
2019,Facilities,101,Expense,Other Services and Charges,2000,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,500,,,,,
2019,Assessor,101,Expense,Other Services and Charges,450,,,,,
2019,City Manager,101,Expense,Other Services and Charges,4700,,,,,
2019,Fire,101,Expense,Other Services and Charges,1500,,,,,
2019,Fire,101,Expense,Other Services and Charges,400,,,,,
2019,Police,101,Expense,Other Services and Charges,365692,,,,,
2019,Planning,101,Expense,Other Services and Charges,4800,,,,,
2019,Finance,101,Expense,Other Services and Charges,600000,,,,,
2019,Planning,101,Expense,Other Services and Charges,20000,,,,,
2019,Planning,101,Expense,Other Services and Charges,2930,,,,,
2019,Fire,101,Expense,Other Services and Charges,875,,,,,
2019,Police,101,Expense,Other Services and Charges,1000,,,,,
2019,Police,101,Expense,Other Services and Charges,575000,,,,,
2019,Fire,101,Expense,Other Services and Charges,8350,,,,,
2019,Fire,101,Expense,Other Services and Charges,54400,,,,,
2019,Police,101,Expense,Other Services and Charges,2500,,,,,
2019,Finance,101,Expense,Other Services and Charges,8320,,,,,
2019,Police,101,Expense,Other Services and Charges,79387,,,,,
2019,City Council,101,Expense,Other Services and Charges,50600,,,,,
2019,Police,101,Expense,Other Services and Charges,33120,,,,,
