Fiscal Year,Amount,Account Description,Fund Code,Fund Description,Department Code,Department,Division Code,Division,Account Type,Account Category,,GL_Account_ID,GL_Account_Delimited,Column1,Column2,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column10,Column11,Account_Class_Level_1_Sequence
FY20,1000000,CATV Fees.CATV Fees,1010,General Fund,,,,,Revenue,Licenses and Permits,,909,101-407.000,,,101,General Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,91450,State Grants.St. GR. Dist. Judge Salary,1010,General Fund,,,,,Revenue,State Grants,,3200,211-407.000,,,211,Sidewalk Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,68000,State Grants.Auto Theft Prevention Authority,1010,General Fund,,,,,Revenue,State Grants,,2822,206-407.000,,,206,Fire Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,15000,State Grants.Act 302,1010,General Fund,,,,,Revenue,State Grants,,2854,207-407.000,,,207,Police Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,10000,State Grants.Dst Ct Drnk Caseld Asst,1010,General Fund,,,,,Revenue,State Grants,,2903,208-407.000,,,208,Parks and Recreation Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,6477000,State Grants.State Shared Revenue,1010,General Fund,,,,,Revenue,State Grants,,12796,401-407.000,,,401,Library Maint & Capital Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,685398,State Grants.EVIP (Econ Vitality Incentive),1010,General Fund,,,,,Revenue,State Grants,,9649,205-407.000,,,205,Public Safety Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,30000,State Grants.Liquor Licenses,1010,General Fund,,,,,Revenue,State Grants,,12797,401-425.000,,,401,Library Maint & Capital Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,15000,Contributions from Local Units.Other Govt Units Share Elections,1010,General Fund,,,,,Revenue,Contributions from Local Units,,9650,205-425.000,,,205,Public Safety Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,31000,Contributions from Local Units.School Share Cross Guards,1010,General Fund,,,,,Revenue,Contributions from Local Units,,2905,208-425.000,,,208,Parks and Recreation Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,216040,Contributions from Local Units.School Share Liason Officers,1010,General Fund,,,,,Revenue,Contributions from Local Units,,2856,207-425.000,,,207,Police Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2500,Contributions from Local Units.School Propriet Security,1010,General Fund,,,,,Revenue,Contributions from Local Units,,2824,206-425.000,,,206,Fire Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1580,Contributions from Local Units.Kentwood Street Maint,1010,General Fund,,,,,Revenue,Contributions from Local Units,,3202,211-425.000,,,211,Sidewalk Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,3160,Contributions from Local Units.Other Goverment Agencies,1010,General Fund,,,,,Revenue,Contributions from Local Units,,911,101-425.000,,,101,General Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,14400,Contributions from Local Units.Kent County Dispatch Authority,1010,General Fund,,,,,Revenue,Contributions from Local Units,,4087,400-425.000,,,400,Capital Improvement Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
FY20,5000,IFT Application Fees.IFT Application Fees,1010,General Fund,,,,,Revenue,Charges for Service,,3263,230-425.000,,,230,Solid Waste Disposal Fund,425000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,22000,Planning Fees.Planning Fees,1010,General Fund,,,,,Revenue,Charges for Service,,3264,230-425.100,,,230,Solid Waste Disposal Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,19000,Duplicating Services.Duplicating Services,1010,General Fund,,,,,Revenue,Charges for Service,,4088,400-425.100,,,400,Capital Improvement Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
FY20,3559923,Inter Fund Services.Inter Fund Services,1010,General Fund,,,,,Revenue,Charges for Service,,912,101-425.100,,,101,General Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2000,Fees.Forensics-latnt fngrprt&drg tsts,1010,General Fund,,,,,Revenue,Charges for Service,,3203,211-425.100,,,211,Sidewalk Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2000,Fees.PD Traffic Control,1010,General Fund,,,,,Revenue,Charges for Service,,2825,206-425.100,,,206,Fire Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1700000,District Court Income.District Court Income,1010,General Fund,,,,,Revenue,Fines and Forfeitures,,2857,207-425.100,,,207,Police Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,200000,Interest on Investments.Interest on Investments,1010,General Fund,,,,,Revenue,Interest and Rentals,,2906,208-425.100,,,208,Parks and Recreation Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,74380,Property Rental Income.Property Rental Income,1010,General Fund,,,,,Revenue,Interest and Rentals,,9651,205-425.100,,,205,Public Safety Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,17900,Property Rental Income.PD Pistol Range Lease,1010,General Fund,,,,,Revenue,Interest and Rentals,,12798,401-425.100,,,401,Library Maint & Capital Fund,425100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1000,Income/Donations.Vets Mem Pk,1010,General Fund,,,,,Revenue,Other Revenues,,12799,401-425.500,,,401,Library Maint & Capital Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,60000,Reimbursements.Reimbursements,1010,General Fund,,,,,Revenue,Other Revenues,,9652,205-425.500,,,205,Public Safety Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,23000,Reimbursements.PD OUIL/OUID Cost Teim.,1010,General Fund,,,,,Revenue,Other Revenues,,9596,101-425.500,,,101,General Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,4500,Reimbursements.Federal Government,1010,General Fund,,,,,Revenue,Other Revenues,,9598,400-425.500,,,400,Capital Improvement Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
FY20,3800,Reimbursements.Interdepartmental,1010,General Fund,,,,,Revenue,Other Revenues,,9599,211-425.500,,,211,Sidewalk Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1500,Reimbursements.REGIS - Electric,1010,General Fund,,,,,Revenue,Other Revenues,,9600,208-425.500,,,208,Parks and Recreation Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,10000,Reimbursements.Legal Internal,1010,General Fund,,,,,Revenue,Other Revenues,,9601,206-425.500,,,206,Fire Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,500,Reimbursements.Legal External,1010,General Fund,,,,,Revenue,Other Revenues,,9602,207-425.500,,,207,Police Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,30000,Miscellaneous Income.Miscellaneous Income,1010,General Fund,,,,,Revenue,Other Revenues,,9603,230-425.500,,,230,Solid Waste Disposal Fund,425500,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2787170,Transfer.from Public Safety Fund,1010,General Fund,,,,,Revenue,Other Financing Sources,,914,101-428.000,,,101,General Fund,428000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1637860,Transfer.from Fire Fund,1010,General Fund,,,,,Revenue,Other Financing Sources,,916,101-437.000,,,101,General Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2730450,Transfer.from Police Fund,1010,General Fund,,,,,Revenue,Other Financing Sources,,2908,208-437.000,,,208,Parks and Recreation Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,25000,Transfer.from DDA,1010,General Fund,,,,,Revenue,Other Financing Sources,,2859,207-437.000,,,207,Police Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,72938,Salaries - Elected.Salaries - Elected,1010,General Fund,101,City Council,10100,City Council,Expense,Personal Services,,2827,206-437.000,,,206,Fire Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,91448,Salaries - Elected.Salaries - Elected,1010,General Fund,136,District Court,13600,District Court,Expense,Personal Services,,3205,211-437.000,,,211,Sidewalk Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,659384,Salaries - Uniform.Salaries - Uniform,1010,General Fund,305,Police,30500,Administration Services,Expense,Personal Services,,3266,230-437.000,,,230,Solid Waste Disposal Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1440896,Salaries - Uniform.Salaries - Uniform,1010,General Fund,305,Police,31000,Detective Bureau,Expense,Personal Services,,4090,400-437.000,,,400,Capital Improvement Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
FY20,4939935,Salaries - Uniform.Salaries - Uniform,1010,General Fund,305,Police,31500,Patrol,Expense,Personal Services,,9653,205-437.000,,,205,Public Safety Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,186085,Salaries - Uniform.Salaries - Uniform,1010,General Fund,337,Fire,33700,Administration Services,Expense,Personal Services,,12800,401-437.000,,,401,Library Maint & Capital Fund,437000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1827620,Salaries - Uniform.Salaries - Uniform,1010,General Fund,337,Fire,33900,Fighting,Expense,Personal Services,,12915,401-441.000,,,401,Library Maint & Capital Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,142750,Salaries - Uniform.Salaries - Uniform,1010,General Fund,337,Fire,34100,Prevention,Expense,Personal Services,,12581,101-441.000,,,101,General Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,244164,Salaries.Salaries,1010,General Fund,400,Planning,40000,Planning,Expense,Personal Services,,12582,205-441.000,,,205,Public Safety Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1000,Salaries.Salaries,1010,General Fund,441,Public Works,44612,Kentwood Hwys/Street(Non Act 51),Expense,Personal Services,,12583,206-441.000,,,206,Fire Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2000,Salaries.Salaries,1010,General Fund,441,Public Works,44613,Other Govt/Agencies(Non Act 51),Expense,Personal Services,,12584,207-441.000,,,207,Police Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,37341,Salaries.Salaries,1010,General Fund,337,Fire,33700,Administration Services,Expense,Personal Services,,12585,208-441.000,,,208,Parks and Recreation Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,361747,Salaries.Salaries,1010,General Fund,305,Police,31200,Forensic Science Unit,Expense,Personal Services,,12586,211-441.000,,,211,Sidewalk Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,206043,Salaries.Salaries,1010,General Fund,201,Finance,25300,Treasurer,Expense,Personal Services,,12587,230-441.000,,,230,Solid Waste Disposal Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,51218,Salaries.Salaries,1010,General Fund,305,Police,31000,Detective Bureau,Expense,Personal Services,,12589,400-441.000,,,400,Capital Improvement Fund,441000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
FY20,208240,Salaries.Salaries,1010,General Fund,305,Police,30700,Records Management,Expense,Personal Services,,918,101-445.000,,,101,General Fund,445000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,107639,Salaries.Salaries,1010,General Fund,305,Police,30500,Administration Services,Expense,Personal Services,,5464,800-446.001,,,800,Capital Projects Revolving Fund,446001,,,,,,,,Organization,Department,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Special Assessment Funds,60,,,10
FY20,44112,Salaries.Salaries,1010,General Fund,305,Police,30610,Building ,Expense,Personal Services,,920,101-447.000,,,101,General Fund,447000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,609406,Salaries.Salaries,1010,General Fund,258,Information Technology,25800,Information Technology,Expense,Personal Services,,922,101-451.000,,,101,General Fund,451000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,71381,Salaries.Salaries,1010,General Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,3324,249-451.000,,,249,Building Inspection Fund,451000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,281444,Salaries.Salaries,1010,General Fund,215,City Clerk,21500,City Clerk,Expense,Personal Services,,924,101-452.000,,,101,General Fund,452000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,399134,Salaries.Salaries,1010,General Fund,209,Assessor,20900,Assessor,Expense,Personal Services,,3326,249-476.000,,,249,Building Inspection Fund,476000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,683394,Salaries.Salaries,1010,General Fund,136,District Court,13600,District Court,Expense,Personal Services,,3328,249-477.000,,,249,Building Inspection Fund,477000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,248293,Salaries.Salaries,1010,General Fund,136,District Court,15100,District Court - Probation,Expense,Personal Services,,3330,249-479.000,,,249,Building Inspection Fund,479000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,808825,Salaries.Salaries,1010,General Fund,172,City Manager,17200,City Manager,Expense,Personal Services,,11260,249-479.100,,,249,Building Inspection Fund,479100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,508975,Salaries.Salaries,1010,General Fund,201,Finance,20100,Accounting,Expense,Personal Services,,3332,249-480.000,,,249,Building Inspection Fund,480000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,85000,Salaries.Salaries,1010,General Fund,337,Fire,33901,Fighting - Dual Empl. Reserves,Expense,Personal Services,,11261,249-480.100,,,249,Building Inspection Fund,480100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,160760,Salaries.Salaries,1010,General Fund,210,Attorney,21000,Legal Services,Expense,Personal Services,,3334,249-481.000,,,249,Building Inspection Fund,481000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,5000,Salaries - Temporary.Salaries - Temporary,1010,General Fund,201,Finance,20100,Accounting,Expense,Personal Services,,11262,249-481.100,,,249,Building Inspection Fund,481100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,5500,Salaries - Temporary.Salaries - Temporary,1010,General Fund,172,City Manager,17200,City Manager,Expense,Personal Services,,2650,203-483.000,,,203,Local Streets Fund,483000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,178952,Salaries - Temporary.Salaries - Temporary,1010,General Fund,136,District Court,13600,District Court,Expense,Personal Services,,2470,202-483.000,,,202,Major Streets Fund,483000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,11669,Salaries - Temporary.Salaries - Temporary,1010,General Fund,209,Assessor,20900,Assessor,Expense,Personal Services,,2471,202-483.100,,,202,Major Streets Fund,483100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,1500,Salaries - Temporary.Salaries - Temporary,1010,General Fund,215,City Clerk,19100,City Clerk - Election,Expense,Personal Services,,3336,249-484.000,,,249,Building Inspection Fund,484000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,20
FY20,3000,Salaries - Temporary.Salaries - Temporary,1010,General Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,11635,208-526.004,,,208,Parks and Recreation Fund,526004,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,30
FY20,20032,Salaries - Temporary.Salaries - Temporary,1010,General Fund,258,Information Technology,25800,Information Technology,Expense,Personal Services,,11636,208-526.005,,,208,Parks and Recreation Fund,526005,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,30
FY20,120176,Salaries - Temporary.Salaries - Temporary,1010,General Fund,305,Police,31500,Patrol,Expense,Personal Services,,13098,208-526.006,,,208,Parks and Recreation Fund,526006,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,30
FY20,5000,Salaries - Temporary.Salaries - Temporary,1010,General Fund,201,Finance,25300,Treasurer,Expense,Personal Services,,9564,249-531.001,,,249,Building Inspection Fund,531001,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,30
FY20,60000,Salaries - Temporary.Salaries - Temporary,1010,General Fund,337,Fire,33900,Fighting,Expense,Personal Services,,13299,256-000-02020-531.001,,,25600002020,Community Development Fund-General Government-2020,531001,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,30
FY20,125000,Salaries - Temporary.Salaries - Temporary,1010,General Fund,337,Fire,33902,Fighting - Paid on Call,Expense,Personal Services,,12918,256-000-00019-531.001,,,25600000019,Community Development Fund-General Government-2019,531001,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,30
FY20,23350,Salaries - Temporary.Salaries - Temporary,1010,General Fund,210,Attorney,21000,Legal Services,Expense,Personal Services,,954,101-541.000,,,101,General Fund,541000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,40
FY20,15000,Salaries - Overtime.Salaries - Overtime,1010,General Fund,305,Police,31200,Forensic Science Unit,Expense,Personal Services,,7154,101-543.000,,,101,General Fund,543000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,40
FY20,1000,Salaries - Overtime.Salaries - Overtime,1010,General Fund,201,Finance,25300,Treasurer,Expense,Personal Services,,958,101-543.001,,,101,General Fund,543001,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,40
FY20,1500,Salaries - Overtime.Salaries - Overtime,1010,General Fund,305,Police,30700,Records Management,Expense,Personal Services,,964,101-544.000,,,101,General Fund,544000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,40
FY20,1500,Salaries - Overtime.Salaries - Overtime,1010,General Fund,305,Police,31000,Detective Bureau,Expense,Personal Services,,2652,203-546.000,,,203,Local Streets Fund,546000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,40
FY20,2000,Salaries - Overtime.Salaries - Overtime,1010,General Fund,305,Police,30610,Building ,Expense,Personal Services,,2473,202-546.000,,,202,Major Streets Fund,546000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,40
FY20,500,Salaries - Overtime.Salaries - Overtime,1010,General Fund,305,Police,30500,Administration Services,Expense,Personal Services,,968,101-574.000,,,101,General Fund,574000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,40
