Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,2620,,,207,,
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,1570,,,206,,
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,420,,,211,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,319416,,,101,,
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,3270,,,400,,
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,740,,,230,,
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,1450,,,230,,
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,5650,,,400,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,17800,,,101,,
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,540,,,211,,
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,2750,,,206,,
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,4550,,,207,,
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,5450,,,208,,
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,4550,,,205,,
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,1350,,,401,,
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-1800,,,401,,
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-5900,,,205,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-25000,,,101,,
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-7350,,,400,,
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-700,,,211,,
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-7000,,,208,,
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-3500,,,206,,
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-5900,,,207,,
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-1900,,,230,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Trailer Fees,4400,,,101,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.IFT Revenue,149200,,,101,,
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.IFT Revenue,45700,,,208,,
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.IFT Revenue,38100,,,207,,
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.IFT Revenue,22800,,,206,,
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.IFT Revenue,4500,,,211,,
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.IFT Revenue,12200,,,230,,
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.IFT Revenue,47700,,,400,,
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.IFT Revenue,38100,,,205,,
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.IFT Revenue,11200,,,401,,
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,6210,,,401,,
FY20,Revenue,,,General Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,524850,,,101,,
FY20,Revenue,,,Public Safety Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,78100,,,205,,
FY20,Revenue,,,Fire Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,12590,,,206,,
FY20,Revenue,,,Police Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,20980,,,207,,
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,25175,,,208,,
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,3360,,,211,,
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,17875,,,230,,
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,26312,,,400,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Interest & Penalties,55000,,,101,,
FY20,Revenue,,,Capital Projects Revolving Fund,Taxes,Property Taxes.Interest Inc Cap Proj,2698,,,800,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Administration Fees,1000000,,,101,,
FY20,Revenue,,,General Fund,Licenses and Permits,Licenses.Licenses,50000,,,101,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Licenses.Licenses,11500,,,249,,
FY20,Revenue,,,General Fund,Licenses and Permits,CATV Fees.CATV Fees,1000000,,,101,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Registration Fees.Rental,309714,,,249,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Building,714600,,,249,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Electrical,151800,,,249,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Electrical Inspections,17000,,,249,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Mechanical,142780,,,249,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Mechanical Inspections,5040,,,249,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Plumbing,68556,,,249,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Plumbing Inspections,15080,,,249,,
FY20,Revenue,,,Local Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000,,,203,,
FY20,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000,,,202,,
FY20,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.ROW Rev,255000,,,202,,
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Other,18871,,,249,,
FY20,Revenue,,,Parks and Recreation Fund,Federal Grants,Federal Grant.21st Century Cohort I-1,29294,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Federal Grants,Federal Grant.21st Century Cohort I-2,29296,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Federal Grants,Federal Grant.21st Century Cohort k,146480,,,208,,
FY20,Revenue,,,Building Inspection Fund,Federal Grants,Federal Grant Revenue.Grant Revenue,55000,,,249,,
FY20,Revenue,General Government,2020,Community Development Fund,Federal Grants,Federal Grant Revenue.Grant Revenue,550935,,,256,000,02020
FY20,Revenue,General Government,2019,Community Development Fund,Federal Grants,Federal Grant Revenue.Grant Revenue,90772,,,256,000,00019
FY20,Revenue,,,General Fund,State Grants,State Grants.St. GR. Dist. Judge Salary,91450,,,101,,
FY20,Revenue,,,General Fund,State Grants,State Grants.Auto Theft Prevention Authority,68000,,,101,,
FY20,Revenue,,,General Fund,State Grants,State Grants.Act 302,15000,,,101,,
FY20,Revenue,,,General Fund,State Grants,State Grants.Dst Ct Drnk Caseld Asst,10000,,,101,,
FY20,Revenue,,,Local Streets Fund,State Grants,State Grants.M.V.H.F Revenue,2000000,,,203,,
FY20,Revenue,,,Major Streets Fund,State Grants,State Grants.M.V.H.F Revenue,6700000,,,202,,
FY20,Revenue,,,General Fund,State Grants,State Grants.State Shared Revenue,6477000,,,101,,
FY20,Revenue,,,General Fund,State Grants,State Grants.EVIP (Econ Vitality Incentive),685398,,,101,,
FY20,Revenue,,,General Fund,State Grants,State Grants.Liquor Licenses,30000,,,101,,
FY20,Revenue,,,Library Maint & Capital Fund,Contributions from Local Units,Contributions from Local Units.District Library Share Maint,61540,,,401,,
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Govt Units Share Elections,15000,,,101,,
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Cross Guards,31000,,,101,,
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Liason Officers,216040,,,101,,
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Propriet Security,2500,,,101,,
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kentwood Street Maint,1580,,,101,,
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Goverment Agencies,3160,,,101,,
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kent County Dispatch Authority,14400,,,101,,
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Donations.Donations,1000,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Donations.Dog Park,3000,,,208,,
FY20,Revenue,,,Retiree Health Trust Fund,Other Revenues,Net Appreciation.(Depreciation),2131000,,,732,,
FY20,Revenue,,,Pension Fund,Other Revenues,Net Appreciation.(Depreciation),9420000,,,731,,
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Dividend Income.Dividend Income,780000,,,731,,
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Dividend Income.Dividend Income,750000,,,732,,
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.General,596810,,,731,,
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.General Pension Health ,723000,,,732,,
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Group A Pension Health,732000,,,732,,
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Group B Pension Health,1110000,,,732,,
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Group A,488759,,,731,,
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Group B,622269,,,731,,
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Police,1129337,,,731,,
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Police Pension Health,961000,,,732,,
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Fire,303315,,,731,,
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Fire Pension Health,254000,,,732,,
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Board of Appeals Fees.Board of Appeals Fees,10000,,,249,,
FY20,Revenue,,,General Fund,Charges for Service,IFT Application Fees.IFT Application Fees,5000,,,101,,
FY20,Revenue,,,General Fund,Charges for Service,Planning Fees.Planning Fees,22000,,,101,,
FY20,Revenue,,,General Fund,Charges for Service,Duplicating Services.Duplicating Services,19000,,,101,,
FY20,Revenue,,,General Fund,Charges for Service,Inter Fund Services.Inter Fund Services,3559923,,,101,,
FY20,Revenue,,,Local Streets Fund,Charges for Service,Engineering Fees.Subdivision.Subdivision,15000,,,203,,
FY20,Revenue,,,Major Streets Fund,Charges for Service,Engineering Fees.Subdivision.Subdivision,30000,,,202,,
FY20,Revenue,,,Water Fund,Charges for Service,Sewer Billing Fee.Sewer Billing Fee,583130,,,591,,
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Fees.Weed Cutting Services,12510,,,249,,
FY20,Revenue,,,General Fund,Charges for Service,Fees.Forensics-latnt fngrprt&drg tsts,2000,,,101,,
FY20,Revenue,,,General Fund,Charges for Service,Fees.PD Traffic Control,2000,,,101,,
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Fees.Demolition Services,15000,,,249,,
FY20,Revenue,,,Building Inspection Fund,Fines and Forfeitures,Fees.Property Maintenance Services,15200,,,249,,
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Fees.Vacant Bldg Insp Services,25000,,,249,,
FY20,Revenue,,,Motor Pool Fund,Charges for Service,Income.Other Sales,30000,,,661,,
FY20,Revenue,,,General Liability Fund,Charges for Service,Income.Premium General Liability,544000,,,678,,
FY20,Revenue,,,Fleet Insurance Fund,Charges for Service,Income.Ins Premium Fleet,150000,,,679,,
FY20,Revenue,,,Property Insurance Fund,Charges for Service,Income.Ins. Premium Property,69473,,,680,,
FY20,Revenue,,,Workers' Compensation Fund,Charges for Service,Income.Workers Comp Ins Prem.,662000,,,682,,
FY20,Revenue,,,Life Insurance Fund,Charges for Service,Income.Insurance Premium Life,32000,,,681,,
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Ins Prem Health Wyoming,8578060,,,683,,
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Ins Prem Employee Contr,1151083,,,683,,
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Ins Prem Health StopLoss,100000,,,683,,
FY20,Revenue,,,Dental Insurance Fund,Charges for Service,Income.Ins Prem Dental Wyoming,496358,,,684,,
FY20,Revenue,,,Dental Insurance Fund,Charges for Service,Income.Ins Prem Dental Cobra ,4000,,,684,,
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Premium Vision Wyoming,82360,,,683,,
FY20,Revenue,,,Water Fund,Charges for Service,Charge for Services.Unmetered Sales,4000,,,591,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Metered Sales Gen Customers,9450000,,,590,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Metered Sales Gen Customers,6030000,,,591,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Ready to Serve Charges,2910000,,,591,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Ready to Serve Charges,1890000,,,590,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.System Development Chg,100000,,,590,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.System Development Chg,100000,,,591,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Sewer Surcharges,1600000,,,590,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Private Fire Protection,310000,,,591,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Industrl Cust. Penalties,15000,,,590,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Sales to Ottawa County,7000000,,,591,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Kentwood,2100000,,,590,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Kentwood,1300000,,,591,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Grandville,1100000,,,591,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Byron and Gaines,2600000,,,591,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Georgetown Twp.,110000,,,591,,
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Grand Rapids,60000,,,591,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Grandville,15000,,,590,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Grand Valley Regional Biosolids ,400000,,,590,,
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Byron Gaines,2700000,,,590,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Parks,74000,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Recreation,165681,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Recreation Sponsorships,25700,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.WSC,33481,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.WSC Sponsorships,630,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.WSC Rental,190,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Fees.Special Events,300,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Friendly Travelers,15425,,,208,,
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Concession Income.Concession Income,4100,,,208,,
FY20,Revenue,,,General Fund,Fines and Forfeitures,District Court Income.District Court Income,1700000,,,101,,
FY20,Revenue,,,Sewer Fund,Fines and Forfeitures,Collection Cost Recovery Fee.Collection Cost Receovery Fee,40000,,,590,,
FY20,Revenue,,,Water Fund,Fines and Forfeitures,Collection Cost Recovery Fee.Collection Cost Receovery Fee,50000,,,591,,
FY20,Revenue,,,Sewer Fund,Fines and Forfeitures,Forfeited Discount Penalty.Forfeited Discount Penalty,120000,,,590,,
FY20,Revenue,,,Water Fund,Fines and Forfeitures,Forfeited Discount Penalty.Forfeited Discount Penalty,90000,,,591,,
FY20,Revenue,,,Water Fund,Interest and Rentals,Interest on Investments.Interest on Investments,50000,,,591,,
FY20,Revenue,,,Solid Waste Disposal Fund,Interest and Rentals,Interest on Investments.Interest on Investments,11700,,,230,,
FY20,Revenue,,,Sewer Fund,Interest and Rentals,Interest on Investments.Interest on Investments,200150,,,590,,
FY20,Revenue,,,Capital Improvement Fund,Interest and Rentals,Interest on Investments.Interest on Investments,63000,,,400,,
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Interest on Investments.Interest on Investments,15000,,,661,,
FY20,Revenue,,,Retiree Health Trust Fund,Interest and Rentals,Interest on Investments.Interest on Investments,-2000,,,732,,
FY20,Revenue,,,Capital Projects Revolving Fund,Interest and Rentals,Interest on Investments.Interest on Investments,9000,,,800,,
FY20,Revenue,,,Motor Pool - Depreciation Res,Interest and Rentals,Interest on Investments.Interest on Investments,15000,,,662,,
FY20,Revenue,,,Pension Fund,Interest and Rentals,Interest on Investments.Interest on Investments,2500000,,,731,,
FY20,Revenue,,,General Fund,Interest and Rentals,Interest on Investments.Interest on Investments,200000,,,101,,
FY20,Revenue,,,Parks and Recreation Fund,Interest and Rentals,Interest on Investments.Interest on Investments,31400,,,208,,
FY20,Revenue,,,Local Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5000,,,203,,
FY20,Revenue,,,Fire Fund,Interest and Rentals,Interest on Investments.Interest on Investments,7750,,,206,,
FY20,Revenue,,,Police Fund,Interest and Rentals,Interest on Investments.Interest on Investments,12900,,,207,,
FY20,Revenue,,,Building Inspection Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5000,,,249,,
FY20,Revenue,,,Sidewalk Fund,Interest and Rentals,Interest on Investments.Interest on Investments,6900,,,211,,
FY20,Revenue,,,Major Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,30000,,,202,,
FY20,Revenue,,,Public Safety Fund,Interest and Rentals,Interest on Investments.Interest on Investments,13500,,,205,,
FY20,Revenue,,,Fleet Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5243,,,679,,
FY20,Revenue,,,Property Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,17856,,,680,,
FY20,Revenue,,,Workers' Compensation Fund,Interest and Rentals,Interest on Investments.Interest on Investments,60000,,,682,,
FY20,Revenue,,,General Liability Fund,Interest and Rentals,Interest on Investments.Interest on Investments,16780,,,678,,
FY20,Revenue,,,Health Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,34000,,,683,,
FY20,Revenue,,,Life Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,121,,,681,,
FY20,Revenue,,,Dental Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5636,,,684,,
FY20,Revenue,,,Library Maint & Capital Fund,Interest and Rentals,Interest on Investments.Interest on Investments,14200,,,401,,
FY20,Revenue,,,Community Development Fund,Interest and Rentals,Interest Income.Interest Income,13800,,,256,,
FY20,Revenue,,,Water Fund,Interest and Rentals,Rental Income.Property,140000,,,591,,
FY20,Revenue,,,Sewer Fund,Interest and Rentals,Rental Income.Property,30000,,,590,,
FY20,Revenue,,,Solid Waste Disposal Fund,Interest and Rentals,Rental Income.Equipment,5000,,,230,,
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Building Rental,314810,,,661,,
FY20,Revenue,,,Water Fund,Interest and Rentals,Rental Income.Building Rental,10000,,,591,,
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental,2215000,,,661,,
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Maint- Parts,369000,,,661,,
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Maint - Labor,380000,,,661,,
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Maint - Commrcl,284000,,,661,,
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Fuel,422000,,,661,,
FY20,Revenue,,,Parks and Recreation Fund,Interest and Rentals,Property Rental Income.Property Rental Income,8825,,,208,,
FY20,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.Property Rental Income,74380,,,101,,
FY20,Revenue,,,Library Maint & Capital Fund,Interest and Rentals,Property Rental Income.Property Rental Income,1000,,,401,,
FY20,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.PD Pistol Range Lease,17900,,,101,,
FY20,Revenue,,,Capital Projects Revolving Fund,Other Revenues,Revenue Special Assessment.Revenue Special Assessment,16734,,,800,,
FY20,Revenue,,,Motor Pool - Depreciation Res,Other Revenues,Sales.Sale of Equipment Depr & Reserve,170000,,,662,,
FY20,Revenue,,,General Fund,Other Revenues,Income/Donations.Vets Mem Pk,1000,,,101,,
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.DROP Contributions Police,58531,,,731,,
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. Police,135000,,,731,,
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. Fire,65000,,,731,,
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. Police Command,90000,,,731,,
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. General,30000,,,731,,
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contri-Group A,20000,,,731,,
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contri - Group B,40000,,,731,,
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Reimbursements.Reimbursements,10860,,,208,,
FY20,Revenue,,,Local Streets Fund,Other Revenues,Reimbursements.Reimbursements,5000,,,203,,
FY20,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Reimbursements,5000,,,202,,
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Reimbursements,60000,,,101,,
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.PD OUIL/OUID Cost Teim.,23000,,,101,,
FY20,Revenue,,,Community Development Fund,Other Revenues,Reimbursements.H.R.S. Co Pay,6000,,,256,,
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Reimbursements.Schools,3300,,,208,,
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Federal Government,4500,,,101,,
FY20,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Interdepartmental,20000,,,202,,
FY20,Revenue,,,Local Streets Fund,Other Revenues,Reimbursements.Interdepartmental,10000,,,203,,
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Reimbursements.Interdepartmental,111800,,,208,,
FY20,Revenue,,,Water Fund,Other Revenues,Reimbursements.Interdepartmental,5000,,,591,,
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Interdepartmental,3800,,,101,,
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.REGIS - Electric,1500,,,101,,
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Legal Internal,10000,,,101,,
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Legal External,500,,,101,,
FY20,Revenue,,,Community Development Fund,Other Revenues,Reimbursements.Grants,40000,,,256,,
FY20,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements Accident.Reimbursements Accident,3000,,,202,,
FY20,Revenue,,,Water Fund,Other Revenues,Reimbursements Accident.Reimbursements Accident,5000,,,591,,
FY20,Revenue,,,Community Development Fund,Other Revenues,Loan Payments.Loan Payments,61000,,,256,,
FY20,Revenue,,,Community Development Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,200,,,256,,
FY20,Revenue,,,Major Streets Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,2000,,,202,,
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,1000,,,208,,
FY20,Revenue,,,General Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,30000,,,101,,
FY20,Revenue,,,Sewer Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,15000,,,590,,
