Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
2019,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,175248
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,25080
2019,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,1000
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,2000
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,18570
2019,Expense,Police,Patrol,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,87360
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5000
2019,Expense,Fire,Fighting,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,60000
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,51056.48
2019,Expense,Fire,Fighting - Paid on Call,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,125000
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,30000
2019,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,1000
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,0
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,15000
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500
2019,Expense,Police,Records Management,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500
2019,Expense,Police,Building ,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,2000
2019,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,500
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,11800
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,2000
2019,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,12000
2019,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,5000
2019,Expense,Finance,Accounting,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,37000
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,0
2019,Expense,Police,OHSP - Strategic Traffic Enf ,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,3301.19
2019,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,55000
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,100000
2019,Expense,Police,Patrol,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,415000
2019,Expense,Fire,Fighting,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,300000
2019,Expense,Fire,Prevention,General Fund,Personal Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,5000
2019,Expense,Planning,Planning,General Fund,Personal Services,Boards and Commissions.Boards and Commissions,4500
2019,Expense,Assessor,Board of Review,General Fund,Personal Services,Boards and Commissions.Boards and Commissions,6600
2019,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Officials.Salaries - Officials,72000
2019,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,F.I.C.A..F.I.C.A.,230
2019,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,F.I.C.A..F.I.C.A.,77
2019,Expense,Planning,Planning,General Fund,Personal Services,F.I.C.A..F.I.C.A.,18457
2019,Expense,Fire,Prevention,General Fund,Personal Services,F.I.C.A..F.I.C.A.,5579
2019,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,F.I.C.A..F.I.C.A.,995
2019,Expense,Assessor,Assessor,General Fund,Personal Services,F.I.C.A..F.I.C.A.,29215
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,F.I.C.A..F.I.C.A.,21176
2019,Expense,Finance,Accounting,General Fund,Personal Services,F.I.C.A..F.I.C.A.,38808
2019,Expense,City Manager,City Manager,General Fund,Personal Services,F.I.C.A..F.I.C.A.,48081
2019,Expense,District Court,District Court,General Fund,Personal Services,F.I.C.A..F.I.C.A.,65800
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,F.I.C.A..F.I.C.A.,23012.82
2019,Expense,City Council,City Council,General Fund,Personal Services,F.I.C.A..F.I.C.A.,5174
2019,Expense,Assessor,Board of Review,General Fund,Personal Services,F.I.C.A..F.I.C.A.,505
2019,Expense,Finance,Treasurer,General Fund,Personal Services,F.I.C.A..F.I.C.A.,15655
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,F.I.C.A..F.I.C.A.,29991
2019,Expense,Police,Patrol,General Fund,Personal Services,F.I.C.A..F.I.C.A.,385195
2019,Expense,Fire,Fighting,General Fund,Personal Services,F.I.C.A..F.I.C.A.,164845
2019,Expense,Fire,Administration Services,General Fund,Personal Services,F.I.C.A..F.I.C.A.,16827
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,F.I.C.A..F.I.C.A.,115925
2019,Expense,Police,Records Management,General Fund,Personal Services,F.I.C.A..F.I.C.A.,16647
2019,Expense,Police,Administration Services,General Fund,Personal Services,F.I.C.A..F.I.C.A.,77861
2019,Expense,Police,Building ,General Fund,Personal Services,F.I.C.A..F.I.C.A.,3606
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,F.I.C.A..F.I.C.A.,5463
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,F.I.C.A..F.I.C.A.,47795
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,F.I.C.A..F.I.C.A.,9334
2019,Expense,Police,OHSP - Strategic Traffic Enf ,General Fund,Personal Services,F.I.C.A..F.I.C.A.,519.91
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,F.I.C.A..F.I.C.A.,13770
2019,Expense,Fire,Fighting - Paid on Call,General Fund,Personal Services,F.I.C.A..F.I.C.A.,9563
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,135631
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,18270
2019,Expense,Police,Building ,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,21865
2019,Expense,Police,Administration Services,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,172158
2019,Expense,Police,Records Management,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,82320
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,360082
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,64470
2019,Expense,Fire,Fighting,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,511482
2019,Expense,Police,Patrol,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,1053859
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,111248
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,49950
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,47041
2019,Expense,District Court,District Court,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,226199
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,126749
2019,Expense,Finance,Accounting,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,91975.92
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,102609
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,85886
2019,Expense,Fire,Prevention,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,21865
2019,Expense,Planning,Planning,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,31567
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,16090
2019,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Life Insurance.Life Insurance,3
2019,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Life Insurance.Life Insurance,2
2019,Expense,Planning,Planning,General Fund,Personal Services,Life Insurance.Life Insurance,315
2019,Expense,Fire,Prevention,General Fund,Personal Services,Life Insurance.Life Insurance,91
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Life Insurance.Life Insurance,477
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,Life Insurance.Life Insurance,374
2019,Expense,Finance,Accounting,General Fund,Personal Services,Life Insurance.Life Insurance,668
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Life Insurance.Life Insurance,862
2019,Expense,District Court,District Court,General Fund,Personal Services,Life Insurance.Life Insurance,1027
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Life Insurance.Life Insurance,330
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Life Insurance.Life Insurance,268
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Life Insurance.Life Insurance,514
2019,Expense,Police,Patrol,General Fund,Personal Services,Life Insurance.Life Insurance,6119
2019,Expense,Fire,Fighting,General Fund,Personal Services,Life Insurance.Life Insurance,2417
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Life Insurance.Life Insurance,305
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Life Insurance.Life Insurance,1880
2019,Expense,Police,Records Management,General Fund,Personal Services,Life Insurance.Life Insurance,293
2019,Expense,Police,Administration Services,General Fund,Personal Services,Life Insurance.Life Insurance,1263
2019,Expense,Police,Building ,General Fund,Personal Services,Life Insurance.Life Insurance,63
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Life Insurance.Life Insurance,91
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Life Insurance.Life Insurance,793
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Life Insurance.Life Insurance,63
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Life Insurance.Life Insurance,210
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.Pension,170307
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.Pension,28184
2019,Expense,Police,Building ,General Fund,Personal Services,Pension.Pension,9697
2019,Expense,Police,Administration Services,General Fund,Personal Services,Pension.Pension,290874
2019,Expense,Police,Records Management,General Fund,Personal Services,Pension.Pension,43331
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Pension.Pension,461772
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Pension.Pension,44145
2019,Expense,Fire,Fighting,General Fund,Personal Services,Pension.Pension,570993
2019,Expense,Police,Patrol,General Fund,Personal Services,Pension.Pension,1308462
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Pension.Pension,78879
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.Pension,55104
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.Pension,59882
2019,Expense,District Court,District Court,General Fund,Personal Services,Pension.Pension,212748
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.Pension,169967
2019,Expense,Finance,Accounting,General Fund,Personal Services,Pension.Pension,116766
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.Pension,72022
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.Pension,103291
2019,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Pension.Pension,3849
2019,Expense,Fire,Prevention,General Fund,Personal Services,Pension.Pension,23388
2019,Expense,Planning,Planning,General Fund,Personal Services,Pension.Pension,67129
2019,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Pension.Pension,413
2019,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Pension.Pension,826
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Pension.Pension,30105
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Pension.Pension,46047
2019,Expense,Police,OHSP - Strategic Traffic Enf ,General Fund,Personal Services,Pension.Pension,3636.39
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.DC Plan,6152
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.DC Plan,700
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.DC Plan,5493
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Pension.DC Plan,4000
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Pension.DC Plan,23163
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Pension.DC Plan,17582
2019,Expense,Police,Records Management,General Fund,Personal Services,Pension.DC Plan,16935
2019,Expense,Police,Building ,General Fund,Personal Services,Pension.DC Plan,3610
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Pension.DC Plan,12000
2019,Expense,Finance,Accounting,General Fund,Personal Services,Pension.DC Plan,30154
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.DC Plan,24992
2019,Expense,Police,Administration Services,General Fund,Personal Services,Pension.DC Plan,25111
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.DC Plan,17578
2019,Expense,Police,Patrol,General Fund,Personal Services,Pension.DC Plan,181007
2019,Expense,Fire,Fighting,General Fund,Personal Services,Pension.DC Plan,66331
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Pension.DC Plan,18109
2019,Expense,Planning,Planning,General Fund,Personal Services,Pension.DC Plan,7119
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.DC Plan,11019
2019,Expense,District Court,District Court,General Fund,Personal Services,Pension.DC Plan,13605
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.DC Plan,13967
2019,Expense,Planning,Planning,General Fund,Personal Services,Pension.Retiree Health - DC Plan,2734
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Pension.Retiree Health - DC Plan,4867
2019,Expense,Police,Patrol,General Fund,Personal Services,Pension.Retiree Health - DC Plan,83602
2019,Expense,Finance,Accounting,General Fund,Personal Services,Pension.Retiree Health - DC Plan,10270
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.Retiree Health - DC Plan,13009
2019,Expense,Fire,Fighting - Paid on Call,General Fund,Personal Services,Pension.Retiree Health - DC Plan,0
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Pension.Retiree Health - DC Plan,6000
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.Retiree Health - DC Plan,3544
2019,Expense,Police,Building ,General Fund,Personal Services,Pension.Retiree Health - DC Plan,1772
2019,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Pension.Retiree Health - DC Plan,0
2019,Expense,Fire,Fighting,General Fund,Personal Services,Pension.Retiree Health - DC Plan,30735
2019,Expense,Police,Records Management,General Fund,Personal Services,Pension.Retiree Health - DC Plan,9931
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Pension.Retiree Health - DC Plan,4582
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.Retiree Health - DC Plan,6388
2019,Expense,District Court,District Court,General Fund,Personal Services,Pension.Retiree Health - DC Plan,5315
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Pension.Retiree Health - DC Plan,9931
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Pension.Retiree Health - DC Plan,3100
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.Retiree Health - DC Plan,5315
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.Retiree Health - DC Plan,3189
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.Retiree Health - DC Plan,244
2019,Expense,Police,OHSP - Strategic Traffic Enf ,General Fund,Personal Services,Pension.Retiree Health - DC Plan,0
2019,Expense,Police,Administration Services,General Fund,Personal Services,Pension.Retiree Health - DC Plan,7409
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.Retiree Health - DC Plan,5226
2019,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,183
2019,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,61
2019,Expense,Planning,Planning,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,1161
2019,Expense,Fire,Prevention,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,3948
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,906
2019,Expense,Finance,Accounting,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,696
2019,Expense,District Court,District Court,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,3342
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,4984.12
2019,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,13
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,4408
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,381
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,859
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,2161
2019,Expense,Police,Administration Services,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,18250
2019,Expense,Police,Building ,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,1724
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,29508
2019,Expense,Police,Records Management,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,301
2019,Expense,Fire,Fighting,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,114065
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,10382
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,280
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,7713
2019,Expense,Police,Patrol,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,100864
2019,Expense,Police,OHSP - Strategic Traffic Enf ,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,484.24
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,6153
2019,Expense,Fire,Fighting - Paid on Call,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,7013
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,3180
2019,Expense,Police,Patrol,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,32100
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,2963
2019,Expense,Finance,Treasurer,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,2666
2019,Expense,Fire,Administration Services,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,180
2019,Expense,Fire,Fighting,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,11200
2019,Expense,Police,Records Management,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,270
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,15592
2019,Expense,Police,Administration Services,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7763
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,1463
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7303
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,4760
2019,Expense,Assessor,Assessor,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,6967
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,3260
2019,Expense,District Court,District Court,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,13796
2019,Expense,Finance,Accounting,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7549
2019,Expense,City Manager,City Manager,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7109
2019,Expense,Fire,Prevention,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,900
2019,Expense,Planning,Planning,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,2284
2019,Expense,District Court,District Court,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,0
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,24000
2019,Expense,Finance,Accounting,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,0
2019,Expense,Police,Administration Services,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,20000
2019,Expense,Planning,Planning,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,0
2019,Expense,Planning,Planning,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,0
2019,Expense,Police,Administration Services,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,0
2019,Expense,Finance,Accounting,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,0
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,16000
2019,Expense,District Court,District Court,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,0
2019,Expense,Planning,Planning,General Fund,Supplies,Office Supplies.Office Supplies,700
2019,Expense,Finance,Treasurer,General Fund,Supplies,Office Supplies.Office Supplies,9250
2019,Expense,Fire,Administration Services,General Fund,Supplies,Office Supplies.Office Supplies,2500
2019,Expense,Police,Records Management,General Fund,Supplies,Office Supplies.Office Supplies,2200
2019,Expense,Police,Administration Services,General Fund,Supplies,Office Supplies.Office Supplies,16000
2019,Expense,Assessor,Assessor,General Fund,Supplies,Office Supplies.Office Supplies,4400
2019,Expense,City Clerk,City Clerk - Election,General Fund,Supplies,Office Supplies.Office Supplies,3200
2019,Expense,City Clerk,City Clerk,General Fund,Supplies,Office Supplies.Office Supplies,2400
2019,Expense,District Court,District Court,General Fund,Supplies,Office Supplies.Office Supplies,33300
2019,Expense,City Manager,City Manager,General Fund,Supplies,Office Supplies.Office Supplies,11175
2019,Expense,Finance,Accounting,General Fund,Supplies,Office Supplies.Office Supplies,5385
2019,Expense,Attorney,Legal Services,General Fund,Supplies,Office Supplies.Office Supplies,7500
2019,Expense,District Court,Building,General Fund,Supplies,Operating Supplies.Operating Supplies,6300
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Supplies,Operating Supplies.Operating Supplies,500
2019,Expense,Fire,Fighting - Paid on Call,General Fund,Supplies,Operating Supplies.Operating Supplies,1500
2019,Expense,City Council,City Council,General Fund,Supplies,Operating Supplies.Operating Supplies,3450
2019,Expense,Purchasing,Central Services,General Fund,Supplies,Operating Supplies.Operating Supplies,500
2019,Expense,Information Technology,Information Technology,General Fund,Supplies,Operating Supplies.Operating Supplies,19000
2019,Expense,Facilities,Facilities Maintenance,General Fund,Supplies,Operating Supplies.Operating Supplies,21530
2019,Expense,Police,Building ,General Fund,Supplies,Operating Supplies.Operating Supplies,13700
2019,Expense,Police,Detective Bureau,General Fund,Supplies,Operating Supplies.Operating Supplies,7000
2019,Expense,Police,Senior Volunteer,General Fund,Supplies,Operating Supplies.Operating Supplies,2500
2019,Expense,Police,Jail,General Fund,Supplies,Operating Supplies.Operating Supplies,50
2019,Expense,Fire,Fighting,General Fund,Supplies,Operating Supplies.Operating Supplies,39000
2019,Expense,Police,Forensic Science Unit,General Fund,Supplies,Operating Supplies.Operating Supplies,11000
2019,Expense,Police,Patrol,General Fund,Supplies,Operating Supplies.Operating Supplies,47600
2019,Expense,Fire,Prevention,General Fund,Supplies,Operating Supplies.Operating Supplies,3000
