budget_year,department,fund_code,account_type,account_category,amount
FY20,District Court,1010,Expense,Personal Services,91448
FY20,Police,1010,Expense,Personal Services,659384
FY20,Police,1010,Expense,Personal Services,1440896
FY20,Police,1010,Expense,Personal Services,4939935
FY20,Fire,1010,Expense,Personal Services,186085
FY20,Fire,1010,Expense,Personal Services,1827620
FY20,Fire,1010,Expense,Personal Services,142750
FY20,Planning,1010,Expense,Personal Services,244164
FY20,Public Works,1010,Expense,Personal Services,1000
FY20,Public Works,1010,Expense,Personal Services,2000
FY20,Fire,1010,Expense,Personal Services,37341
FY20,Police,1010,Expense,Personal Services,361747
FY20,Finance,1010,Expense,Personal Services,206043
FY20,Police,1010,Expense,Personal Services,51218
FY20,Police,1010,Expense,Personal Services,208240
FY20,Police,1010,Expense,Personal Services,107639
FY20,Police,1010,Expense,Personal Services,44112
FY20,Information Technology,1010,Expense,Personal Services,609406
FY20,Facilities,1010,Expense,Personal Services,71381
FY20,City Clerk,1010,Expense,Personal Services,281444
FY20,Assessor,1010,Expense,Personal Services,399134
FY20,District Court,1010,Expense,Personal Services,683394
FY20,District Court,1010,Expense,Personal Services,248293
FY20,City Manager,1010,Expense,Personal Services,808825
FY20,Finance,1010,Expense,Personal Services,508975
FY20,Fire,1010,Expense,Personal Services,85000
FY20,Attorney,1010,Expense,Personal Services,160760
FY20,Finance,1010,Expense,Personal Services,5000
FY20,City Manager,1010,Expense,Personal Services,5500
FY20,District Court,1010,Expense,Personal Services,178952
FY20,Assessor,1010,Expense,Personal Services,11669
FY20,City Clerk,1010,Expense,Personal Services,1500
FY20,Facilities,1010,Expense,Personal Services,3000
FY20,Information Technology,1010,Expense,Personal Services,20032
FY20,Police,1010,Expense,Personal Services,120176
FY20,Finance,1010,Expense,Personal Services,5000
FY20,Fire,1010,Expense,Personal Services,60000
FY20,Fire,1010,Expense,Personal Services,125000
FY20,Attorney,1010,Expense,Personal Services,23350
FY20,Police,1010,Expense,Personal Services,15000
FY20,Finance,1010,Expense,Personal Services,1000
FY20,Police,1010,Expense,Personal Services,1500
FY20,Police,1010,Expense,Personal Services,1500
FY20,Police,1010,Expense,Personal Services,2000
FY20,Police,1010,Expense,Personal Services,500
FY20,Information Technology,1010,Expense,Personal Services,11800
FY20,Facilities,1010,Expense,Personal Services,2000
FY20,City Clerk,1010,Expense,Personal Services,16300
FY20,District Court,1010,Expense,Personal Services,5000
FY20,Finance,1010,Expense,Personal Services,1000
FY20,Planning,1010,Expense,Personal Services,900
FY20,Fire,1010,Expense,Personal Services,37000
FY20,City Manager,1010,Expense,Personal Services,1000
FY20,Police,1010,Expense,Personal Services,55000
FY20,Police,1010,Expense,Personal Services,100000
FY20,Police,1010,Expense,Personal Services,415000
FY20,Fire,1010,Expense,Personal Services,300000
FY20,Fire,1010,Expense,Personal Services,5000
FY20,Planning,1010,Expense,Personal Services,5445
FY20,Assessor,1010,Expense,Personal Services,6600
FY20,City Clerk,1010,Expense,Personal Services,73600
FY20,Public Works,1010,Expense,Personal Services,153
FY20,Public Works,1010,Expense,Personal Services,77
FY20,Planning,1010,Expense,Personal Services,19098
FY20,Fire,1010,Expense,Personal Services,11372
FY20,City Clerk,1010,Expense,Personal Services,1363
FY20,Assessor,1010,Expense,Personal Services,32831
FY20,City Clerk,1010,Expense,Personal Services,21912
FY20,Finance,1010,Expense,Personal Services,40797
FY20,City Manager,1010,Expense,Personal Services,60654
FY20,District Court,1010,Expense,Personal Services,67362
FY20,District Court,1010,Expense,Personal Services,19252
FY20,City Council,1010,Expense,Personal Services,5581
FY20,Assessor,1010,Expense,Personal Services,505
FY20,Finance,1010,Expense,Personal Services,16439
FY20,Police,1010,Expense,Personal Services,29052
FY20,Police,1010,Expense,Personal Services,421371
FY20,Fire,1010,Expense,Personal Services,168248
FY20,Fire,1010,Expense,Personal Services,17211
FY20,Police,1010,Expense,Personal Services,123076
FY20,Police,1010,Expense,Personal Services,16119
FY20,Police,1010,Expense,Personal Services,62766
FY20,Police,1010,Expense,Personal Services,3535
FY20,Facilities,1010,Expense,Personal Services,6160
FY20,Information Technology,1010,Expense,Personal Services,49629
FY20,Fire,1010,Expense,Personal Services,9333
FY20,Attorney,1010,Expense,Personal Services,12358
FY20,Fire,1010,Expense,Personal Services,9563
FY20,Information Technology,1010,Expense,Personal Services,145391
FY20,Facilities,1010,Expense,Personal Services,23162
FY20,Police,1010,Expense,Personal Services,23426
FY20,Police,1010,Expense,Personal Services,153663
FY20,Police,1010,Expense,Personal Services,73035
FY20,Police,1010,Expense,Personal Services,387934
FY20,Fire,1010,Expense,Personal Services,57886
FY20,Fire,1010,Expense,Personal Services,558118
FY20,Police,1010,Expense,Personal Services,1176679
FY20,Police,1010,Expense,Personal Services,105401
FY20,Finance,1010,Expense,Personal Services,53530
FY20,District Court,1010,Expense,Personal Services,35009
FY20,District Court,1010,Expense,Personal Services,243069
FY20,City Manager,1010,Expense,Personal Services,182748
FY20,Finance,1010,Expense,Personal Services,97239
FY20,City Clerk,1010,Expense,Personal Services,110931
FY20,Assessor,1010,Expense,Personal Services,128804
FY20,Fire,1010,Expense,Personal Services,46852
FY20,Planning,1010,Expense,Personal Services,64951
FY20,Attorney,1010,Expense,Personal Services,17230
FY20,Public Works,1010,Expense,Personal Services,3
FY20,Public Works,1010,Expense,Personal Services,2
FY20,Planning,1010,Expense,Personal Services,337
FY20,Fire,1010,Expense,Personal Services,195
FY20,Assessor,1010,Expense,Personal Services,548
FY20,City Clerk,1010,Expense,Personal Services,389
FY20,Finance,1010,Expense,Personal Services,688
FY20,City Manager,1010,Expense,Personal Services,1087
FY20,District Court,1010,Expense,Personal Services,1049
FY20,District Court,1010,Expense,Personal Services,332
FY20,Finance,1010,Expense,Personal Services,277
FY20,Police,1010,Expense,Personal Services,492
FY20,Police,1010,Expense,Personal Services,6719
FY20,Fire,1010,Expense,Personal Services,2498
FY20,Fire,1010,Expense,Personal Services,304
FY20,Police,1010,Expense,Personal Services,2016
FY20,Police,1010,Expense,Personal Services,284
FY20,Police,1010,Expense,Personal Services,1025
FY20,Police,1010,Expense,Personal Services,61
FY20,Facilities,1010,Expense,Personal Services,98
FY20,Information Technology,1010,Expense,Personal Services,823
FY20,Fire,1010,Expense,Personal Services,63
FY20,Attorney,1010,Expense,Personal Services,214
FY20,Information Technology,1010,Expense,Personal Services,195120
FY20,Facilities,1010,Expense,Personal Services,29375
FY20,Police,1010,Expense,Personal Services,10899
FY20,Police,1010,Expense,Personal Services,277210
FY20,Police,1010,Expense,Personal Services,48189
FY20,Police,1010,Expense,Personal Services,523539
FY20,Fire,1010,Expense,Personal Services,62619
FY20,Fire,1010,Expense,Personal Services,617435
FY20,Police,1010,Expense,Personal Services,1559649
FY20,Police,1010,Expense,Personal Services,98870
FY20,Finance,1010,Expense,Personal Services,62769
FY20,District Court,1010,Expense,Personal Services,68572
FY20,District Court,1010,Expense,Personal Services,245775
FY20,City Manager,1010,Expense,Personal Services,230584
FY20,Finance,1010,Expense,Personal Services,125368
FY20,City Clerk,1010,Expense,Personal Services,82860
FY20,Assessor,1010,Expense,Personal Services,111500
FY20,City Clerk,1010,Expense,Personal Services,5718
FY20,Fire,1010,Expense,Personal Services,43985
FY20,Planning,1010,Expense,Personal Services,60103
FY20,Public Works,1010,Expense,Personal Services,421
FY20,Public Works,1010,Expense,Personal Services,842
FY20,Attorney,1010,Expense,Personal Services,37088
FY20,Fire,1010,Expense,Personal Services,41126
FY20,Assessor,1010,Expense,Personal Services,21997
FY20,Facilities,1010,Expense,Personal Services,1239
FY20,Finance,1010,Expense,Personal Services,5776
FY20,Fire,1010,Expense,Personal Services,6800
FY20,Police,1010,Expense,Personal Services,22124
FY20,Fire,1010,Expense,Personal Services,10845
FY20,Police,1010,Expense,Personal Services,16452
FY20,Fire,1010,Expense,Personal Services,5432
FY20,Police,1010,Expense,Personal Services,3529
FY20,Attorney,1010,Expense,Personal Services,12389
FY20,Finance,1010,Expense,Personal Services,35543
FY20,City Manager,1010,Expense,Personal Services,35997
FY20,Police,1010,Expense,Personal Services,8204
FY20,Information Technology,1010,Expense,Personal Services,18469
FY20,Police,1010,Expense,Personal Services,214561
FY20,Fire,1010,Expense,Personal Services,87561
FY20,Police,1010,Expense,Personal Services,29093
FY20,Planning,1010,Expense,Personal Services,17314
FY20,City Clerk,1010,Expense,Personal Services,11574
FY20,District Court,1010,Expense,Personal Services,17149
FY20,District Court,1010,Expense,Personal Services,13554
FY20,Planning,1010,Expense,Personal Services,7985
FY20,Police,1010,Expense,Personal Services,10148
FY20,Police,1010,Expense,Personal Services,97971
FY20,Finance,1010,Expense,Personal Services,14869
FY20,City Manager,1010,Expense,Personal Services,20427
FY20,Attorney,1010,Expense,Personal Services,3446
FY20,District Court,1010,Expense,Personal Services,3727
FY20,Police,1010,Expense,Personal Services,1864
FY20,Fire,1010,Expense,Personal Services,2501
FY20,Fire,1010,Expense,Personal Services,42512
FY20,Police,1010,Expense,Personal Services,10370
FY20,Fire,1010,Expense,Personal Services,5309
FY20,City Clerk,1010,Expense,Personal Services,6643
FY20,District Court,1010,Expense,Personal Services,7453
FY20,Police,1010,Expense,Personal Services,10370
FY20,Fire,1010,Expense,Personal Services,1800
FY20,Information Technology,1010,Expense,Personal Services,5590
FY20,Finance,1010,Expense,Personal Services,3354
FY20,Facilities,1010,Expense,Personal Services,596
FY20,Police,1010,Expense,Personal Services,4780
FY20,Assessor,1010,Expense,Personal Services,8436
FY20,Public Works,1010,Expense,Personal Services,116
FY20,Public Works,1010,Expense,Personal Services,58
FY20,Planning,1010,Expense,Personal Services,1290
FY20,Fire,1010,Expense,Personal Services,7835
FY20,City Manager,1010,Expense,Personal Services,1070
FY20,Finance,1010,Expense,Personal Services,677
FY20,District Court,1010,Expense,Personal Services,3801
FY20,District Court,1010,Expense,Personal Services,4133
FY20,City Clerk,1010,Expense,Personal Services,17
FY20,Assessor,1010,Expense,Personal Services,4292
FY20,City Clerk,1010,Expense,Personal Services,373
FY20,Information Technology,1010,Expense,Personal Services,839
FY20,Facilities,1010,Expense,Personal Services,2322
FY20,Police,1010,Expense,Personal Services,14048
FY20,Police,1010,Expense,Personal Services,1603
FY20,Police,1010,Expense,Personal Services,30187
FY20,Police,1010,Expense,Personal Services,274
FY20,Fire,1010,Expense,Personal Services,111893
FY20,Fire,1010,Expense,Personal Services,10050
FY20,Finance,1010,Expense,Personal Services,279
FY20,Police,1010,Expense,Personal Services,6319
FY20,Police,1010,Expense,Personal Services,106324
FY20,Fire,1010,Expense,Personal Services,5846
FY20,Fire,1010,Expense,Personal Services,6663
FY20,Attorney,1010,Expense,Personal Services,240
FY20,Police,1010,Expense,Personal Services,33000
FY20,Police,1010,Expense,Personal Services,3005
FY20,Finance,1010,Expense,Personal Services,2844
FY20,Fire,1010,Expense,Personal Services,1553
FY20,Fire,1010,Expense,Personal Services,11700
FY20,Police,1010,Expense,Personal Services,960
FY20,Police,1010,Expense,Personal Services,15216
FY20,Police,1010,Expense,Personal Services,90
FY20,Police,1010,Expense,Personal Services,6535
FY20,Facilities,1010,Expense,Personal Services,1728
FY20,Information Technology,1010,Expense,Personal Services,7505
FY20,City Clerk,1010,Expense,Personal Services,4986
FY20,Assessor,1010,Expense,Personal Services,4832
FY20,District Court,1010,Expense,Personal Services,3362
FY20,District Court,1010,Expense,Personal Services,13196
FY20,Finance,1010,Expense,Personal Services,6051
FY20,City Manager,1010,Expense,Personal Services,7301
FY20,Fire,1010,Expense,Personal Services,900
FY20,Planning,1010,Expense,Personal Services,353
FY20,Assessor,1010,Expense,Personal Services,5222
FY20,Finance,1010,Expense,Personal Services,5759
FY20,Facilities,1010,Expense,Personal Services,4100
FY20,Facilities,1010,Expense,Personal Services,1000
FY20,Finance,1010,Expense,Personal Services,6485
FY20,Assessor,1010,Expense,Personal Services,8288
FY20,Planning,1010,Expense,Supplies,550
FY20,Finance,1010,Expense,Supplies,8250
FY20,Fire,1010,Expense,Supplies,2500
FY20,Police,1010,Expense,Supplies,1000
FY20,Police,1010,Expense,Supplies,14800
FY20,Assessor,1010,Expense,Supplies,4400
FY20,City Clerk,1010,Expense,Supplies,6000
FY20,City Clerk,1010,Expense,Supplies,2400
FY20,District Court,1010,Expense,Supplies,33300
FY20,City Manager,1010,Expense,Supplies,22560
FY20,Finance,1010,Expense,Supplies,5385
FY20,Attorney,1010,Expense,Supplies,5000
FY20,District Court,1010,Expense,Supplies,5450
FY20,Fire,1010,Expense,Supplies,500
FY20,Fire,1010,Expense,Supplies,1500
FY20,City Council,1010,Expense,Supplies,3450
FY20,Purchasing,1010,Expense,Supplies,500
FY20,Information Technology,1010,Expense,Supplies,19000
FY20,Facilities,1010,Expense,Supplies,19830
FY20,Police,1010,Expense,Supplies,13700
FY20,Police,1010,Expense,Supplies,7000
FY20,Police,1010,Expense,Supplies,1500
FY20,Police,1010,Expense,Supplies,50
FY20,Fire,1010,Expense,Supplies,23000
FY20,Police,1010,Expense,Supplies,11000
FY20,Police,1010,Expense,Supplies,50600
FY20,Fire,1010,Expense,Supplies,3000
FY20,Purchasing,1010,Expense,Supplies,89466
FY20,Purchasing,1010,Expense,Supplies,6755
FY20,Fire,1010,Expense,Supplies,8500
FY20,Information Technology,1010,Expense,Supplies,113000
FY20,Fire,1010,Expense,Supplies,18000
FY20,Fire,1010,Expense,Supplies,1250
FY20,Police,1010,Expense,Supplies,1000
FY20,Police,1010,Expense,Supplies,40000
FY20,Police,1010,Expense,Supplies,1800
FY20,Police,1010,Expense,Supplies,5000
FY20,Police,1010,Expense,Supplies,4855
FY20,District Court,1010,Expense,Supplies,1500
FY20,Fire,1010,Expense,Supplies,500
FY20,Fire,1010,Expense,Supplies,1000
FY20,Fire,1010,Expense,Supplies,1000
FY20,Fire,1010,Expense,Supplies,8800
FY20,Fire,1010,Expense,Supplies,23000
FY20,Fire,1010,Expense,Supplies,6600
FY20,City Manager,1010,Expense,Supplies,9000
FY20,Fire,1010,Expense,Supplies,13000
FY20,Fire,1010,Expense,Supplies,3500
FY20,Information Technology,1010,Expense,Other Services and Charges,100000
FY20,Finance,1010,Expense,Other Services and Charges,90050
FY20,City Manager,1010,Expense,Other Services and Charges,61880
FY20,District Court,1010,Expense,Other Services and Charges,44700
FY20,Assessor,1010,Expense,Other Services and Charges,69200
FY20,Planning,1010,Expense,Other Services and Charges,3000
FY20,Attorney,1010,Expense,Other Services and Charges,5000
FY20,Attorney,1010,Expense,Other Services and Charges,110000
FY20,Attorney,1010,Expense,Other Services and Charges,225000
FY20,Attorney,1010,Expense,Other Services and Charges,25000
FY20,District Court,1010,Expense,Other Services and Charges,33000
FY20,Information Technology,1010,Expense,Other Services and Charges,351869
FY20,Finance,1010,Expense,Other Services and Charges,7020
FY20,Police,1010,Expense,Other Services and Charges,11910
FY20,District Court,1010,Expense,Other Services and Charges,12000
FY20,District Court,1010,Expense,Other Services and Charges,6900
FY20,Police,1010,Expense,Other Services and Charges,2660
FY20,Police,1010,Expense,Other Services and Charges,17365
FY20,Information Technology,1010,Expense,Other Services and Charges,82820
FY20,Facilities,1010,Expense,Other Services and Charges,10520
FY20,Fire,1010,Expense,Other Services and Charges,10700
FY20,Attorney,1010,Expense,Other Services and Charges,1200
FY20,City Clerk,1010,Expense,Other Services and Charges,1000
FY20,Police,1010,Expense,Other Services and Charges,18450
FY20,Police,1010,Expense,Other Services and Charges,50370
FY20,Planning,1010,Expense,Other Services and Charges,820
FY20,Fire,1010,Expense,Other Services and Charges,3650
FY20,Facilities,1010,Expense,Other Services and Charges,2356
FY20,Information Technology,1010,Expense,Other Services and Charges,6060
FY20,City Manager,1010,Expense,Other Services and Charges,4800
FY20,City Clerk,1010,Expense,Other Services and Charges,5000
FY20,Assessor,1010,Expense,Other Services and Charges,16050
FY20,City Manager,1010,Expense,Other Services and Charges,19980
FY20,Finance,1010,Expense,Other Services and Charges,23800
FY20,City Council,1010,Expense,Other Services and Charges,5120
FY20,District Court,1010,Expense,Other Services and Charges,1500
FY20,District Court,1010,Expense,Other Services and Charges,2000
FY20,Fire,1010,Expense,Other Services and Charges,10000
FY20,Police,1010,Expense,Other Services and Charges,15000
FY20,Police,1010,Expense,Other Services and Charges,80000
FY20,Finance,1010,Expense,Other Services and Charges,6400
FY20,Police,1010,Expense,Other Services and Charges,4000
FY20,Information Technology,1010,Expense,Other Services and Charges,12000
FY20,Facilities,1010,Expense,Other Services and Charges,600
FY20,Planning,1010,Expense,Other Services and Charges,4350
FY20,Attorney,1010,Expense,Other Services and Charges,5000
FY20,City Manager,1010,Expense,Other Services and Charges,20830
FY20,City Council,1010,Expense,Other Services and Charges,8400
FY20,City Clerk,1010,Expense,Other Services and Charges,1100
FY20,City Clerk,1010,Expense,Other Services and Charges,38000
FY20,Planning,1010,Expense,Other Services and Charges,2750
FY20,Planning,1010,Expense,Other Services and Charges,5471
FY20,Fire,1010,Expense,Other Services and Charges,3102
FY20,Public Works,1010,Expense,Other Services and Charges,22
FY20,Public Works,1010,Expense,Other Services and Charges,44
FY20,City Clerk,1010,Expense,Other Services and Charges,6192
FY20,City Clerk,1010,Expense,Other Services and Charges,33
FY20,Assessor,1010,Expense,Other Services and Charges,8980
FY20,District Court,1010,Expense,Other Services and Charges,20655
FY20,District Court,1010,Expense,Other Services and Charges,5286
FY20,City Council,1010,Expense,Other Services and Charges,1606
FY20,Finance,1010,Expense,Other Services and Charges,11046
FY20,City Manager,1010,Expense,Other Services and Charges,17437
FY20,Assessor,1010,Expense,Other Services and Charges,146
FY20,Finance,1010,Expense,Other Services and Charges,4525
FY20,Police,1010,Expense,Other Services and Charges,7843
FY20,Police,1010,Expense,Other Services and Charges,109758
FY20,Fire,1010,Expense,Other Services and Charges,41142
FY20,Fire,1010,Expense,Other Services and Charges,4844
FY20,Police,1010,Expense,Other Services and Charges,32139
FY20,Police,1010,Expense,Other Services and Charges,4524
FY20,Police,1010,Expense,Other Services and Charges,16334
FY20,Police,1010,Expense,Other Services and Charges,971
FY20,Facilities,1010,Expense,Other Services and Charges,1620
FY20,Information Technology,1010,Expense,Other Services and Charges,13552
FY20,Attorney,1010,Expense,Other Services and Charges,3921
FY20,Fire,1010,Expense,Other Services and Charges,3637
FY20,Fire,1010,Expense,Other Services and Charges,990
FY20,Purchasing,1010,Expense,Other Services and Charges,1230
FY20,Information Technology,1010,Expense,Other Services and Charges,90
FY20,Police,1010,Expense,Other Services and Charges,1490
FY20,Police,1010,Expense,Other Services and Charges,290
FY20,Fire,1010,Expense,Other Services and Charges,60
FY20,Finance,1010,Expense,Other Services and Charges,10
FY20,City Manager,1010,Expense,Other Services and Charges,20
FY20,Finance,1010,Expense,Other Services and Charges,20
FY20,District Court,1010,Expense,Other Services and Charges,60
FY20,Assessor,1010,Expense,Other Services and Charges,10
FY20,City Clerk,1010,Expense,Other Services and Charges,20
FY20,Fire,1010,Expense,Other Services and Charges,50
FY20,Public Works,1010,Expense,Other Services and Charges,40
FY20,Fire,1010,Expense,Other Services and Charges,1100
FY20,Planning,1010,Expense,Other Services and Charges,10
FY20,District Court,1010,Expense,Other Services and Charges,1160
FY20,Facilities,1010,Expense,Other Services and Charges,114000
FY20,Police,1010,Expense,Other Services and Charges,137178
FY20,Fire,1010,Expense,Other Services and Charges,86109
FY20,Fire,1010,Expense,Other Services and Charges,2100
FY20,Public Works,1010,Expense,Other Services and Charges,950000
FY20,District Court,1010,Expense,Other Services and Charges,79920
FY20,Fire,1010,Expense,Other Services and Charges,6175
FY20,Fire,1010,Expense,Other Services and Charges,70974
FY20,City Clerk,1010,Expense,Other Services and Charges,500
FY20,District Court,1010,Expense,Other Services and Charges,2000
FY20,Finance,1010,Expense,Other Services and Charges,1600
FY20,Finance,1010,Expense,Other Services and Charges,500
FY20,Police,1010,Expense,Other Services and Charges,9400
FY20,Police,1010,Expense,Other Services and Charges,15602
FY20,Fire,1010,Expense,Other Services and Charges,8050
FY20,Police,1010,Expense,Other Services and Charges,6700
FY20,Police,1010,Expense,Other Services and Charges,250
FY20,Police,1010,Expense,Other Services and Charges,500
FY20,Police,1010,Expense,Other Services and Charges,98158
FY20,Police,1010,Expense,Other Services and Charges,1500
FY20,Police,1010,Expense,Other Services and Charges,5000
FY20,Information Technology,1010,Expense,Other Services and Charges,13000
FY20,Facilities,1010,Expense,Other Services and Charges,56530
FY20,Purchasing,1010,Expense,Other Services and Charges,6500
FY20,District Court,1010,Expense,Other Services and Charges,128990
FY20,Purchasing,1010,Expense,Other Services and Charges,1545
FY20,Police,1010,Expense,Other Services and Charges,800
FY20,City Clerk,1010,Expense,Other Services and Charges,3400
FY20,Police,1010,Expense,Other Services and Charges,6252
FY20,Police,1010,Expense,Other Services and Charges,312500
FY20,Police,1010,Expense,Other Services and Charges,14000
FY20,Fire,1010,Expense,Other Services and Charges,410500
FY20,Fire,1010,Expense,Other Services and Charges,16200
FY20,Police,1010,Expense,Other Services and Charges,2400
FY20,Police,1010,Expense,Other Services and Charges,3700
FY20,Police,1010,Expense,Other Services and Charges,19000
FY20,Police,1010,Expense,Other Services and Charges,47000
FY20,Facilities,1010,Expense,Other Services and Charges,14200
FY20,Information Technology,1010,Expense,Other Services and Charges,3300
FY20,Assessor,1010,Expense,Other Services and Charges,3200
FY20,City Manager,1010,Expense,Other Services and Charges,5000
FY20,Fire,1010,Expense,Other Services and Charges,6597
FY20,Fire,1010,Expense,Other Services and Charges,2500
FY20,Fire,1010,Expense,Other Services and Charges,300
FY20,Fire,1010,Expense,Other Services and Charges,1000
FY20,City Manager,1010,Expense,Other Services and Charges,3000
FY20,Assessor,1010,Expense,Other Services and Charges,500
FY20,Information Technology,1010,Expense,Other Services and Charges,500
FY20,Facilities,1010,Expense,Other Services and Charges,3500
FY20,Police,1010,Expense,Other Services and Charges,10000
FY20,Police,1010,Expense,Other Services and Charges,1700
FY20,Police,1010,Expense,Other Services and Charges,2000
FY20,Police,1010,Expense,Other Services and Charges,2500
FY20,Fire,1010,Expense,Other Services and Charges,1500
FY20,Fire,1010,Expense,Other Services and Charges,88500
FY20,Police,1010,Expense,Other Services and Charges,3000
FY20,Police,1010,Expense,Other Services and Charges,190000
FY20,Police,1010,Expense,Other Services and Charges,142000
FY20,Police,1010,Expense,Other Services and Charges,3500
FY20,Fire,1010,Expense,Other Services and Charges,37673
FY20,Fire,1010,Expense,Other Services and Charges,2500
FY20,Police,1010,Expense,Other Services and Charges,2500
FY20,Police,1010,Expense,Other Services and Charges,1300
FY20,Police,1010,Expense,Other Services and Charges,3500
FY20,Police,1010,Expense,Other Services and Charges,7350
FY20,Facilities,1010,Expense,Other Services and Charges,2000
FY20,Information Technology,1010,Expense,Other Services and Charges,500
FY20,Assessor,1010,Expense,Other Services and Charges,500
FY20,City Manager,1010,Expense,Other Services and Charges,4200
FY20,Fire,1010,Expense,Other Services and Charges,1500
FY20,Fire,1010,Expense,Other Services and Charges,400
FY20,Police,1010,Expense,Other Services and Charges,365692
FY20,Planning,1010,Expense,Other Services and Charges,4800
FY20,Finance,1010,Expense,Other Services and Charges,500000
FY20,Planning,1010,Expense,Other Services and Charges,20000
FY20,Planning,1010,Expense,Other Services and Charges,11875
FY20,Fire,1010,Expense,Other Services and Charges,875
FY20,Police,1010,Expense,Other Services and Charges,1000
FY20,Police,1010,Expense,Other Services and Charges,593000
FY20,Fire,1010,Expense,Other Services and Charges,1400
FY20,Fire,1010,Expense,Other Services and Charges,49400
FY20,Police,1010,Expense,Other Services and Charges,2500
FY20,Finance,1010,Expense,Other Services and Charges,7470
FY20,Police,1010,Expense,Other Services and Charges,84440
FY20,City Council,1010,Expense,Other Services and Charges,29500
FY20,Police,1010,Expense,Other Services and Charges,32590
FY20,Information Technology,1010,Expense,Other Services and Charges,24150
FY20,Facilities,1010,Expense,Other Services and Charges,870
FY20,Purchasing,1010,Expense,Other Services and Charges,4000
FY20,Police,1010,Expense,Other Services and Charges,9500
FY20,Police,1010,Expense,Other Services and Charges,100
FY20,Police,1010,Expense,Other Services and Charges,40275
FY20,Police,1010,Expense,Other Services and Charges,38357
FY20,City Manager,1010,Expense,Other Services and Charges,25570
FY20,Finance,1010,Expense,Other Services and Charges,9858
FY20,District Court,1010,Expense,Other Services and Charges,19200
FY20,City Council,1010,Expense,Other Services and Charges,51950
FY20,Assessor,1010,Expense,Other Services and Charges,14805
FY20,City Clerk,1010,Expense,Other Services and Charges,10800
FY20,City Clerk,1010,Expense,Other Services and Charges,2200
FY20,Community Outreach Programs,1010,Expense,Other Services and Charges,10000
FY20,Fire,1010,Expense,Other Services and Charges,8400
FY20,Fire,1010,Expense,Other Services and Charges,5500
FY20,Attorney,1010,Expense,Other Services and Charges,8700
FY20,Police,1010,Expense,Other Services and Charges,40400
FY20,Fire,1010,Expense,Other Services and Charges,41000
FY20,Facilities,1010,Expense,Other Services and Charges,700
FY20,Police,1010,Expense,Other Services and Charges,3000
FY20,Police,1010,Expense,Capital Outlay,50000
FY20,Facilities,1010,Expense,Capital Outlay,75000
FY20,Police,1010,Expense,Capital Outlay,50000
FY20,District Court,1010,Expense,Capital Outlay,75000
FY20,Fire,1010,Expense,Capital Outlay,364500
FY20,Information Technology,1010,Expense,Capital Outlay,50000
FY20,,2020,Revenue,Licenses and Permits,25000
FY20,,2020,Revenue,Licenses and Permits,255000
FY20,,2020,Revenue,State Grants,6700000
FY20,,2020,Revenue,Charges for Service,30000
