Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY20,Revenue,,,General Fund,State Grants,State Grants.EVIP (Econ Vitality Incentive),685398
FY20,Revenue,,,General Fund,State Grants,State Grants.Liquor Licenses,30000
FY20,Revenue,,,Library Maint & Capital Fund,Contributions from Local Units,Contributions from Local Units.District Library Share Maint,61540
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Govt Units Share Elections,15000
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Cross Guards,31000
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Liason Officers,216040
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Propriet Security,2500
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kentwood Street Maint,1580
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Goverment Agencies,3160
FY20,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kent County Dispatch Authority,14400
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Donations.Donations,1000
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Donations.Dog Park,3000
FY20,Revenue,,,Retiree Health Trust Fund,Other Revenues,Net Appreciation.(Depreciation),2131000
FY20,Revenue,,,Pension Fund,Other Revenues,Net Appreciation.(Depreciation),9420000
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Dividend Income.Dividend Income,780000
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Dividend Income.Dividend Income,750000
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.General,596810
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.General Pension Health ,723000
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Group A Pension Health,732000
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Group B Pension Health,1110000
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Group A,488759
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Group B,622269
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Police,1129337
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Police Pension Health,961000
FY20,Revenue,,,Pension Fund,Contributions from Local Units,Employer Contributions.Fire,303315
FY20,Revenue,,,Retiree Health Trust Fund,Contributions from Local Units,Employer Contributions.Fire Pension Health,254000
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Board of Appeals Fees.Board of Appeals Fees,10000
FY20,Revenue,,,General Fund,Charges for Service,IFT Application Fees.IFT Application Fees,5000
FY20,Revenue,,,General Fund,Charges for Service,Planning Fees.Planning Fees,22000
FY20,Revenue,,,General Fund,Charges for Service,Duplicating Services.Duplicating Services,19000
FY20,Revenue,,,General Fund,Charges for Service,Inter Fund Services.Inter Fund Services,3559923
FY20,Revenue,,,Local Streets Fund,Charges for Service,Engineering Fees.Subdivision.Subdivision,15000
FY20,Revenue,,,Major Streets Fund,Charges for Service,Engineering Fees.Subdivision.Subdivision,30000
FY20,Revenue,,,Water Fund,Charges for Service,Sewer Billing Fee.Sewer Billing Fee,583130
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Fees.Weed Cutting Services,12510
FY20,Revenue,,,General Fund,Charges for Service,Fees.Forensics-latnt fngrprt&drg tsts,2000
FY20,Revenue,,,General Fund,Charges for Service,Fees.PD Traffic Control,2000
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Fees.Demolition Services,15000
FY20,Revenue,,,Building Inspection Fund,Fines and Forfeitures,Fees.Property Maintenance Services,15200
FY20,Revenue,,,Building Inspection Fund,Charges for Service,Fees.Vacant Bldg Insp Services,25000
FY20,Revenue,,,Motor Pool Fund,Charges for Service,Income.Other Sales,30000
FY20,Revenue,,,General Liability Fund,Charges for Service,Income.Premium General Liability,544000
FY20,Revenue,,,Fleet Insurance Fund,Charges for Service,Income.Ins Premium Fleet,150000
FY20,Revenue,,,Property Insurance Fund,Charges for Service,Income.Ins. Premium Property,69473
FY20,Revenue,,,Workers' Compensation Fund,Charges for Service,Income.Workers Comp Ins Prem.,662000
FY20,Revenue,,,Life Insurance Fund,Charges for Service,Income.Insurance Premium Life,32000
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Ins Prem Health Wyoming,8578060
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Ins Prem Employee Contr,1151083
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Ins Prem Health StopLoss,100000
FY20,Revenue,,,Dental Insurance Fund,Charges for Service,Income.Ins Prem Dental Wyoming,496358
FY20,Revenue,,,Dental Insurance Fund,Charges for Service,Income.Ins Prem Dental Cobra ,4000
FY20,Revenue,,,Health Insurance Fund,Charges for Service,Income.Premium Vision Wyoming,82360
FY20,Revenue,,,Water Fund,Charges for Service,Charge for Services.Unmetered Sales,4000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Metered Sales Gen Customers,9450000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Metered Sales Gen Customers,6030000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Ready to Serve Charges,2910000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Ready to Serve Charges,1890000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.System Development Chg,100000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.System Development Chg,100000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Sewer Surcharges,1600000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Private Fire Protection,310000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services.Industrl Cust. Penalties,15000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services.Sales to Ottawa County,7000000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Kentwood,2100000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Kentwood,1300000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Grandville,1100000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Byron and Gaines,2600000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Georgetown Twp.,110000
FY20,Revenue,,,Water Fund,Charges for Service,Charges for Services Mun. Cust..Sales to Grand Rapids,60000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Grandville,15000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Grand Valley Regional Biosolids ,400000
FY20,Revenue,,,Sewer Fund,Charges for Service,Charges for Services Mun. Cust..Byron Gaines,2700000
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Parks,74000
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Recreation,165681
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Recreation Sponsorships,25700
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.WSC,33481
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.WSC Sponsorships,630
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.WSC Rental,190
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Fees.Special Events,300
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Fees.Friendly Travelers,15425
FY20,Revenue,,,Parks and Recreation Fund,Charges for Service,Concession Income.Concession Income,4100
FY20,Revenue,,,General Fund,Fines and Forfeitures,District Court Income.District Court Income,1700000
FY20,Revenue,,,Sewer Fund,Fines and Forfeitures,Collection Cost Recovery Fee.Collection Cost Receovery Fee,40000
FY20,Revenue,,,Water Fund,Fines and Forfeitures,Collection Cost Recovery Fee.Collection Cost Receovery Fee,50000
FY20,Revenue,,,Sewer Fund,Fines and Forfeitures,Forfeited Discount Penalty.Forfeited Discount Penalty,120000
FY20,Revenue,,,Water Fund,Fines and Forfeitures,Forfeited Discount Penalty.Forfeited Discount Penalty,90000
FY20,Revenue,,,Water Fund,Interest and Rentals,Interest on Investments.Interest on Investments,50000
FY20,Revenue,,,Solid Waste Disposal Fund,Interest and Rentals,Interest on Investments.Interest on Investments,11700
FY20,Revenue,,,Sewer Fund,Interest and Rentals,Interest on Investments.Interest on Investments,200150
FY20,Revenue,,,Capital Improvement Fund,Interest and Rentals,Interest on Investments.Interest on Investments,63000
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Interest on Investments.Interest on Investments,15000
FY20,Revenue,,,Retiree Health Trust Fund,Interest and Rentals,Interest on Investments.Interest on Investments,-2000
FY20,Revenue,,,Capital Projects Revolving Fund,Interest and Rentals,Interest on Investments.Interest on Investments,9000
FY20,Revenue,,,Motor Pool - Depreciation Res,Interest and Rentals,Interest on Investments.Interest on Investments,15000
FY20,Revenue,,,Pension Fund,Interest and Rentals,Interest on Investments.Interest on Investments,2500000
FY20,Revenue,,,General Fund,Interest and Rentals,Interest on Investments.Interest on Investments,200000
FY20,Revenue,,,Parks and Recreation Fund,Interest and Rentals,Interest on Investments.Interest on Investments,31400
FY20,Revenue,,,Local Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5000
FY20,Revenue,,,Fire Fund,Interest and Rentals,Interest on Investments.Interest on Investments,7750
FY20,Revenue,,,Police Fund,Interest and Rentals,Interest on Investments.Interest on Investments,12900
FY20,Revenue,,,Building Inspection Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5000
FY20,Revenue,,,Sidewalk Fund,Interest and Rentals,Interest on Investments.Interest on Investments,6900
FY20,Revenue,,,Major Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,30000
FY20,Revenue,,,Public Safety Fund,Interest and Rentals,Interest on Investments.Interest on Investments,13500
FY20,Revenue,,,Fleet Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5243
FY20,Revenue,,,Property Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,17856
FY20,Revenue,,,Workers' Compensation Fund,Interest and Rentals,Interest on Investments.Interest on Investments,60000
FY20,Revenue,,,General Liability Fund,Interest and Rentals,Interest on Investments.Interest on Investments,16780
FY20,Revenue,,,Health Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,34000
FY20,Revenue,,,Life Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,121
FY20,Revenue,,,Dental Insurance Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5636
FY20,Revenue,,,Library Maint & Capital Fund,Interest and Rentals,Interest on Investments.Interest on Investments,14200
FY20,Revenue,,,Community Development Fund,Interest and Rentals,Interest Income.Interest Income,13800
FY20,Revenue,,,Water Fund,Interest and Rentals,Rental Income.Property,140000
FY20,Revenue,,,Sewer Fund,Interest and Rentals,Rental Income.Property,30000
FY20,Revenue,,,Solid Waste Disposal Fund,Interest and Rentals,Rental Income.Equipment,5000
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Building Rental,314810
FY20,Revenue,,,Water Fund,Interest and Rentals,Rental Income.Building Rental,10000
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental,2215000
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Maint- Parts,369000
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Maint - Labor,380000
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Maint - Commrcl,284000
FY20,Revenue,,,Motor Pool Fund,Interest and Rentals,Rental Income.Equipment Rental Fuel,422000
FY20,Revenue,,,Parks and Recreation Fund,Interest and Rentals,Property Rental Income.Property Rental Income,8825
FY20,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.Property Rental Income,74380
FY20,Revenue,,,Library Maint & Capital Fund,Interest and Rentals,Property Rental Income.Property Rental Income,1000
FY20,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.PD Pistol Range Lease,17900
FY20,Revenue,,,Capital Projects Revolving Fund,Other Revenues,Revenue Special Assessment.Revenue Special Assessment,16734
FY20,Revenue,,,Motor Pool - Depreciation Res,Other Revenues,Sales.Sale of Equipment Depr & Reserve,170000
FY20,Revenue,,,General Fund,Other Revenues,Income/Donations.Vets Mem Pk,1000
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.DROP Contributions Police,58531
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. Police,135000
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. Fire,65000
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. Police Command,90000
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contrib. General,30000
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contri-Group A,20000
FY20,Revenue,,,Pension Fund,Other Revenues,Income/Donations.Member Contri - Group B,40000
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Reimbursements.Reimbursements,10860
FY20,Revenue,,,Local Streets Fund,Other Revenues,Reimbursements.Reimbursements,5000
FY20,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Reimbursements,5000
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Reimbursements,60000
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.PD OUIL/OUID Cost Teim.,23000
FY20,Revenue,,,Community Development Fund,Other Revenues,Reimbursements.H.R.S. Co Pay,6000
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Reimbursements.Schools,3300
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Federal Government,4500
FY20,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Interdepartmental,20000
FY20,Revenue,,,Local Streets Fund,Other Revenues,Reimbursements.Interdepartmental,10000
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Reimbursements.Interdepartmental,111800
FY20,Revenue,,,Water Fund,Other Revenues,Reimbursements.Interdepartmental,5000
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Interdepartmental,3800
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.REGIS - Electric,1500
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Legal Internal,10000
FY20,Revenue,,,General Fund,Other Revenues,Reimbursements.Legal External,500
FY20,Revenue,,,Community Development Fund,Other Revenues,Reimbursements.Grants,40000
FY20,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements Accident.Reimbursements Accident,3000
FY20,Revenue,,,Water Fund,Other Revenues,Reimbursements Accident.Reimbursements Accident,5000
FY20,Revenue,,,Community Development Fund,Other Revenues,Loan Payments.Loan Payments,61000
FY20,Revenue,,,Community Development Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,200
FY20,Revenue,,,Major Streets Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,2000
FY20,Revenue,,,Parks and Recreation Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,1000
FY20,Revenue,,,General Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,30000
FY20,Revenue,,,Sewer Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,15000
FY20,Revenue,,,Water Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,80000
FY20,Revenue,,,Pension Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,19500
FY20,Revenue,,,Building Inspection Fund,Other Revenues,Miscellaneous Income.Penalties & Invoice Adjustments ,11000
FY20,Revenue,,,Pension Fund,Other Revenues,Miscellaneous Income.SL Commission Income,21000
FY20,Revenue,,,Water Fund,Other Revenues,Contributions.Contributions,40000
FY20,Revenue,,,Sewer Fund,Contributions from Local Units,Contributions.Grand Valley Regional Biosolids ,417000
FY20,Revenue,,,Water Fund,Other Revenues,Contributions.Ottawa County,150000
FY20,Revenue,,,Pension Fund,Other Financing Sources,Transfer.for Retire. Res.,120000
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from Public Safety Fund,2787170
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from Fire Fund,1637860
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from Police Fund,2730450
FY20,Revenue,,,Sewer - Construction Reserve,Other Financing Sources,Transfer.from Sewer Operating,100000
FY20,Revenue,,,Water - Construction Reserve Fun,Other Financing Sources,Transfer.Construction Reserve,100000
FY20,Revenue,,,Motor Pool - Depreciation Res,Other Financing Sources,Transfer.From MP Op fund,1609000
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from DDA,25000
FY20,Expense,City Council,City Council,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,72938
FY20,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,91448
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,659384
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,1440896
FY20,Expense,Police,Patrol,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,4939935
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,186085
FY20,Expense,Fire,Fighting,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,1827620
FY20,Expense,Fire,Prevention,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,142750
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,Salaries.Salaries,52095
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,Salaries.Salaries,31000
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Salaries.Salaries,370003
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Salaries.Salaries,418099
FY20,Expense,Planning,Planning,General Fund,Personal Services,Salaries.Salaries,244164
FY20,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Salaries.Salaries,1000
FY20,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Salaries.Salaries,2000
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries.Salaries,288137
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries.Salaries,185002
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries.Salaries,298968
