budget_year,department,fund_code,account_type,amount,account_category
2019,Fire,101,Expense,5000,Personal Services
2019,Planning,101,Expense,4500,Personal Services
2019,Assessor,101,Expense,6600,Personal Services
2019,City Clerk,101,Expense,72000,Personal Services
2019,Public Works,101,Expense,230,Personal Services
2019,Public Works,101,Expense,77,Personal Services
2019,Planning,101,Expense,18457,Personal Services
2019,Fire,101,Expense,5579,Personal Services
2019,City Clerk,101,Expense,995,Personal Services
2019,Assessor,101,Expense,29215,Personal Services
2019,City Clerk,101,Expense,21176,Personal Services
2019,Finance,101,Expense,38808,Personal Services
2019,City Manager,101,Expense,48081,Personal Services
2019,District Court,101,Expense,65800,Personal Services
2019,District Court,101,Expense,19107,Personal Services
2019,City Council,101,Expense,5174,Personal Services
2019,Assessor,101,Expense,505,Personal Services
2019,Finance,101,Expense,15655,Personal Services
2019,Police,101,Expense,29991,Personal Services
2019,Police,101,Expense,385195,Personal Services
2019,Fire,101,Expense,164845,Personal Services
2019,Fire,101,Expense,16827,Personal Services
2019,Police,101,Expense,115925,Personal Services
2019,Police,101,Expense,16647,Personal Services
2019,Police,101,Expense,77861,Personal Services
2019,Police,101,Expense,3606,Personal Services
2019,Facilities,101,Expense,5463,Personal Services
2019,Information Technology,101,Expense,47795,Personal Services
2019,Fire,101,Expense,9334,Personal Services
2019,Police,101,Expense,0,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Fire,101,Expense,9563,Personal Services
2019,Information Technology,101,Expense,135631,Personal Services
2019,Facilities,101,Expense,18270,Personal Services
2019,Police,101,Expense,21865,Personal Services
2019,Police,101,Expense,172158,Personal Services
2019,Police,101,Expense,82320,Personal Services
2019,Police,101,Expense,360082,Personal Services
2019,Fire,101,Expense,64470,Personal Services
2019,Fire,101,Expense,511482,Personal Services
2019,Police,101,Expense,1053859,Personal Services
2019,Police,101,Expense,111248,Personal Services
2019,Finance,101,Expense,49950,Personal Services
2019,District Court,101,Expense,47041,Personal Services
2019,District Court,101,Expense,226199,Personal Services
2019,City Manager,101,Expense,126749,Personal Services
2019,Finance,101,Expense,91976,Personal Services
2019,City Clerk,101,Expense,102609,Personal Services
2019,Assessor,101,Expense,85886,Personal Services
2019,Fire,101,Expense,21865,Personal Services
2019,Planning,101,Expense,31567,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Public Works,101,Expense,3,Personal Services
2019,Public Works,101,Expense,2,Personal Services
2019,Planning,101,Expense,315,Personal Services
2019,Fire,101,Expense,91,Personal Services
2019,Assessor,101,Expense,477,Personal Services
2019,City Clerk,101,Expense,374,Personal Services
2019,Finance,101,Expense,668,Personal Services
2019,City Manager,101,Expense,862,Personal Services
2019,District Court,101,Expense,1027,Personal Services
2019,District Court,101,Expense,330,Personal Services
2019,Finance,101,Expense,268,Personal Services
2019,Police,101,Expense,514,Personal Services
2019,Police,101,Expense,6119,Personal Services
2019,Fire,101,Expense,2417,Personal Services
2019,Fire,101,Expense,305,Personal Services
2019,Police,101,Expense,1880,Personal Services
2019,Police,101,Expense,293,Personal Services
2019,Police,101,Expense,1263,Personal Services
2019,Police,101,Expense,63,Personal Services
2019,Facilities,101,Expense,91,Personal Services
2019,Information Technology,101,Expense,793,Personal Services
2019,Fire,101,Expense,63,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Information Technology,101,Expense,170307,Personal Services
2019,Facilities,101,Expense,28184,Personal Services
2019,Police,101,Expense,9697,Personal Services
2019,Police,101,Expense,290874,Personal Services
2019,Police,101,Expense,43331,Personal Services
2019,Police,101,Expense,461772,Personal Services
2019,Fire,101,Expense,44145,Personal Services
2019,Fire,101,Expense,570993,Personal Services
2019,Police,101,Expense,1308462,Personal Services
2019,Police,101,Expense,78879,Personal Services
2019,Finance,101,Expense,55104,Personal Services
2019,District Court,101,Expense,59882,Personal Services
2019,District Court,101,Expense,212748,Personal Services
2019,City Manager,101,Expense,169967,Personal Services
2019,Finance,101,Expense,116766,Personal Services
2019,City Clerk,101,Expense,72022,Personal Services
2019,Assessor,101,Expense,103291,Personal Services
2019,City Clerk,101,Expense,3849,Personal Services
2019,Fire,101,Expense,23388,Personal Services
2019,Planning,101,Expense,67129,Personal Services
2019,Public Works,101,Expense,413,Personal Services
2019,Public Works,101,Expense,826,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Fire,101,Expense,46047,Personal Services
2019,Police,101,Expense,0,Personal Services
2019,Assessor,101,Expense,6152,Personal Services
2019,Facilities,101,Expense,700,Personal Services
2019,Finance,101,Expense,5493,Personal Services
2019,Fire,101,Expense,4000,Personal Services
2019,Police,101,Expense,23163,Personal Services
2019,Fire,101,Expense,17582,Personal Services
2019,Police,101,Expense,16935,Personal Services
2019,Police,101,Expense,3610,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Finance,101,Expense,30154,Personal Services
2019,City Manager,101,Expense,24992,Personal Services
2019,Police,101,Expense,25111,Personal Services
2019,Information Technology,101,Expense,17578,Personal Services
2019,Police,101,Expense,181007,Personal Services
2019,Fire,101,Expense,66331,Personal Services
2019,Police,101,Expense,18109,Personal Services
2019,Planning,101,Expense,7119,Personal Services
2019,City Clerk,101,Expense,11019,Personal Services
2019,District Court,101,Expense,13605,Personal Services
2019,District Court,101,Expense,13967,Personal Services
2019,Planning,101,Expense,2734,Personal Services
2019,Police,101,Expense,4867,Personal Services
2019,Police,101,Expense,83602,Personal Services
2019,Finance,101,Expense,10270,Personal Services
2019,City Manager,101,Expense,13009,Personal Services
2019,Fire,101,Expense,0,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,District Court,101,Expense,3544,Personal Services
2019,Police,101,Expense,1772,Personal Services
2019,City Clerk,101,Expense,0,Personal Services
2019,Fire,101,Expense,30735,Personal Services
2019,Police,101,Expense,9931,Personal Services
2019,Fire,101,Expense,4582,Personal Services
2019,City Clerk,101,Expense,6388,Personal Services
2019,District Court,101,Expense,5315,Personal Services
2019,Police,101,Expense,9931,Personal Services
2019,Fire,101,Expense,3100,Personal Services
2019,Information Technology,101,Expense,5315,Personal Services
2019,Finance,101,Expense,3189,Personal Services
2019,Facilities,101,Expense,244,Personal Services
2019,Police,101,Expense,0,Personal Services
2019,Police,101,Expense,7409,Personal Services
2019,Assessor,101,Expense,5226,Personal Services
2019,Public Works,101,Expense,183,Personal Services
2019,Public Works,101,Expense,61,Personal Services
2019,Planning,101,Expense,1161,Personal Services
2019,Fire,101,Expense,3948,Personal Services
2019,City Manager,101,Expense,906,Personal Services
2019,Finance,101,Expense,696,Personal Services
2019,District Court,101,Expense,3342,Personal Services
2019,District Court,101,Expense,4216,Personal Services
2019,City Clerk,101,Expense,13,Personal Services
2019,Assessor,101,Expense,4408,Personal Services
2019,City Clerk,101,Expense,381,Personal Services
2019,Information Technology,101,Expense,859,Personal Services
2019,Facilities,101,Expense,2161,Personal Services
2019,Police,101,Expense,18250,Personal Services
2019,Police,101,Expense,1724,Personal Services
2019,Police,101,Expense,29508,Personal Services
2019,Police,101,Expense,301,Personal Services
2019,Fire,101,Expense,114065,Personal Services
2019,Fire,101,Expense,10382,Personal Services
2019,Finance,101,Expense,280,Personal Services
2019,Police,101,Expense,7713,Personal Services
2019,Police,101,Expense,100864,Personal Services
2019,Police,101,Expense,0,Personal Services
2019,Fire,101,Expense,6153,Personal Services
2019,Fire,101,Expense,7013,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Police,101,Expense,32100,Personal Services
2019,Police,101,Expense,2963,Personal Services
2019,Finance,101,Expense,2666,Personal Services
2019,Fire,101,Expense,180,Personal Services
2019,Fire,101,Expense,11200,Personal Services
2019,Police,101,Expense,270,Personal Services
2019,Police,101,Expense,15592,Personal Services
2019,Police,101,Expense,7763,Personal Services
2019,Facilities,101,Expense,1463,Personal Services
2019,Information Technology,101,Expense,7303,Personal Services
2019,City Clerk,101,Expense,4760,Personal Services
2019,Assessor,101,Expense,6967,Personal Services
2019,District Court,101,Expense,3260,Personal Services
2019,District Court,101,Expense,13796,Personal Services
2019,Finance,101,Expense,7549,Personal Services
2019,City Manager,101,Expense,7109,Personal Services
2019,Fire,101,Expense,900,Personal Services
2019,Planning,101,Expense,2284,Personal Services
2019,District Court,101,Expense,0,Personal Services
2019,Assessor,101,Expense,24000,Personal Services
2019,Finance,101,Expense,0,Personal Services
2019,Police,101,Expense,20000,Personal Services
2019,Planning,101,Expense,0,Personal Services
2019,Planning,101,Expense,0,Personal Services
2019,Police,101,Expense,0,Personal Services
2019,Finance,101,Expense,0,Personal Services
2019,Assessor,101,Expense,16000,Personal Services
2019,District Court,101,Expense,0,Personal Services
2019,Planning,101,Expense,700,Supplies
2019,Finance,101,Expense,9250,Supplies
2019,Fire,101,Expense,2500,Supplies
2019,Police,101,Expense,2200,Supplies
2019,Police,101,Expense,16000,Supplies
2019,Assessor,101,Expense,4400,Supplies
2019,City Clerk,101,Expense,3200,Supplies
2019,City Clerk,101,Expense,2400,Supplies
2019,District Court,101,Expense,33300,Supplies
2019,City Manager,101,Expense,11175,Supplies
2019,Finance,101,Expense,5385,Supplies
2019,Attorney,101,Expense,0,Supplies
2019,District Court,101,Expense,6300,Supplies
2019,Fire,101,Expense,500,Supplies
2019,Fire,101,Expense,1500,Supplies
2019,City Council,101,Expense,3450,Supplies
2019,Purchasing,101,Expense,500,Supplies
2019,Information Technology,101,Expense,19000,Supplies
2019,Facilities,101,Expense,21530,Supplies
2019,Police,101,Expense,13700,Supplies
2019,Police,101,Expense,7000,Supplies
2019,Police,101,Expense,2500,Supplies
2019,Police,101,Expense,50,Supplies
2019,Fire,101,Expense,39000,Supplies
2019,Police,101,Expense,11000,Supplies
2019,Police,101,Expense,47600,Supplies
2019,Fire,101,Expense,3000,Supplies
2019,Purchasing,101,Expense,89466,Supplies
2019,Purchasing,101,Expense,7000,Supplies
2019,Fire,101,Expense,8500,Supplies
2019,Information Technology,101,Expense,89000,Supplies
2019,Fire,101,Expense,18000,Supplies
2019,Fire,101,Expense,1250,Supplies
2019,Police,101,Expense,1000,Supplies
2019,Police,101,Expense,40000,Supplies
2019,Police,101,Expense,1800,Supplies
2019,Police,101,Expense,5000,Supplies
2019,Police,101,Expense,4855,Supplies
2019,District Court,101,Expense,1500,Supplies
2019,Fire,101,Expense,500,Supplies
2019,Fire,101,Expense,1000,Supplies
2019,Fire,101,Expense,1000,Supplies
2019,Fire,101,Expense,8800,Supplies
2019,Fire,101,Expense,20000,Supplies
2019,Fire,101,Expense,6600,Supplies
2019,City Manager,101,Expense,9000,Supplies
2019,Fire,101,Expense,13000,Supplies
2019,Fire,101,Expense,3500,Supplies
2019,District Court,101,Expense,0,Other Services and Charges
2019,Information Technology,101,Expense,124000,Other Services and Charges
2019,Finance,101,Expense,84100,Other Services and Charges
2019,City Manager,101,Expense,46880,Other Services and Charges
2019,District Court,101,Expense,44700,Other Services and Charges
2019,Assessor,101,Expense,19500,Other Services and Charges
2019,Planning,101,Expense,71885,Other Services and Charges
2019,Attorney,101,Expense,120000,Other Services and Charges
2019,Attorney,101,Expense,105000,Other Services and Charges
2019,Attorney,101,Expense,235000,Other Services and Charges
2019,Attorney,101,Expense,40000,Other Services and Charges
2019,District Court,101,Expense,33000,Other Services and Charges
2019,Information Technology,101,Expense,330855,Other Services and Charges
2019,Finance,101,Expense,7020,Other Services and Charges
2019,Police,101,Expense,12570,Other Services and Charges
2019,Assessor,101,Expense,40000,Other Services and Charges
2019,District Court,101,Expense,12000,Other Services and Charges
2019,District Court,101,Expense,6900,Other Services and Charges
2019,Police,101,Expense,1660,Other Services and Charges
2019,Police,101,Expense,17365,Other Services and Charges
2019,Information Technology,101,Expense,82820,Other Services and Charges
2019,Facilities,101,Expense,13100,Other Services and Charges
2019,Fire,101,Expense,10700,Other Services and Charges
2019,Attorney,101,Expense,0,Other Services and Charges
2019,City Clerk,101,Expense,1000,Other Services and Charges
2019,Police,101,Expense,18450,Other Services and Charges
2019,Police,101,Expense,61500,Other Services and Charges
2019,Planning,101,Expense,1000,Other Services and Charges
2019,Fire,101,Expense,3650,Other Services and Charges
2019,Facilities,101,Expense,2120,Other Services and Charges
2019,Information Technology,101,Expense,6060,Other Services and Charges
2019,City Manager,101,Expense,4800,Other Services and Charges
2019,City Clerk,101,Expense,5600,Other Services and Charges
2019,Assessor,101,Expense,13100,Other Services and Charges
2019,City Manager,101,Expense,19980,Other Services and Charges
2019,Finance,101,Expense,17500,Other Services and Charges
2019,City Council,101,Expense,5120,Other Services and Charges
2019,District Court,101,Expense,1500,Other Services and Charges
2019,District Court,101,Expense,2000,Other Services and Charges
2019,Fire,101,Expense,3000,Other Services and Charges
2019,Fire,101,Expense,10000,Other Services and Charges
2019,Police,101,Expense,16900,Other Services and Charges
2019,Police,101,Expense,80000,Other Services and Charges
2019,Finance,101,Expense,6600,Other Services and Charges
2019,Police,101,Expense,4000,Other Services and Charges
2019,Information Technology,101,Expense,12000,Other Services and Charges
2019,Facilities,101,Expense,600,Other Services and Charges
2019,Planning,101,Expense,3750,Other Services and Charges
2019,Attorney,101,Expense,0,Other Services and Charges
2019,Police,101,Expense,2800,Other Services and Charges
2019,Police,101,Expense,4500,Other Services and Charges
2019,City Manager,101,Expense,20830,Other Services and Charges
2019,City Council,101,Expense,8400,Other Services and Charges
2019,City Clerk,101,Expense,1500,Other Services and Charges
2019,City Clerk,101,Expense,38000,Other Services and Charges
2019,Planning,101,Expense,1500,Other Services and Charges
2019,Planning,101,Expense,5102,Other Services and Charges
2019,Fire,101,Expense,1447,Other Services and Charges
2019,Public Works,101,Expense,22,Other Services and Charges
2019,Public Works,101,Expense,66,Other Services and Charges
2019,City Clerk,101,Expense,5948,Other Services and Charges
2019,City Clerk,101,Expense,22,Other Services and Charges
2019,Assessor,101,Expense,8142,Other Services and Charges
2019,District Court,101,Expense,20227,Other Services and Charges
2019,District Court,101,Expense,5252,Other Services and Charges
2019,City Council,101,Expense,1488,Other Services and Charges
2019,Finance,101,Expense,10702,Other Services and Charges
2019,City Manager,101,Expense,13860,Other Services and Charges
2019,Assessor,101,Expense,146,Other Services and Charges
2019,Finance,101,Expense,4365,Other Services and Charges
2019,Police,101,Expense,8173,Other Services and Charges
2019,Police,101,Expense,99477,Other Services and Charges
2019,Fire,101,Expense,39852,Other Services and Charges
2019,Fire,101,Expense,4836,Other Services and Charges
2019,Police,101,Expense,29969,Other Services and Charges
2019,Police,101,Expense,4657,Other Services and Charges
2019,Police,101,Expense,20275,Other Services and Charges
2019,Police,101,Expense,993,Other Services and Charges
2019,Facilities,101,Expense,1480,Other Services and Charges
2019,Information Technology,101,Expense,13039,Other Services and Charges
2019,Attorney,101,Expense,0,Other Services and Charges
2019,Fire,101,Expense,3638,Other Services and Charges
2019,Fire,101,Expense,990,Other Services and Charges
2019,Purchasing,101,Expense,2430,Other Services and Charges
2019,Information Technology,101,Expense,180,Other Services and Charges
2019,Police,101,Expense,2970,Other Services and Charges
2019,Police,101,Expense,740,Other Services and Charges
2019,Fire,101,Expense,80,Other Services and Charges
2019,Finance,101,Expense,20,Other Services and Charges
2019,City Manager,101,Expense,30,Other Services and Charges
2019,Finance,101,Expense,30,Other Services and Charges
2019,District Court,101,Expense,120,Other Services and Charges
2019,Assessor,101,Expense,20,Other Services and Charges
2019,City Clerk,101,Expense,170,Other Services and Charges
2019,Fire,101,Expense,90,Other Services and Charges
2019,Public Works,101,Expense,80,Other Services and Charges
2019,Fire,101,Expense,2190,Other Services and Charges
2019,Planning,101,Expense,20,Other Services and Charges
2019,District Court,101,Expense,2310,Other Services and Charges
2019,Attorney,101,Expense,0,Other Services and Charges
2019,Facilities,101,Expense,105800,Other Services and Charges
2019,Police,101,Expense,135406,Other Services and Charges
2019,Fire,101,Expense,85268,Other Services and Charges
2019,Fire,101,Expense,2100,Other Services and Charges
2019,Public Works,101,Expense,770000,Other Services and Charges
2019,District Court,101,Expense,79680,Other Services and Charges
2019,Fire,101,Expense,5000,Other Services and Charges
2019,Fire,101,Expense,86000,Other Services and Charges
2019,City Clerk,101,Expense,2000,Other Services and Charges
2019,District Court,101,Expense,2000,Other Services and Charges
2019,Finance,101,Expense,1600,Other Services and Charges
2019,Finance,101,Expense,500,Other Services and Charges
2019,Police,101,Expense,9400,Other Services and Charges
2019,Police,101,Expense,15000,Other Services and Charges
2019,Fire,101,Expense,8000,Other Services and Charges
2019,Police,101,Expense,6700,Other Services and Charges
2019,Police,101,Expense,250,Other Services and Charges
2019,Police,101,Expense,500,Other Services and Charges
2019,Police,101,Expense,93434,Other Services and Charges
2019,Police,101,Expense,1500,Other Services and Charges
2019,Police,101,Expense,5000,Other Services and Charges
2019,Information Technology,101,Expense,13000,Other Services and Charges
2019,Facilities,101,Expense,60840,Other Services and Charges
2019,Purchasing,101,Expense,6500,Other Services and Charges
2019,District Court,101,Expense,109320,Other Services and Charges
2019,Purchasing,101,Expense,1300,Other Services and Charges
2019,Police,101,Expense,800,Other Services and Charges
2019,City Clerk,101,Expense,4000,Other Services and Charges
2019,Police,101,Expense,5913,Other Services and Charges
2019,Public Works,101,Expense,200,Other Services and Charges
2019,Police,101,Expense,310625,Other Services and Charges
2019,Police,101,Expense,11490,Other Services and Charges
2019,Fire,101,Expense,375000,Other Services and Charges
2019,Fire,101,Expense,14880,Other Services and Charges
2019,Police,101,Expense,6405,Other Services and Charges
2019,Police,101,Expense,3310,Other Services and Charges
2019,Police,101,Expense,21500,Other Services and Charges
2019,Police,101,Expense,61840,Other Services and Charges
2019,Facilities,101,Expense,14600,Other Services and Charges
2019,Information Technology,101,Expense,3300,Other Services and Charges
2019,Assessor,101,Expense,3200,Other Services and Charges
2019,City Manager,101,Expense,7800,Other Services and Charges
2019,Fire,101,Expense,6897,Other Services and Charges
2019,Fire,101,Expense,2500,Other Services and Charges
2019,Fire,101,Expense,300,Other Services and Charges
2019,Fire,101,Expense,1000,Other Services and Charges
2019,City Manager,101,Expense,5000,Other Services and Charges
2019,Assessor,101,Expense,300,Other Services and Charges
2019,Information Technology,101,Expense,600,Other Services and Charges
2019,Facilities,101,Expense,3500,Other Services and Charges
2019,Police,101,Expense,10000,Other Services and Charges
2019,Police,101,Expense,1700,Other Services and Charges
2019,Police,101,Expense,2000,Other Services and Charges
2019,Police,101,Expense,2500,Other Services and Charges
2019,Fire,101,Expense,1500,Other Services and Charges
2019,Fire,101,Expense,88550,Other Services and Charges
2019,Police,101,Expense,3000,Other Services and Charges
2019,Police,101,Expense,190000,Other Services and Charges
2019,Public Works,101,Expense,300,Other Services and Charges
2019,Public Works,101,Expense,100,Other Services and Charges
2019,Police,101,Expense,142000,Other Services and Charges
2019,Police,101,Expense,3500,Other Services and Charges
2019,Fire,101,Expense,37673,Other Services and Charges
2019,Fire,101,Expense,2500,Other Services and Charges
2019,Police,101,Expense,2000,Other Services and Charges
2019,Police,101,Expense,1300,Other Services and Charges
2019,Police,101,Expense,3500,Other Services and Charges
2019,Police,101,Expense,7350,Other Services and Charges
2019,Facilities,101,Expense,2000,Other Services and Charges
2019,Information Technology,101,Expense,500,Other Services and Charges
2019,Assessor,101,Expense,450,Other Services and Charges
2019,City Manager,101,Expense,4700,Other Services and Charges
2019,Fire,101,Expense,1500,Other Services and Charges
2019,Fire,101,Expense,400,Other Services and Charges
2019,Police,101,Expense,365692,Other Services and Charges
2019,Planning,101,Expense,4800,Other Services and Charges
2019,Finance,101,Expense,600000,Other Services and Charges
2019,Planning,101,Expense,20000,Other Services and Charges
2019,Planning,101,Expense,2930,Other Services and Charges
2019,Fire,101,Expense,875,Other Services and Charges
2019,Police,101,Expense,1000,Other Services and Charges
2019,Police,101,Expense,575000,Other Services and Charges
2019,Fire,101,Expense,1400,Other Services and Charges
2019,Fire,101,Expense,54400,Other Services and Charges
2019,Police,101,Expense,2500,Other Services and Charges
2019,Finance,101,Expense,8320,Other Services and Charges
2019,Police,101,Expense,77182,Other Services and Charges
2019,City Council,101,Expense,50600,Other Services and Charges
2019,Police,101,Expense,33120,Other Services and Charges
2019,Information Technology,101,Expense,16500,Other Services and Charges
2019,Facilities,101,Expense,870,Other Services and Charges
2019,Purchasing,101,Expense,4000,Other Services and Charges
2019,Police,101,Expense,9500,Other Services and Charges
2019,Police,101,Expense,7860,Other Services and Charges
2019,Police,101,Expense,58908,Other Services and Charges
2019,Police,101,Expense,37275,Other Services and Charges
2019,City Manager,101,Expense,15270,Other Services and Charges
2019,Finance,101,Expense,22335,Other Services and Charges
2019,District Court,101,Expense,19200,Other Services and Charges
2019,City Council,101,Expense,31950,Other Services and Charges
2019,Assessor,101,Expense,13145,Other Services and Charges
2019,City Clerk,101,Expense,8500,Other Services and Charges
2019,City Clerk,101,Expense,2500,Other Services and Charges
2019,Community Outreach Programs,101,Expense,10000,Other Services and Charges
2019,Fire,101,Expense,8400,Other Services and Charges
2019,Fire,101,Expense,5500,Other Services and Charges
2019,Attorney,101,Expense,0,Other Services and Charges
2019,Facilities,101,Expense,500,Other Services and Charges
2019,Police,101,Expense,0,Other Services and Charges
2019,Police,101,Expense,0,Other Services and Charges
2019,Police,101,Expense,0,Other Services and Charges
2019,Police,101,Expense,0,Other Services and Charges
2019,Police,101,Expense,0,Other Services and Charges
2019,Police,101,Expense,0,Other Services and Charges
2019,Police,101,Expense,3000,Other Services and Charges
2019,Facilities,101,Expense,2520,Other Services and Charges
2019,Police,101,Expense,0,Capital Outlay
2019,Fire,101,Expense,0,Capital Outlay
2019,Police,101,Expense,0,Capital Outlay
2019,District Court,101,Expense,87000,Capital Outlay
2019,Police,101,Expense,22900,Capital Outlay
2019,Fire,101,Expense,0,Capital Outlay
2019,Fire,101,Expense,0,Capital Outlay
2019,Police,101,Expense,27500,Capital Outlay
2019,District Court,101,Expense,0,Capital Outlay
2019,Information Technology,101,Expense,47000,Capital Outlay
2019,,101,Revenue,10035000,Taxes
2019,,101,Revenue,-100400,Taxes
2019,,101,Revenue,302230,Taxes
2019,,101,Revenue,15000,Taxes
2019,,101,Revenue,-27000,Taxes
2019,,101,Revenue,3500,Taxes
2019,,101,Revenue,180800,Taxes
2019,,101,Revenue,242264,Taxes
2019,,101,Revenue,70000,Taxes
2019,,101,Revenue,950000,Taxes
2019,,101,Revenue,95000,Licenses and Permits
2019,,101,Revenue,1200000,Licenses and Permits
2019,,101,Revenue,0,Federal Grants
2019,,101,Revenue,0,Federal Grants
2019,,101,Revenue,0,Federal Grants
2019,,101,Revenue,0,State Grants
2019,,101,Revenue,91450,State Grants
2019,,101,Revenue,68000,State Grants
2019,,101,Revenue,10000,State Grants
2019,,101,Revenue,6030273,State Grants
2019,,101,Revenue,627126,State Grants
2019,,101,Revenue,29000,State Grants
2019,,101,Revenue,3500,Contributions from Local Units
2019,,101,Revenue,32000,Contributions from Local Units
2019,,101,Revenue,209353,Contributions from Local Units
2019,,101,Revenue,2600,Contributions from Local Units
2019,,101,Revenue,1500,Contributions from Local Units
2019,,101,Revenue,4720,Contributions from Local Units
2019,,101,Revenue,14400,Contributions from Local Units
2019,,101,Revenue,10000,Charges for Service
2019,,101,Revenue,20000,Charges for Service
2019,,101,Revenue,19500,Charges for Service
2019,,101,Revenue,3612000,Charges for Service
2019,,101,Revenue,4000,Charges for Service
2019,,101,Revenue,1200,Charges for Service
2019,,101,Revenue,2000,Charges for Service
2019,,101,Revenue,2500,Charges for Service
2019,,101,Revenue,1700000,Fines and Forfeitures
2019,,101,Revenue,0,Interest and Rentals
2019,,101,Revenue,59770,Interest and Rentals
2019,,101,Revenue,16000,Interest and Rentals
2019,,101,Revenue,0,Other Revenues
2019,,101,Revenue,0,Other Revenues
2019,,101,Revenue,900,Other Revenues
2019,,101,Revenue,0,Other Revenues
2019,,101,Revenue,20000,Other Revenues
2019,,101,Revenue,23000,Other Revenues
2019,,101,Revenue,4500,Other Revenues
2019,,101,Revenue,4000,Other Revenues
2019,,101,Revenue,1500,Other Revenues
2019,,101,Revenue,0,Other Revenues
2019,,101,Revenue,30000,Other Revenues
2019,,101,Revenue,0,Other Revenues
2019,,101,Revenue,2656981,Other Financing Sources
2019,,101,Revenue,1604856,Other Financing Sources
2019,,101,Revenue,2673231,Other Financing Sources
2019,,101,Revenue,25000,Other Financing Sources
2019,,101,Revenue,25000,Other Financing Sources
2019,Public Works,202,Expense,200157,Personal Services
2019,Public Works,202,Expense,266555,Personal Services
2019,Public Works,202,Expense,82156,Personal Services
2019,Public Works,202,Expense,0,Personal Services
2019,Public Works,202,Expense,20000,Personal Services
2019,Public Works,202,Expense,19000,Personal Services
2019,Public Works,202,Expense,11250,Personal Services
2019,Public Works,202,Expense,10500,Personal Services
2019,Public Works,202,Expense,48050,Personal Services
2019,Public Works,202,Expense,9978,Personal Services
2019,Public Works,202,Expense,22922,Personal Services
2019,Public Works,202,Expense,17869,Personal Services
2019,Public Works,202,Expense,85994,Personal Services
2019,Public Works,202,Expense,85899,Personal Services
2019,Public Works,202,Expense,3280,Personal Services
2019,Public Works,202,Expense,114,Personal Services
2019,Public Works,202,Expense,368,Personal Services
2019,Public Works,202,Expense,277,Personal Services
