budget_year,department,fund_code,account_type,account_category,amount
FY19,,208,Revenue,Charges for Service,500
FY19,Permits,249,Expense,Supplies,500
FY19,Permits,249,Expense,Other Services and Charges,500
FY19,Permits,249,Expense,Other Services and Charges,500
FY19,,256,Revenue,Interest and Rentals,500
FY19,Wastewater Utility,590,Expense,Personal Services,500
FY19,Wastewater Utility,590,Expense,Supplies,500
FY19,Public Works,590,Expense,Other Services and Charges,500
FY19,Public Works,591,Expense,Personal Services,500
FY19,Public Works,591,Expense,Supplies,500
FY19,Water Utility,591,Expense,Other Services and Charges,500
FY19,Public Works,591,Expense,Other Services and Charges,500
FY19,Public Works,591,Expense,Other Services and Charges,500
FY19,Water Utility,591,Expense,Other Services and Charges,500
FY19,General Government,998,Expense,Other Services and Charges,500
FY19,General Government,998,Expense,Other Services and Charges,500
FY19,Facilities,401,Expense,Personal Services,501
FY19,Assessor,101,Expense,Personal Services,505
FY19,Public Works,591,Expense,Personal Services,510
FY19,Police,101,Expense,Personal Services,514
FY19,Parks and Recreation,208,Expense,Personal Services,548
FY19,Parks and Recreation,208,Expense,Personal Services,548
FY19,Permits,249,Expense,Other Services and Charges,562
FY19,Facilities,101,Expense,Other Services and Charges,600
FY19,Information Technology,101,Expense,Other Services and Charges,600
FY19,Public Works,203,Expense,Other Services and Charges,600
FY19,Parks and Recreation,208,Expense,Personal Services,600
FY19,Parks and Recreation,208,Expense,Personal Services,600
FY19,Permits,249,Expense,Other Services and Charges,600
FY19,Planning,256,Expense,Other Services and Charges,600
FY19,Water Utility,591,Expense,Other Services and Charges,600
FY19,Public Works,661,Expense,Other Services and Charges,600
FY19,Permits,249,Expense,Supplies,625
FY19,Permits,249,Expense,Other Services and Charges,625
FY19,Planning,256,Expense,Personal Services,636
FY19,Parks and Recreation,208,Expense,Other Services and Charges,650
FY19,Planning,256,Expense,Personal Services,659
FY19,Public Works,591,Expense,Personal Services,661
FY19,Finance,101,Expense,Personal Services,668
FY19,Parks and Recreation,208,Expense,Supplies,670
FY19,Finance,101,Expense,Personal Services,696
FY19,Facilities,101,Expense,Personal Services,700
FY19,Planning,101,Expense,Supplies,700
FY19,Permits,249,Expense,Capital Outlay,700
FY19,Planning,256,Expense,Other Services and Charges,700
FY19,Parks and Recreation,208,Expense,Personal Services,706
FY19,,211,Revenue,Taxes,730
FY19,Police,101,Expense,Other Services and Charges,740
FY19,Public Works,211,Expense,Other Services and Charges,750
FY19,,230,Revenue,Taxes,750
FY19,Permits,249,Expense,Supplies,750
FY19,Planning,256,Expense,Other Services and Charges,750
FY19,Finance,320,Expense,Debt Service,750
FY19,Wastewater Utility,590,Expense,Debt Service,750
FY19,Wastewater Utility,590,Expense,Debt Service,750
FY19,Wastewater Utility,590,Expense,Debt Service,750
FY19,Wastewater Utility,590,Expense,Debt Service,750
FY19,Water Utility,591,Expense,Other Services and Charges,750
FY19,Water Utility,591,Expense,Debt Service,750
FY19,Water Utility,591,Expense,Debt Service,750
FY19,Water Utility,591,Expense,Debt Service,750
FY19,Water Utility,591,Expense,Debt Service,750
FY19,Water Utility,591,Expense,Debt Service,750
FY19,Public Works,591,Expense,Other Services and Charges,758
FY19,Permits,249,Expense,Personal Services,760
FY19,Wastewater Utility,590,Expense,Personal Services,766
FY19,Water Utility,591,Expense,Debt Service,766
FY19,Public Works,661,Expense,Other Services and Charges,780
FY19,Information Technology,101,Expense,Personal Services,793
FY19,Police,101,Expense,Other Services and Charges,800
FY19,Permits,249,Expense,Supplies,800
FY19,Planning,256,Expense,Other Services and Charges,800
FY19,,401,Revenue,Taxes,800
FY19,Water Utility,591,Expense,Personal Services,804
FY19,Permits,249,Expense,Other Services and Charges,816
FY19,Public Works,203,Expense,Personal Services,825
FY19,Public Works,101,Expense,Personal Services,826
FY19,Water Utility,591,Expense,Other Services and Charges,828
FY19,Permits,249,Expense,Personal Services,839
FY19,Public Works,590,Expense,Personal Services,841
FY19,Public Works,591,Expense,Personal Services,843
FY19,Information Technology,101,Expense,Personal Services,859
FY19,City Manager,101,Expense,Personal Services,862
FY19,Facilities,101,Expense,Other Services and Charges,870
FY19,Fire,101,Expense,Other Services and Charges,875
FY19,Water Utility,591,Expense,Personal Services,889
FY19,Planning,256,Expense,Personal Services,898
FY19,Fire,101,Expense,Personal Services,900
FY19,,101,Revenue,Other Revenues,900
FY19,Parks and Recreation,208,Expense,Supplies,900
FY19,Permits,249,Expense,Other Services and Charges,900
FY19,Wastewater Utility,590,Expense,Other Services and Charges,900
FY19,Public Works,591,Expense,Other Services and Charges,902
FY19,City Manager,101,Expense,Personal Services,906
FY19,Planning,256,Expense,Personal Services,912
FY19,Public Works,203,Expense,Personal Services,924
FY19,Permits,249,Expense,Capital Outlay,960
FY19,Public Works,203,Expense,Personal Services,965
FY19,Permits,249,Expense,Other Services and Charges,971
FY19,Fire,101,Expense,Other Services and Charges,990
FY19,Permits,249,Expense,Personal Services,992
FY19,Police,101,Expense,Other Services and Charges,993
FY19,City Clerk,101,Expense,Personal Services,995
FY19,Public Works,101,Expense,Personal Services,1000
FY19,City Clerk,101,Expense,Personal Services,1000
FY19,Public Works,101,Expense,Personal Services,1000
FY19,Finance,101,Expense,Personal Services,1000
FY19,City Manager,101,Expense,Personal Services,1000
FY19,Police,101,Expense,Supplies,1000
FY19,Fire,101,Expense,Supplies,1000
FY19,Fire,101,Expense,Supplies,1000
FY19,City Clerk,101,Expense,Other Services and Charges,1000
FY19,Planning,101,Expense,Other Services and Charges,1000
FY19,Fire,101,Expense,Other Services and Charges,1000
FY19,Police,101,Expense,Other Services and Charges,1000
FY19,Public Works,202,Expense,Other Services and Charges,1000
FY19,Public Works,203,Expense,Personal Services,1000
FY19,Public Works,203,Expense,Other Services and Charges,1000
FY19,Public Works,203,Expense,Other Services and Charges,1000
FY19,Public Works,203,Expense,Other Services and Charges,1000
FY19,Parks and Recreation,208,Expense,Other Services and Charges,1000
FY19,,208,Revenue,Other Revenues,1000
FY19,,208,Revenue,Other Revenues,1000
FY19,Public Works,211,Expense,Personal Services,1000
FY19,Public Works,230,Expense,Other Services and Charges,1000
FY19,,256,Revenue,Other Revenues,1000
FY19,Facilities,401,Expense,Personal Services,1000
FY19,,401,Revenue,Interest and Rentals,1000
FY19,Wastewater Utility,590,Expense,Supplies,1000
FY19,Water Utility,591,Expense,Personal Services,1000
FY19,Water Utility,591,Expense,Personal Services,1000
FY19,Water Utility,591,Expense,Other Services and Charges,1000
FY19,Water Utility,591,Expense,Other Services and Charges,1000
FY19,Water Utility,591,Expense,Other Services and Charges,1000
FY19,Water Utility,591,Expense,Other Services and Charges,1000
FY19,Public Works,591,Expense,Other Services and Charges,1000
FY19,Water Utility,591,Expense,Other Services and Charges,1000
FY19,Public Works,661,Expense,Other Services and Charges,1000
FY19,Public Works,661,Expense,Other Services and Charges,1000
FY19,General Government,995,Expense,Other Services and Charges,1000
FY19,General Government,995,Expense,Other Services and Charges,1000
FY19,General Government,998,Expense,Other Services and Charges,1000
FY19,Water Utility,591,Expense,Other Services and Charges,1001
FY19,Public Works,591,Expense,Personal Services,1020
FY19,District Court,101,Expense,Personal Services,1027
FY19,Facilities,401,Expense,Personal Services,1045
FY19,Permits,249,Expense,Other Services and Charges,1060
FY19,Wastewater Utility,590,Expense,Debt Service,1060
FY19,Water Utility,591,Expense,Other Services and Charges,1060
FY19,Wastewater Utility,590,Expense,Personal Services,1075
FY19,Permits,249,Expense,Personal Services,1078
FY19,Planning,256,Expense,Other Services and Charges,1103
FY19,Water Utility,591,Expense,Personal Services,1136
FY19,Water Utility,591,Expense,Personal Services,1136
FY19,Planning,256,Expense,Other Services and Charges,1141
FY19,Water Utility,591,Expense,Personal Services,1152
FY19,Planning,101,Expense,Personal Services,1161
FY19,Facilities,401,Expense,Personal Services,1177
FY19,Public Works,661,Expense,Other Services and Charges,1199
FY19,,101,Revenue,Charges for Service,1200
FY19,Public Works,202,Expense,Supplies,1200
FY19,Public Works,203,Expense,Other Services and Charges,1200
FY19,,230,Revenue,Taxes,1200
FY19,Public Works,591,Expense,Other Services and Charges,1200
FY19,General Government,684,Expense,Other Services and Charges,1200
FY19,Permits,249,Expense,Personal Services,1205
FY19,Parks and Recreation,208,Expense,Other Services and Charges,1208
FY19,Parks and Recreation,208,Expense,Other Services and Charges,1208
FY19,Fire,101,Expense,Supplies,1250
FY19,Permits,249,Expense,Other Services and Charges,1250
FY19,Planning,256,Expense,Other Services and Charges,1250
FY19,Police,101,Expense,Personal Services,1263
FY19,Facilities,401,Expense,Other Services and Charges,1275
FY19,Purchasing,101,Expense,Other Services and Charges,1300
FY19,Police,101,Expense,Other Services and Charges,1300
FY19,,401,Revenue,Taxes,1300
FY19,Water Utility,591,Expense,Other Services and Charges,1300
FY19,Water Utility,591,Expense,Personal Services,1312
FY19,Wastewater Utility,590,Expense,Other Services and Charges,1320
FY19,Water Utility,591,Expense,Personal Services,1331
FY19,Permits,249,Expense,Other Services and Charges,1336
FY19,Public Works,211,Expense,Personal Services,1363
FY19,Water Utility,591,Expense,Other Services and Charges,1367
FY19,Water Utility,591,Expense,Supplies,1385
FY19,Fire,101,Expense,Other Services and Charges,1400
FY19,Public Works,202,Expense,Supplies,1400
FY19,Permits,249,Expense,Personal Services,1400
FY19,Permits,249,Expense,Other Services and Charges,1400
FY19,Permits,249,Expense,Other Services and Charges,1400
FY19,Wastewater Utility,590,Expense,Supplies,1400
FY19,Public Works,590,Expense,Other Services and Charges,1400
FY19,Water Utility,591,Expense,Other Services and Charges,1400
FY19,Water Utility,591,Expense,Personal Services,1406
FY19,Water Utility,591,Expense,Other Services and Charges,1412
FY19,Parks and Recreation,208,Expense,Personal Services,1423
FY19,Parks and Recreation,208,Expense,Personal Services,1423
FY19,Fire,101,Expense,Other Services and Charges,1447
FY19,Facilities,101,Expense,Personal Services,1463
FY19,Facilities,101,Expense,Other Services and Charges,1480
FY19,City Council,101,Expense,Other Services and Charges,1488
FY19,Finance,101,Expense,Personal Services,1500
FY19,Police,101,Expense,Personal Services,1500
FY19,Police,101,Expense,Personal Services,1500
FY19,Fire,101,Expense,Supplies,1500
FY19,District Court,101,Expense,Supplies,1500
FY19,District Court,101,Expense,Other Services and Charges,1500
FY19,City Clerk,101,Expense,Other Services and Charges,1500
FY19,Planning,101,Expense,Other Services and Charges,1500
FY19,Police,101,Expense,Other Services and Charges,1500
FY19,Fire,101,Expense,Other Services and Charges,1500
FY19,Fire,101,Expense,Other Services and Charges,1500
FY19,,101,Revenue,Contributions from Local Units,1500
FY19,,101,Revenue,Other Revenues,1500
FY19,Public Works,202,Expense,Other Services and Charges,1500
FY19,Public Works,203,Expense,Other Services and Charges,1500
FY19,Public Works,211,Expense,Other Services and Charges,1500
FY19,Public Works,230,Expense,Other Services and Charges,1500
FY19,Permits,249,Expense,Supplies,1500
FY19,Facilities,401,Expense,Personal Services,1500
FY19,Wastewater Utility,590,Expense,Other Services and Charges,1500
FY19,Water Utility,591,Expense,Supplies,1500
FY19,Water Utility,591,Expense,Supplies,1500
FY19,Water Utility,591,Expense,Supplies,1500
FY19,Water Utility,591,Expense,Other Services and Charges,1500
FY19,General Government,995,Expense,Other Services and Charges,1500
FY19,Water Utility,591,Expense,Other Services and Charges,1504
FY19,Permits,249,Expense,Personal Services,1519
FY19,Public Works,203,Expense,Other Services and Charges,1585
FY19,Water Utility,591,Expense,Personal Services,1591
FY19,Wastewater Utility,590,Expense,Personal Services,1596
FY19,Finance,101,Expense,Other Services and Charges,1600
FY19,Water Utility,591,Expense,Personal Services,1606
FY19,Water Utility,591,Expense,Personal Services,1606
FY19,Water Utility,591,Expense,Personal Services,1606
FY19,,206,Revenue,Taxes,1610
FY19,Water Utility,591,Expense,Personal Services,1636
FY19,Water Utility,591,Expense,Personal Services,1639
FY19,Police,101,Expense,Other Services and Charges,1660
FY19,Permits,249,Expense,Other Services and Charges,1673
FY19,Water Utility,591,Expense,Personal Services,1683
FY19,Police,101,Expense,Other Services and Charges,1700
FY19,Parks and Recreation,208,Expense,Other Services and Charges,1700
FY19,,211,Revenue,Interest and Rentals,1700
FY19,Water Utility,591,Expense,Supplies,1700
FY19,Permits,249,Expense,Personal Services,1705
FY19,Police,101,Expense,Personal Services,1724
FY19,Parks and Recreation,208,Expense,Personal Services,1736
FY19,Parks and Recreation,208,Expense,Personal Services,1736
FY19,Permits,249,Expense,Personal Services,1748
FY19,Planning,256,Expense,Other Services and Charges,1760
FY19,Public Works,211,Expense,Personal Services,1764
FY19,Police,101,Expense,Personal Services,1772
FY19,Wastewater Utility,590,Expense,Personal Services,1772
FY19,Water Utility,591,Expense,Personal Services,1772
FY19,Public Works,661,Expense,Personal Services,1792
FY19,Police,101,Expense,Supplies,1800
FY19,Parks and Recreation,208,Expense,Other Services and Charges,1800
FY19,Parks and Recreation,208,Expense,Other Services and Charges,1800
FY19,Permits,249,Expense,Other Services and Charges,1800
FY19,Public Works,202,Expense,Other Services and Charges,1805
FY19,Public Works,202,Expense,Other Services and Charges,1830
FY19,Permits,249,Expense,Other Services and Charges,1870
FY19,Police,101,Expense,Personal Services,1880
FY19,Wastewater Utility,590,Expense,Other Services and Charges,1950
FY19,Water Utility,591,Expense,Other Services and Charges,1960
FY19,Public Works,203,Expense,Other Services and Charges,1988
FY19,Parks and Recreation,208,Expense,Other Services and Charges,1990
FY19,Public Works,101,Expense,Personal Services,2000
FY19,Facilities,101,Expense,Personal Services,2000
FY19,Police,101,Expense,Personal Services,2000
FY19,Facilities,101,Expense,Personal Services,2000
FY19,District Court,101,Expense,Other Services and Charges,2000
FY19,City Clerk,101,Expense,Other Services and Charges,2000
FY19,District Court,101,Expense,Other Services and Charges,2000
FY19,Police,101,Expense,Other Services and Charges,2000
FY19,Police,101,Expense,Other Services and Charges,2000
FY19,Facilities,101,Expense,Other Services and Charges,2000
FY19,,101,Revenue,Charges for Service,2000
FY19,Public Works,202,Expense,Other Services and Charges,2000
FY19,Public Works,202,Expense,Other Services and Charges,2000
FY19,Public Works,203,Expense,Other Services and Charges,2000
FY19,Permits,249,Expense,Personal Services,2000
FY19,Wastewater Utility,590,Expense,Supplies,2000
FY19,Wastewater Utility,590,Expense,Supplies,2000
FY19,,590,Revenue,Other Revenues,2000
FY19,Water Utility,591,Expense,Other Services and Charges,2000
FY19,Water Utility,591,Expense,Other Services and Charges,2000
FY19,Water Utility,591,Expense,Other Services and Charges,2000
FY19,Public Works,591,Expense,Other Services and Charges,2000
FY19,Public Works,591,Expense,Other Services and Charges,2000
FY19,,998,Revenue,Other Revenues,2000
FY19,Planning,256,Expense,Personal Services,2023
FY19,Permits,249,Expense,Other Services and Charges,2030
FY19,Wastewater Utility,590,Expense,Other Services and Charges,2040
FY19,Public Works,211,Expense,Personal Services,2050
FY19,Facilities,401,Expense,Personal Services,2050
FY19,Fire,101,Expense,Other Services and Charges,2100
FY19,Wastewater Utility,590,Expense,Supplies,2100
FY19,Facilities,101,Expense,Other Services and Charges,2120
FY19,Wastewater Utility,590,Expense,Other Services and Charges,2124
FY19,Water Utility,591,Expense,Personal Services,2127
FY19,Facilities,101,Expense,Personal Services,2161
FY19,Fire,101,Expense,Other Services and Charges,2190
FY19,Water Utility,591,Expense,Other Services and Charges,2196
FY19,Police,101,Expense,Supplies,2200
FY19,Water Utility,591,Expense,Other Services and Charges,2200
FY19,Wastewater Utility,590,Expense,Personal Services,2265
FY19,Parks and Recreation,208,Expense,Other Services and Charges,2270
FY19,Planning,101,Expense,Personal Services,2284
FY19,Permits,249,Expense,Supplies,2300
FY19,Parks and Recreation,208,Expense,Personal Services,2307
FY19,Public Works,661,Expense,Personal Services,2308
FY19,District Court,101,Expense,Other Services and Charges,2310
FY19,Parks and Recreation,208,Expense,Other Services and Charges,2315
FY19,Parks and Recreation,208,Expense,Other Services and Charges,2360
FY19,City Clerk,101,Expense,Supplies,2400
FY19,General Government,683,Expense,Other Services and Charges,2406
FY19,Fire,101,Expense,Personal Services,2417
FY19,Purchasing,101,Expense,Other Services and Charges,2430
FY19,Permits,249,Expense,Other Services and Charges,2430
FY19,Public Works,661,Expense,Other Services and Charges,2430
FY19,Public Works,202,Expense,Personal Services,2460
FY19,Public Works,591,Expense,Personal Services,2477
FY19,Permits,249,Expense,Other Services and Charges,2483
FY19,Finance,101,Expense,Personal Services,2500
FY19,Fire,101,Expense,Supplies,2500
FY19,Police,101,Expense,Supplies,2500
FY19,Fire,101,Expense,Other Services and Charges,2500
FY19,Police,101,Expense,Other Services and Charges,2500
FY19,Fire,101,Expense,Other Services and Charges,2500
FY19,Police,101,Expense,Other Services and Charges,2500
FY19,City Clerk,101,Expense,Other Services and Charges,2500
FY19,,101,Revenue,Charges for Service,2500
FY19,Public Works,202,Expense,Other Services and Charges,2500
FY19,Public Works,203,Expense,Other Services and Charges,2500
FY19,Public Works,203,Expense,Other Services and Charges,2500
FY19,Permits,249,Expense,Personal Services,2500
FY19,Planning,256,Expense,Other Services and Charges,2500
FY19,Planning,256,Expense,Capital Outlay,2500
FY19,Planning,256,Expense,Capital Outlay,2500
